t,dx,dy,dz,dmag,yaw_deg,pitch_deg,roll_deg,vx,vy,vz,vmag,wx,wy,wz
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.810934204036864559e-01,1.897955090677424794e-01,6.384838157765440614e-02,5.759269464761018753e-03,1.092913933098316193e-02,3.240777924656867981e-02,3.468254953622817993e-02,3.117436356842517853e-02,6.412227638065814972e-03,2.835334278643131256e-02
3.333333333333333287e-02,1.587295532226562500e-02,3.895759582519531250e-04,-3.486871719360351562e-04,1.588156446814537048e-02,2.837932394361191157e-01,2.131038897961680112e-01,-5.015303853877226548e-01,6.242823600769042969e-01,1.781275309622287750e-02,-3.975157439708709717e-02,6.258002519607543945e-01,-7.222992181777954102e-02,-4.634961858391761780e-02,-4.571947455406188965e-02
6.666666666666666574e-02,4.053068161010742188e-02,1.242160797119140625e-03,-3.512501716613769531e-03,4.070155695080757141e-02,1.920450959039096406e-01,6.954884145069117896e-02,-4.959055111628055679e-01,7.970991730690002441e-01,2.865911833941936493e-02,-1.948436796665191650e-01,8.210678696632385254e-01,-9.213874489068984985e-02,1.099608242511749268e-01,-6.148440018296241760e-02
1.000000000000000056e-01,6.897592544555664062e-02,2.083778381347656250e-03,-1.056659221649169922e-02,6.981170177459716797e-02,1.101391882646224757e-01,-1.839927230891811455e-02,-8.477524076114044405e-02,8.946714401245117188e-01,1.725984737277030945e-02,-2.733053863048553467e-01,9.356445670127868652e-01,5.962388124316930771e-03,3.202575147151947021e-01,-1.945718564093112946e-02
1.333333333333333315e-01,9.578084945678710938e-02,2.328395843505859375e-03,-1.215410232543945312e-02,9.657698869705200195e-02,9.271624280577941968e-02,8.183220296123186899e-04,6.894039599313134953e-03,7.510642409324645996e-01,6.484987679868936539e-03,-9.117994457483291626e-02,7.566064596176147461e-01,-1.700356043875217438e-02,-7.779788970947265625e-02,-1.943294331431388855e-02
1.666666666666666574e-01,1.205048561096191406e-01,2.523422241210937500e-03,-1.213419437408447266e-02,1.211405172944068909e-01,5.529308605948411726e-02,-2.537194120937404616e-03,5.110982531152940232e-03,7.308100461959838867e-01,6.063278298825025558e-03,-2.801927551627159119e-02,7.313721179962158203e-01,1.175517216324806213e-02,-1.072821114212274551e-02,-1.684974879026412964e-02
1.999999999999999833e-01,1.452927589416503906e-01,2.672672271728515625e-03,-1.214337348937988281e-02,1.458238363265991211e-01,9.462249090670778878e-03,6.708284112955159237e-04,7.922731788867177008e-03,7.438850402832031250e-01,4.195195622742176056e-03,-1.649437844753265381e-02,7.440796494483947754e-01,-3.327440470457077026e-03,-1.079905405640602112e-02,-2.671148627996444702e-02
2.333333333333333093e-01,1.703162193298339844e-01,2.814769744873046875e-03,-1.223814487457275391e-02,1.707785427570343018e-01,-3.745517992813634373e-02,9.655768268463108201e-04,-4.527861696649296730e-04,7.436996102333068848e-01,4.031467717140913010e-03,-2.179190143942832947e-02,7.440297007560729980e-01,-1.048860792070627213e-02,2.357688732445240021e-02,-2.931161969900131226e-02
2.666666666666666630e-01,1.949863433837890625e-01,2.974033355712890625e-03,-1.218008995056152344e-02,1.953890323638916016e-01,-8.012705023700215923e-02,3.299253332291194381e-04,5.811194898589934661e-03,7.230403423309326172e-01,5.246030632406473160e-03,-2.683635987341403961e-02,7.235572338104248047e-01,-1.546858623623847961e-02,-1.425664522685110569e-03,-2.850538305938243866e-02
2.999999999999999889e-01,2.187314033508300781e-01,3.163814544677734375e-03,-1.217174530029296875e-02,2.190926522016525269e-01,-1.186599693161323743e-01,6.112276215596742753e-04,5.951124147017606766e-03,6.837425231933593750e-01,5.630080588161945343e-03,-2.698010765016078949e-02,6.842978000640869141e-01,-1.500552054494619370e-02,1.041134167462587357e-02,-2.740551345050334930e-02
