label,tau_y_pa,hb_K,hb_n,water_eta,eta_cap_pas,substeps,final_disp_mag_m,pct_vs_control,verdict,passthrough_max_frac,C2_veh_zmin_rise,final_yaw_deg
tau0p0_control,0.0,0.0,1.0,0.001,0.001,11,0.6594815254211426,0.0,NO-FORD,0.10645688175822358,-0.007079601287841797,-1.6531833622998233
tau0p1,0.1,0.0,1.0,0.001,5.001,11,0.6580203771591187,-0.22156015077008373,NO-FORD,0.1068290363264209,-0.0070792436599731445,-1.717208061475642
tau1p0,1.0,0.0,1.0,0.001,50.001,11,0.657945454120636,-0.23292105105229277,NO-FORD,0.10660160853474476,-0.007082760334014893,-1.712405904880594
tau3p0,3.0,0.0,1.0,0.001,150.001,11,0.6541312336921692,-0.8112875831596256,NO-FORD,0.10660160853474476,-0.007091641426086426,-1.771022801781055
tau10p0,10.0,0.0,1.0,0.001,500.001,11,0.64214688539505,-2.628525494330214,NO-FORD,0.10583662414456138,-0.007118821144104004,-1.7498988409472038
tau30p0,30.0,0.0,1.0,0.001,1500.001,14,0.6139469742774963,-6.904598444144138,NO-FORD,0.10232183100047552,-0.007140636444091797,-1.6746290890766056
tau100p0,100.0,0.0,1.0,0.001,5000.001,47,0.5193005204200745,-21.256244428007143,NO-FORD,0.0874149730187938,-0.0160444974899292,-1.5780130750590133
etacoup_tau3p1,3.1,0.0,1.0,0.3,155.3,11,0.6529276371002197,-0.9937940743279472,NO-FORD,0.10664295904232224,-0.007092475891113281,-1.7729807181953214
etacoup_tau40p0,40.0,0.0,1.0,2.7,2002.7,19,0.5841240882873535,-11.426770004764887,NO-FORD,0.09719436806086795,-0.009959638118743896,-1.3321773846356235
hb_tau10_K5_n0p8,10.0,5.0,0.8,0.0,510.9336207394328,11,0.6221548318862915,-5.660005943459046,NO-FORD,0.10573324787561768,-0.007119119167327881,-1.7756696782941908
hb_tau0_K5_n0p8,0.0,5.0,0.8,0.0,10.93362073943278,11,0.6402135491371155,-2.921685527387996,NO-FORD,0.10591932515971633,-0.007082343101501465,-1.7179943870038397
