t,dx,dy,dz,dmag,yaw_deg,pitch_deg,roll_deg,vx,vy,vz,vmag,wx,wy,wz
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.175607090661570098e-01,6.694827360463527499e-02,9.974714215383401195e-03,1.269220188260078430e-02,-4.481843789108097553e-04,6.345455348491668701e-02,6.471300870180130005e-02,2.574044838547706604e-02,1.952023594640195370e-03,1.203396264463663101e-02
3.333333333333333287e-02,1.873588562011718750e-02,-4.482269287109375000e-05,3.886222839355468750e-05,1.873597875237464905e-02,9.784638855322673467e-02,1.050073216296694284e-01,-6.412745617023025702e-01,7.287098765373229980e-01,3.998089581727981567e-03,4.398768302053213120e-03,7.287341356277465820e-01,-4.951622709631919861e-02,-9.917639940977096558e-02,-4.780901223421096802e-02
6.666666666666666574e-02,4.672479629516601562e-02,3.280639648437500000e-04,-1.571178436279296875e-03,4.675235599279403687e-02,8.738745961591971867e-03,6.417788567801795824e-03,-6.778212497646011192e-01,9.008461833000183105e-01,1.288741733878850937e-02,-1.281304657459259033e-01,9.100040197372436523e-01,-5.527494102716445923e-02,7.741535454988479614e-02,-5.013581737875938416e-02
1.000000000000000056e-01,7.826566696166992188e-02,4.787445068359375000e-04,-6.727576255798339844e-03,7.855574041604995728e-02,-3.626319852615672579e-02,1.977109646040600254e-03,-3.309522271996192533e-01,9.775304794311523438e-01,-2.783448726404458284e-04,-2.070592045783996582e-01,9.992193579673767090e-01,5.315161310136318207e-03,2.549022138118743896e-01,-1.704348064959049225e-02
1.333333333333333315e-01,1.102952957153320312e-01,5.583763122558593750e-04,-1.089811325073242188e-02,1.108338087797164917e-01,-6.432720185085610831e-02,1.189934825674510014e-03,5.116497375299196293e-02,8.542175889015197754e-01,5.243611522018909454e-03,-2.748075686395168304e-02,8.546755909919738770e-01,-1.672258414328098297e-02,-2.121316647389903665e-04,-1.617045886814594269e-02
1.666666666666666574e-01,1.380329132080078125e-01,7.028579711914062500e-04,-1.112866401672363281e-02,1.384825855493545532e-01,-8.517137172268135492e-02,1.104235732625769364e-03,3.432115696562525187e-02,8.110247850418090820e-01,3.360882634297013283e-03,-2.814393863081932068e-02,8.115199208259582520e-01,-3.870169166475534439e-03,-2.520121075212955475e-02,-1.503835804760456085e-02
1.999999999999999833e-01,1.648859977722167969e-01,8.263587951660156250e-04,-1.149213314056396484e-02,1.652880609035491943e-01,-1.131057715408690795e-01,2.241620123362832802e-04,9.011952694629154700e-03,7.949442863464355469e-01,3.740924410521984100e-03,-1.724818721413612366e-02,7.951402068138122559e-01,-1.755501842126250267e-03,-1.545397471636533737e-02,-1.541140209883451462e-02
2.333333333333333093e-01,1.910858154296875000e-01,9.560585021972656250e-04,-1.155424118041992188e-02,1.914371997117996216e-01,-1.413744570920973664e-01,1.020892776572172774e-04,4.652586958158496343e-03,7.691258788108825684e-01,3.956683445721864700e-03,-1.003782078623771667e-02,7.692015767097473145e-01,-2.167950617149472237e-03,-4.686261992901563644e-03,-1.563271507620811462e-02
2.666666666666666630e-01,2.162771224975585938e-01,1.097679138183593750e-03,-1.156234741210937500e-02,2.165887504816055298e-01,-1.689161543835424051e-01,1.126589865390766748e-03,2.338611915345404496e-03,7.332279682159423828e-01,4.115768708288669586e-03,-1.594254001975059509e-02,7.334128022193908691e-01,-4.583346191793680191e-03,-8.401045575737953186e-03,-1.682754792273044586e-02
2.999999999999999889e-01,2.401361465454101562e-01,1.259326934814453125e-03,-1.157474517822265625e-02,2.404182404279708862e-01,-1.981280730508935828e-01,3.782616417087083225e-04,2.673464190566261084e-03,6.900142431259155273e-01,4.938399884849786758e-03,-1.896908134222030640e-02,6.902925968170166016e-01,-3.308663843199610710e-03,-1.327901519834995270e-02,-1.664935424923896790e-02
3.333333333333333148e-01,2.625308036804199219e-01,1.431465148925781250e-03,-1.156222820281982422e-02,2.627891898155212402e-01,-2.281596944599256216e-01,9.580701429573259837e-04,2.628767597722836240e-03,6.451564431190490723e-01,4.666562192142009735e-03,-1.861086115241050720e-02,6.454417109489440918e-01,-9.436754044145345688e-04,-1.274228747934103012e-02,-1.639418862760066986e-02
