t,dx,dy,dz,dmag,yaw_deg,pitch_deg,roll_deg,vx,vy,vz,vmag,wx,wy,wz
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800703060907861475e-01,1.893582168783030095e-01,6.371303844440369402e-02,5.713881924748420715e-03,1.078334357589483261e-02,3.256367519497871399e-02,3.477530553936958313e-02,3.110984899103641510e-02,6.367194466292858124e-03,2.814433351159095764e-02
3.333333333333333287e-02,1.588296890258789062e-02,3.843307495117187500e-04,-3.409385681152343750e-04,1.589127629995346069e-02,2.823205866180408807e-01,2.125643315321634474e-01,-5.022361893889082385e-01,6.248752474784851074e-01,1.765340194106101990e-02,-3.936991468071937561e-02,6.263630986213684082e-01,-7.227175682783126831e-02,-4.686617478728294373e-02,-4.592918977141380310e-02
6.666666666666666574e-02,4.056453704833984375e-02,1.231670379638671875e-03,-3.489375114440917969e-03,4.073296487331390381e-02,1.903051318932753588e-01,6.904431458660938159e-02,-4.976226100479761993e-01,7.978755831718444824e-01,2.852099016308784485e-02,-1.943506300449371338e-01,8.217000961303710938e-01,-9.206584095954895020e-02,1.094499006867408752e-01,-6.155990436673164368e-02
1.000000000000000056e-01,6.903028488159179688e-02,2.069473266601562500e-03,-1.051056385040283203e-02,6.985653191804885864e-02,1.083285544744410078e-01,-1.875983659448069926e-02,-8.737778962885993372e-02,8.950912952423095703e-01,1.712461933493614197e-02,-2.728377878665924072e-01,9.359071254730224609e-01,5.966492928564548492e-03,3.197122514247894287e-01,-1.949270442128181458e-02
1.333333333333333315e-01,9.587001800537109375e-02,2.301692962646484375e-03,-1.210927963256835938e-02,9.665915369987487793e-02,9.168593811795208715e-02,2.426444712966863756e-03,6.835531091645108762e-03,7.535881996154785156e-01,6.341888569295406342e-03,-9.449463337659835815e-02,7.595160603523254395e-01,-2.302655950188636780e-02,-7.243498414754867554e-02,-2.255456894636154175e-02
1.666666666666666574e-01,1.206464767456054688e-01,2.493858337402343750e-03,-1.219534873962402344e-02,1.212869286537170410e-01,5.501883462099893540e-02,5.172382634257398229e-04,3.695137760438520127e-03,7.275077700614929199e-01,5.095495376735925674e-03,-2.310014702379703522e-02,7.278922796249389648e-01,-2.642315579578280449e-03,-1.324912998825311661e-02,-2.392529509961605072e-02
1.999999999999999833e-01,1.453800201416015625e-01,2.641677856445312500e-03,-1.220118999481201172e-02,1.459150314331054688e-01,7.350756806731500136e-03,3.759847903948856603e-04,3.535889381974426874e-03,7.447916865348815918e-01,4.344675689935684204e-03,-2.123028412461280823e-02,7.451069355010986328e-01,-7.905819453299045563e-03,-9.800789877772331238e-03,-2.913523651659488678e-02
2.333333333333333093e-01,1.703391075134277344e-01,2.777099609375000000e-03,-1.210141181945800781e-02,1.707910001277923584e-01,-3.993530899416457974e-02,7.965146892588276500e-04,1.014929425077532379e-02,7.412170767784118652e-01,4.076047334820032120e-03,-1.667770184576511383e-02,7.414159178733825684e-01,-3.239966696128249168e-03,-9.100636467337608337e-03,-2.503899298608303070e-02
2.666666666666666630e-01,1.949391365051269531e-01,2.931594848632812500e-03,-1.211190223693847656e-02,1.953370422124862671e-01,-8.205070898371277788e-02,1.325667743280322048e-03,8.489680845671209591e-03,7.192360758781433105e-01,4.903045482933521271e-03,-2.459914609789848328e-02,7.196733355522155762e-01,-9.937943890690803528e-03,-8.374873548746109009e-03,-2.571978792548179626e-02
2.999999999999999889e-01,2.186040878295898438e-01,3.122329711914062500e-03,-1.217019557952880859e-02,2.189648598432540894e-01,-1.220914590231894359e-01,-1.413267191390800079e-03,3.858617070902519049e-03,6.808125972747802734e-01,7.371529936790466309e-03,-2.910806611180305481e-02,6.814744472503662109e-01,9.152595885097980499e-03,-4.451489541679620743e-03,-1.519955787807703018e-02
3.333333333333333148e-01,2.408709526062011719e-01,3.344535827636718750e-03,-1.216232776641845703e-02,2.412010133266448975e-01,-1.590616721748817353e-01,4.872363323287615643e-04,6.179081710566781960e-03,6.403836011886596680e-01,7.067232858389616013e-03,-3.945168480277061462e-02,6.416366100311279297e-01,-1.259631477296352386e-02,-2.189528569579124451e-02,-2.561309002339839935e-02
3.666666666666666408e-01,2.617793083190917969e-01,3.580570220947265625e-03,-1.219010353088378906e-02,2.620874345302581787e-01,-1.980201107052824150e-01,1.526984796803387487e-03,2.389366424077748151e-03,5.961069464683532715e-01,7.076768670231103897e-03,-3.318066522479057312e-02,5.970715880393981934e-01,-5.641653668135404587e-03,-1.930490694940090179e-02,-2.343052625656127930e-02
3.999999999999999667e-01,2.814230918884277344e-01,3.827571868896484375e-03,-1.215195655822753906e-02,2.817113399505615234e-01,-2.407336991959488637e-01,1.874523119752038698e-04,7.453202974175079931e-03,5.633208155632019043e-01,6.954389624297618866e-03,-2.953802421689033508e-02,5.641375780105590820e-01,-1.710388623178005219e-02,1.271931268274784088e-02,-3.120868094265460968e-02
4.333333333333332926e-01,3.001513481140136719e-01,4.074096679687500000e-03,-1.202511787414550781e-02,3.004197776317596436e-01,-2.864260905981739214e-01,-2.124333281370267314e-03,1.323145963567322510e-02,5.432641506195068359e-01,8.096303790807723999e-03,-3.059290163218975067e-02,5.441850423812866211e-01,1.246997062116861343e-02,-1.136707700788974762e-02,-1.712366752326488495e-02
4.666666666666666186e-01,3.183135986328125000e-01,4.317760467529296875e-03,-1.219999790191650391e-02,3.185765743255615234e-01,-3.310417933911963262e-01,6.570319732026605811e-04,3.126824666832468853e-03,5.263322591781616211e-01,7.168583571910858154e-03,-2.551688067615032196e-02,5.269991755485534668e-01,-4.544692113995552063e-03,-1.301612518727779388e-02,-2.641548402607440948e-02
4.999999999999999445e-01,3.360195159912109375e-01,4.560470581054687500e-03,-1.216709613800048828e-02,3.362706303596496582e-01,-3.797264479801216175e-01,-4.959817800799712611e-04,5.743052255685152964e-03,5.153831839561462402e-01,7.902815006673336029e-03,-2.451031282544136047e-02,5.160261988639831543e-01,6.677895784378051758e-03,-8.953572250902652740e-03,-2.185461856424808502e-02
5.333333333333333259e-01,3.533320426940917969e-01,4.810333251953125000e-03,-1.219952106475830078e-02,3.535753190517425537e-01,-4.274352926522342333e-01,2.312271247455557639e-03,3.795579091853520980e-04,5.077390074729919434e-01,7.489060051739215851e-03,-3.794435039162635803e-02,5.092099308967590332e-01,-8.489805273711681366e-03,-2.784778364002704620e-02,-2.937825396656990051e-02
5.666666666666666519e-01,3.701810836791992188e-01,5.086421966552734375e-03,-1.210844516754150391e-02,3.704139590263366699e-01,-4.780006505012931450e-01,1.147680638275409837e-03,9.043944193463797007e-03,4.870332181453704834e-01,8.353263139724731445e-03,-2.813512645661830902e-02,4.879167079925537109e-01,-2.669318392872810364e-02,2.711254172027111053e-02,-3.967783972620964050e-02
5.999999999999999778e-01,3.863844871520996094e-01,5.399227142333984375e-03,-1.214694976806640625e-02,3.866130709648132324e-01,-5.288886013865029545e-01,-3.240107985772408571e-04,7.545329652927589524e-03,4.640116393566131592e-01,9.465495124459266663e-03,-2.876247279345989227e-02,4.649986028671264648e-01,2.289191633462905884e-02,1.987209729850292206e-02,-1.538891997188329697e-02
6.333333333333333037e-01,4.017806053161621094e-01,5.715370178222656250e-03,-1.222121715545654297e-02,4.020070731639862061e-01,-5.794527586163717991e-01,6.385346211448394028e-04,1.588373748323355233e-03,4.436436891555786133e-01,9.707737714052200317e-03,-4.005914181470870972e-02,4.455543756484985352e-01,-1.152725424617528915e-02,-2.552518993616104126e-02,-3.202292695641517639e-02
6.666666666666666297e-01,4.163856506347656250e-01,6.031990051269531250e-03,-1.218378543853759766e-02,4.166075289249420166e-01,-6.315986382476274086e-01,1.180580626474599711e-03,3.441130303959585510e-03,4.173229932785034180e-01,9.470339864492416382e-03,-3.059934824705123901e-02,4.185504615306854248e-01,-5.326979793608188629e-03,-1.876600459218025208e-02,-2.950969710946083069e-02
6.999999999999999556e-01,4.303207397460937500e-01,6.350517272949218750e-03,-1.215112209320068359e-02,4.305391013622283936e-01,-6.842627051213050482e-01,2.569308391421862119e-03,3.512775795039478795e-03,3.992969095706939697e-01,8.379923179745674133e-03,-2.817411161959171295e-02,4.003773629665374756e-01,-6.339327432215213776e-03,-6.732531823217868805e-03,-3.099843673408031464e-02
7.333333333333332815e-01,4.438276290893554688e-01,6.661891937255859375e-03,-1.211106777191162109e-02,4.440428018569946289e-01,-7.411384373919416291e-01,-1.922594447824450391e-03,7.257617105537393122e-03,3.875308930873870850e-01,1.050184015184640884e-02,-2.683381363749504089e-02,3.886007368564605713e-01,6.012361496686935425e-03,-1.176954712718725204e-02,-2.531948685646057129e-02
7.666666666666666075e-01,4.568977355957031250e-01,6.986141204833984375e-03,-1.221418380737304688e-02,4.571143388748168945e-01,-7.948557941408291860e-01,1.877014899618349361e-04,2.869397738511064028e-03,3.835891187191009521e-01,1.061091478914022446e-02,-4.099594801664352417e-02,3.859195113182067871e-01,-1.503660343587398529e-02,-2.191929891705513000e-02,-3.534253686666488647e-02
7.999999999999999334e-01,4.697098731994628906e-01,7.322788238525390625e-03,-1.213860511779785156e-02,4.699237644672393799e-01,-8.493899988257679334e-01,1.241558324233812136e-03,6.660277375485440521e-03,3.710339665412902832e-01,1.018822565674781799e-02,-3.585274517536163330e-02,3.729013800621032715e-01,-2.820092020556330681e-03,-3.020007535815238953e-02,-2.937000989913940430e-02
8.333333333333332593e-01,4.821505546569824219e-01,7.686138153076171875e-03,-1.221203804016113281e-02,4.823664128780364990e-01,-9.045030620428653467e-01,7.933792701596264216e-04,2.014729464210224339e-03,3.598900735378265381e-01,1.134421862661838531e-02,-3.426338359713554382e-02,3.616953492164611816e-01,-2.681174874305725098e-02,1.368508487939834595e-02,-4.172537475824356079e-02
