t,dx,dy,dz,dmag,yaw_deg,pitch_deg,roll_deg,vx,vy,vz,vmag,wx,wy,wz
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.694678234737497624e-03,2.078773409978669773e-01,-7.484404899139604841e-03,1.827764906920492649e-03,2.540000248700380325e-03,1.035637781023979187e-02,1.081882137805223465e-02,4.176898393779993057e-03,-4.536661144811660051e-04,7.243430591188371181e-04
3.333333333333333287e-02,2.216291427612304688e-02,6.914138793945312500e-05,-1.078486442565917969e-03,2.218924649059772491e-02,-1.551592195802111405e-02,2.175227954055414803e-01,-7.060705386458037136e-01,8.591484427452087402e-01,2.174199093133211136e-03,-6.980912387371063232e-02,8.619826436042785645e-01,4.055212251842021942e-03,-2.942164838314056396e-01,-6.711627822369337082e-03
6.666666666666666574e-02,5.378198623657226562e-02,2.450942993164062500e-04,-3.630757331848144531e-03,5.390495806932449341e-02,-3.564159461577937060e-02,1.914459602476525912e-01,-8.995156365665808451e-01,1.011443853378295898e+00,9.390336461365222931e-03,-9.017538279294967651e-02,1.015499114990234375e+00,-2.548641152679920197e-02,7.100016623735427856e-02,-1.375506166368722916e-02
1.000000000000000056e-01,8.824872970581054688e-02,4.410743713378906250e-04,-7.361412048339843750e-03,8.855632692575454712e-02,-4.723243564245092202e-02,1.703719318318939469e-01,-6.083842126409292339e-01,1.040634155273437500e+00,2.895945683121681213e-03,-1.212823465466499329e-01,1.047681808471679688e+00,-6.129314424470067024e-04,2.216276526451110840e-01,-1.036756206303834915e-03
1.333333333333333315e-01,1.225690841674804688e-01,4.792213439941406250e-04,-1.120722293853759766e-02,1.230813264846801758e-01,-4.191542685828689857e-02,1.814808343105230037e-01,-1.106290875849055971e-01,1.013463020324707031e+00,-8.804270328255370259e-05,-1.052408218383789062e-01,1.018912553787231445e+00,1.142766233533620834e-02,2.818275094032287598e-01,6.266506388783454895e-03
1.666666666666666574e-01,1.546640396118164062e-01,6.361007690429687500e-04,-1.283061504364013672e-02,1.551966220140457153e-01,-5.071084621446544927e-02,1.525784886312173683e-01,3.375142780838560896e-01,8.824586868286132812e-01,1.808150112628936768e-02,2.128323353826999664e-02,8.829004764556884766e-01,-6.488760560750961304e-02,1.386663317680358887e-01,-2.677204087376594543e-02
1.999999999999999833e-01,1.829199790954589844e-01,1.187801361083984375e-03,-1.194989681243896484e-02,1.833137571811676025e-01,-9.775781620753475065e-02,5.943457859983862501e-02,5.599105735447603704e-01,8.143658638000488281e-01,1.387502625584602356e-02,1.950551196932792664e-02,8.147175908088684082e-01,-3.903806954622268677e-02,9.284976124763488770e-02,-2.480297163128852844e-02
2.333333333333333093e-01,2.090449333190917969e-01,1.582145690917968750e-03,-1.135838031768798828e-02,2.093592584133148193e-01,-1.476645410493634125e-01,-4.089301144749495965e-04,7.036800257971520534e-01,7.428423762321472168e-01,1.091568730771541595e-02,2.284887060523033142e-02,7.432738542556762695e-01,-5.498868878930807114e-03,3.235691040754318237e-02,-1.701403968036174774e-02
2.666666666666666630e-01,2.327361106872558594e-01,1.737594604492187500e-03,-1.085782051086425781e-02,2.329957187175750732e-01,-1.818114981756736026e-01,1.233558052455588046e-04,7.414902988559031183e-01,6.797130107879638672e-01,3.780518192797899246e-03,-1.023585442453622818e-03,6.797243356704711914e-01,-2.092173090204596519e-03,3.958214074373245239e-03,-2.171072736382484436e-02
2.999999999999999889e-01,2.544803619384765625e-01,1.878738403320312500e-03,-1.094400882720947266e-02,2.547225058078765869e-01,-2.249754122440980886e-01,9.530169509593965668e-05,7.351110088928169972e-01,6.236598491668701172e-01,4.632549360394477844e-03,-1.507787685841321945e-02,6.238592863082885742e-01,-8.771053981035947800e-04,-1.558486837893724442e-02,-2.427433989942073822e-02
3.333333333333333148e-01,2.744884490966796875e-01,2.054691314697265625e-03,-1.135206222534179688e-02,2.747307717800140381e-01,-2.722093720059097222e-01,-5.703752769184252969e-05,7.048019910900324980e-01,5.754885673522949219e-01,6.074598524719476700e-03,-2.104170620441436768e-02,5.759051442146301270e-01,1.582907279953360558e-03,-2.190774492919445038e-02,-2.415956184267997742e-02
