run,vehicle,n_grid,dx,water_layers,hull_m3,realized_rho,mass_kg,depth_m,velocity_ms,frames,final_disp_mag_m,passthrough_max_frac,local_depth_bow_peak,local_depth_footprint_peak,C2_veh_zmin_rise,final_roll_deg,n_water,n_vehicle,n_carved,substeps
silverado_g108_r1,silverado,108,0.11927702992602632,5,4.875500732487054,229.32639303991087,1100.0,0.3,1.5,90,0.6889811754226685,0.10092300833848367,0.42089554758535486,0.39704123230444055,0.0,-0.0013121485836037085,197398,22613,607,13
silverado_g108_r2,silverado,108,0.11927702992602632,5,4.875500732487054,229.32639303991087,1100.0,0.3,1.5,90,0.6857628226280212,0.10072037204024357,0.42096534462438684,0.39559814424978357,-5.960464477539063e-08,-0.0014038597355584147,197398,22613,607,13
silverado_g108_r3,silverado,108,0.11927702992602632,5,4.875500732487054,229.32639303991087,1100.0,0.3,1.5,90,0.690332293510437,0.1007710311148036,0.42062404842840295,0.3966208407448397,0.0,-0.00046984246603345395,197398,22613,607,13
silverado_g120_r1,silverado,120,0.10734932693342368,6,4.875500732487054,229.2761637861455,1100.0,0.3,1.5,90,0.5468956232070923,0.10477846277848277,0.45406374119222165,0.4928587355464697,-5.960464477539063e-08,-1.6350619099364274,300243,31026,813,15
silverado_g120_r2,silverado,120,0.10734932693342368,6,4.875500732487054,229.2761637861455,1100.0,0.3,1.5,90,0.5461325645446777,0.10472850324570432,0.4541806259006262,0.49291363142430783,0.0,-1.6382055045019257,300243,31026,813,15
silverado_g120_r3,silverado,120,0.10734932693342368,6,4.875500732487055,229.2761637861455,1100.0,0.3,1.5,90,0.5468869209289551,0.10471518070363006,0.4540868677943945,0.49280050180852414,5.960464477539063e-08,-1.63689570900687,300243,31026,813,15
silverado_g132_r1,silverado,132,0.09759029721220336,6,4.875500732487055,220.9384917371571,1100.0,0.3,1.5,90,0.33670252561569214,0.09498954457811694,0.4572518773376941,0.39767566397786136,0.0,-0.002543923841626584,368230,42854,794,16
silverado_g132_r2,silverado,132,0.09759029721220336,6,4.875500732487054,220.9384917371571,1100.0,0.3,1.5,90,0.33918389678001404,0.09539418298346142,0.4573476620018482,0.39880487397313114,5.960464477539063e-08,0.0009246708347460277,368230,42854,794,16
silverado_g132_r3,silverado,132,0.09759029721220336,6,4.875500732487054,220.9384917371571,1100.0,0.3,1.5,90,0.33878830075263977,0.09458762186676806,0.45695516541600223,0.3976217813789844,0.0,-0.0030232572961556886,368230,42854,794,16
silverado_g72_r1,silverado,72,0.1789155448890395,3,4.875500732487054,223.3964535690394,1100.0,0.3,1.5,90,1.0773656368255615,0.10577820164617585,0.37314532833794745,0.32538412647942694,-0.029423058032989502,0.0009433913227140814,48233,6878,154,9
silverado_g72_r2,silverado,72,0.1789155448890395,3,4.875500732487054,223.3964535690394,1100.0,0.3,1.5,90,1.07620108127594,0.10596479588663363,0.37309853869179876,0.32589607077340277,-0.02942138910293579,0.002294886865218088,48233,6878,154,9
silverado_g72_r3,silverado,72,0.1789155448890395,3,4.875500732487054,223.3964535690394,1100.0,0.3,1.5,90,1.0770763158798218,0.10555014201894969,0.37305735188225897,0.3259960277626911,-0.02942103147506714,0.0015466013719065085,48233,6878,154,9
silverado_g84_r1,silverado,84,0.1533561813334624,4,4.875500732487054,226.08766997467845,1100.0,0.3,1.5,90,0.4756068289279938,0.08373907786997857,0.40585641041398046,0.3474190630018711,-0.0633278489112854,-0.0013450324176384491,90985,10792,219,10
silverado_g84_r2,silverado,84,0.1533561813334624,4,4.875500732487054,226.08766997467845,1100.0,0.3,1.5,90,0.47697412967681885,0.08440951805242622,0.4058550991117954,0.3494356669485569,-0.06332707405090332,0.00032402677035596255,90985,10792,219,10
silverado_g84_r3,silverado,84,0.1533561813334624,4,4.875500732487054,226.08766997467845,1100.0,0.3,1.5,90,0.4763181507587433,0.08336538989943397,0.405889967828989,0.3463569678366184,-0.06332862377166748,-0.0013279371428344148,90985,10792,219,10
silverado_g96_r1,silverado,96,0.13418665866677962,4,4.875500732487054,229.23737386115445,1100.0,0.3,1.5,90,0.6195169687271118,0.09646310141181474,0.3868621784262358,0.3412026363424956,5.960464477539063e-08,-0.0011706007921186289,122254,15888,246,12
silverado_g96_r2,silverado,96,0.13418665866677962,4,4.875500732487054,229.23737386115445,1100.0,0.3,1.5,90,0.6198975443840027,0.09630768727403602,0.38668384132906786,0.34102733908221117,-5.960464477539063e-08,-0.0009030371777154709,122254,15888,246,12
silverado_g96_r3,silverado,96,0.13418665866677962,4,4.875500732487054,229.23737386115445,1100.0,0.3,1.5,90,0.6193167567253113,0.09640584357158048,0.3866895037703215,0.3412389951758086,5.960464477539063e-08,-0.0015586114199623061,122254,15888,246,12
yaris_g108_r1,yaris,108,0.0872580445509542,7,3.553210730426775,308.09070383487926,1100.0,0.3,1.5,90,0.74628084897995,0.10601194040684486,0.4561847935016784,0.5772058258350524,-0.023487865924835205,-0.0010668102855316164,275535,42992,1672,18
yaris_g108_r2,yaris,108,0.0872580445509542,7,3.553210730426775,308.09070383487926,1100.0,0.3,1.5,90,0.7484766244888306,0.10582321665124213,0.4561440835292968,0.5765519032772216,-0.023489654064178467,2.2289528727640943e-06,275535,42992,1672,18
yaris_g108_r3,yaris,108,0.0872580445509542,7,3.553210730426775,308.09070383487926,1100.0,0.3,1.5,90,0.7488985657691956,0.10584499246919629,0.4559753427799377,0.5781338105495605,-0.023486018180847168,-0.0006804711968267825,275535,42992,1672,18
yaris_g120_r1,yaris,120,0.07853224009585878,8,3.553210730426775,307.9754852429402,1100.0,0.3,1.5,90,0.6928420662879944,0.11389496521322129,0.455725844791159,0.629262860706076,0.0,-0.00037715205905187023,389947,58996,7885,20
