run,mode,triggered_slide,triggered_topple,triggered_float,ratio_slide,ratio_topple,ratio_float,onset_frame_slide,onset_frame_topple,onset_frame_float,first_reached_frame,first_reached_time_s,threshold_value,threshold_units,percent_over_threshold,absolute_over_threshold,magnitude_ratio,max_surge_drift_m,max_vertical_lift_m,max_speed_ms,peak_surge_accel_g,peak_surge_force_n,peak_vertical_force_n,weight_n,arr_class_label,mass_kg,n_grid,realized_depth_m,velocity_ms,ssf_used,n_frames,timeseries
g48_m1100,SLIDE,True,False,False,6.914206,1.396362,0.0,3,-1,-1,3,0.1,0.05,m,591.4206,0.29571028,6.914206,0.34571028,0.0,0.86207969,1.98283362,21389.4508,1149.3589,10787.315,small_passenger,1100.0,48,0.2944294473039918,1.5,1.42,91,renders/yaris_render_s1/_incoming/g48_m1100/metrics.csv
g48_m1609,SLIDE,True,False,False,5.021095,1.196841,0.0,3,-1,-1,3,0.1,0.05,m,402.1095,0.20105476,5.021095,0.25105476,0.0,0.7297735,1.69951364,26816.4556,1961.4351,15778.8998,large_passenger,1609.0,48,0.2944294473039918,1.5,1.42,91,renders/yaris_render_s1/_incoming/g48_m1609/metrics.csv
g48_m2337,SLIDE,True,False,False,3.620529,1.000244,0.0,4,-1,-1,4,0.133333,0.05,m,262.0529,0.13102646,3.620529,0.18102646,0.0,0.60234739,1.42034712,32551.7156,3059.142,22918.141,large_4wd,2337.0,48,0.2944294473039918,1.5,1.42,91,renders/yaris_render_s1/_incoming/g48_m2337/metrics.csv
g64_m1100,SLIDE,True,False,False,13.306799,1.332527,0.0,3,-1,-1,3,0.1,0.05,m,1230.6799,0.61533995,13.306799,0.66533995,0.0,0.93565331,1.89218775,20411.6253,4116.4996,10787.315,small_passenger,1100.0,64,0.2944294473039918,1.5,1.42,91,renders/yaris_render_s1/_incoming/g64_m1100/metrics.csv
g64_m1609,SLIDE,True,False,False,6.428728,1.159643,0.0,3,-1,-1,3,0.1,0.05,m,542.8728,0.27143641,6.428728,0.32143641,0.0,0.69199705,1.64669254,25982.9967,3218.0181,15778.8998,large_passenger,1609.0,64,0.2944294473039918,1.5,1.42,91,renders/yaris_render_s1/_incoming/g64_m1609/metrics.csv
g64_m2337,SLIDE,True,False,False,2.839289,0.959955,0.0,4,-1,-1,4,0.133333,0.05,m,183.9289,0.09196444,2.839289,0.14196444,0.0,0.44413556,1.36313613,31240.5461,1911.4726,22918.141,large_4wd,2337.0,64,0.2944294473039918,1.5,1.42,91,renders/yaris_render_s1/_incoming/g64_m2337/metrics.csv
g96_m1100,SLIDE,True,False,False,5.385389,1.302373,0.000877,3,-1,-1,3,0.1,0.05,m,438.5389,0.21926947,5.385389,0.26926947,4.387e-05,0.74479601,1.84936933,19949.7295,1978.8342,10787.315,small_passenger,1100.0,96,0.2944294473039918,1.5,1.42,91,renders/yaris_render_s1/_incoming/g96_m1100/metrics.csv
g96_m1609,SLIDE,True,False,False,3.132315,1.076433,0.0,3,-1,-1,3,0.1,0.05,m,213.2315,0.10661573,3.132315,0.15661573,0.0,0.61716802,1.52853426,24118.589,2559.3886,15778.8998,large_passenger,1609.0,96,0.2944294473039918,1.5,1.42,91,renders/yaris_render_s1/_incoming/g96_m1609/metrics.csv
g96_m2337,SLIDE,True,False,False,1.80047,0.824286,0.0,5,-1,-1,5,0.166667,0.05,m,80.047,0.04002352,1.80047,0.09002352,0.0,0.41504374,1.17048641,26825.3727,3432.4434,22918.141,large_4wd,2337.0,96,0.2944294473039918,1.5,1.42,91,renders/yaris_render_s1/_incoming/g96_m2337/metrics.csv
sweepD_g64_d0p25,SLIDE,True,False,False,6.008015,1.115467,0.007734,3,-1,-1,3,0.1,0.05,m,500.8015,0.25040073,6.008015,0.30040073,0.00038671,0.71845726,1.58396247,17086.7021,2413.4381,10787.315,small_passenger,1100.0,64,0.22082208547799384,1.5,1.42,91,renders/yaris_render_s1/_incoming/sweepD_g64_d0p25/metrics.csv
sweepD_g64_d0p35,SLIDE,True,False,False,21.085806,1.599979,0.056608,3,-1,-1,3,0.1,0.05,m,2008.5806,1.00429029,21.085806,1.05429029,0.00283039,1.11820021,2.27197031,24508.4594,5415.2103,10787.315,small_passenger,1100.0,64,0.3680368091299897,1.5,1.42,91,renders/yaris_render_s1/_incoming/sweepD_g64_d0p35/metrics.csv
sweepD_g64_d0p45,SLIDE,True,False,False,23.242531,1.91007,0.189071,2,-1,-1,2,0.066667,0.05,m,2224.2531,1.11212654,23.242531,1.16212654,0.00945354,1.26063997,2.71229886,29258.4222,6755.5179,10787.315,small_passenger,1100.0,64,0.4416441709559877,1.5,1.42,91,renders/yaris_render_s1/_incoming/sweepD_g64_d0p45/metrics.csv
