t,dx,dy,dz,dmag,yaw_deg,pitch_deg,roll_deg
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.363440227683829775e+00,3.320103408125542723e-04,4.752327563607851128e-03
3.333333333333333287e-02,4.080080986022949219e-02,5.719661712646484375e-04,1.290857791900634766e-03,4.082523286342620850e-02,1.876362461472634413e+00,-2.030847359954865569e-04,-3.180893268060456247e-01
6.666666666666666574e-02,9.550142288208007812e-02,1.499176025390625000e-03,1.643300056457519531e-04,9.551332890987396240e-02,2.447651649926959827e+00,2.478041791650760191e-04,4.970047847529941720e-02
1.000000000000000056e-01,1.515359878540039062e-01,2.437472343444824219e-03,2.691149711608886719e-05,1.515555828809738159e-01,2.970292175687635261e+00,2.538404953728194691e-03,3.980726295754667687e-03
1.333333333333333315e-01,2.090635299682617188e-01,3.393530845642089844e-03,2.497434616088867188e-05,2.090910673141479492e-01,3.469772810633266147e+00,3.127557127914726547e-03,1.370165900452059498e-03
1.666666666666666574e-01,2.676770687103271484e-01,4.377365112304687500e-03,5.722045898437500000e-06,2.677128612995147705e-01,3.951654609408713270e+00,-1.989434960854199585e-03,-1.622853509585274858e-03
1.999999999999999833e-01,3.270416259765625000e-01,5.402922630310058594e-03,1.400709152221679688e-05,3.270862698554992676e-01,4.424296869784425823e+00,-1.508379785056042539e-03,6.008993575095934216e-03
2.333333333333333093e-01,3.870058059692382812e-01,6.468176841735839844e-03,-2.020597457885742188e-05,3.870598673820495605e-01,4.887650499775744173e+00,-7.885469733329897497e-05,-2.286286648616298696e-04
2.666666666666666630e-01,4.473686218261718750e-01,7.595419883728027344e-03,2.217292785644531250e-05,4.474331140518188477e-01,5.345688961932323124e+00,1.085698672589527434e-03,-7.928862450606324885e-03
2.999999999999999889e-01,5.080568790435791016e-01,8.778929710388183594e-03,-6.407499313354492188e-06,5.081326961517333984e-01,5.792219835997899580e+00,9.388109266324387678e-05,3.865135849470114921e-03
3.333333333333333148e-01,5.688428878784179688e-01,1.002216339111328125e-02,1.192092895507812500e-05,5.689311623573303223e-01,6.232143782701958123e+00,8.634223202363533597e-04,-6.047468834438462192e-03
3.666666666666666408e-01,6.296889781951904297e-01,1.134276390075683594e-02,1.737475395202636719e-05,6.297911405563354492e-01,6.664656120382907112e+00,2.196189297690081220e-03,2.636815915112744949e-03
3.999999999999999667e-01,6.857147216796875000e-01,1.244306564331054688e-02,2.318620681762695312e-05,6.858276128768920898e-01,6.398246726240675031e+00,-9.378280369185601484e-04,-9.425867827922547459e-03
4.333333333333332926e-01,7.288403511047363281e-01,9.693145751953125000e-03,8.374452590942382812e-06,7.289047837257385254e-01,3.097984696655139203e+00,-7.701346781620151604e-04,-5.915980605927442272e-03
4.666666666666666186e-01,7.659716606140136719e-01,5.779862403869628906e-03,1.664161682128906250e-04,7.659934759140014648e-01,3.110462811938517480e-01,-1.698856247809026878e-03,-4.465510311277562372e-02
4.999999999999999445e-01,7.701222896575927734e-01,3.556489944458007812e-03,1.471728086471557617e-03,7.701318860054016113e-01,2.613763192900625879e-03,-4.151423328582798389e-02,5.158321945300276858e-03
5.333333333333333259e-01,7.701385021209716797e-01,2.147793769836425781e-03,5.309313535690307617e-03,7.701597809791564941e-01,-1.666108421416908009e-03,-1.996666265222918624e-01,5.069495718675391151e-03
5.666666666666666519e-01,7.701413631439208984e-01,8.559226989746093750e-04,8.487701416015625000e-03,7.701886296272277832e-01,-1.671892341832682512e-03,-3.921227877564452124e-01,-1.680190684000100725e-03
5.999999999999999778e-01,7.701060771942138672e-01,-5.294084548950195312e-04,1.042908430099487305e-02,7.701768875122070312e-01,4.063987985939042889e-03,-5.729264595035716834e-01,-1.883695803464767102e-02
6.333333333333333037e-01,7.701315879821777344e-01,-2.025723457336425781e-03,1.069453358650207520e-02,7.702084779739379883e-01,-2.910398050087648243e-03,-7.409700305402184828e-01,4.245955372843856525e-04
6.666666666666666297e-01,7.701504230499267578e-01,-3.652095794677734375e-03,9.911656379699707031e-03,7.702228426933288574e-01,-1.059974364238734429e-03,-8.486501506004380246e-01,1.460087900528689265e-03
6.999999999999999556e-01,7.701494693756103516e-01,-5.194664001464843750e-03,8.927911520004272461e-03,7.702187299728393555e-01,9.304545467209706256e-04,-7.647253217518170665e-01,-1.623400979429483800e-03
7.333333333333332815e-01,7.701284885406494141e-01,-6.576657295227050781e-03,7.264703512191772461e-03,7.701908349990844727e-01,-2.132537929383879639e-03,-6.227844392062846790e-01,-5.665748638231358353e-03
7.666666666666666075e-01,7.701525688171386719e-01,-7.833957672119140625e-03,5.117148160934448242e-03,7.702094316482543945e-01,6.968908627853790880e-04,-4.387937371594067826e-01,-1.377426936820998335e-03
7.999999999999999334e-01,7.701213359832763672e-01,-8.951067924499511719e-03,2.794295549392700195e-03,7.701784372329711914e-01,2.962944107767631098e-03,-2.408909803098442659e-01,-6.736077717661704406e-03
8.333333333333332593e-01,7.701442241668701172e-01,-9.926080703735351562e-03,4.721581935882568359e-04,7.702083587646484375e-01,1.227612173513656889e-03,-4.280773371043220671e-02,-7.398387204279756497e-03
8.666666666666665853e-01,7.701523303985595703e-01,-1.046824455261230469e-02,3.278255462646484375e-06,7.702234983444213867e-01,2.006080029517072255e-04,5.073943846021828795e-04,-4.821056342131104476e-03
8.999999999999999112e-01,7.701506614685058594e-01,-1.081681251525878906e-02,1.287460327148437500e-05,7.702265977859497070e-01,7.901430699183445384e-04,1.558979318030087992e-03,-3.767301226984950610e-03
9.333333333333332371e-01,7.701480388641357422e-01,-1.105189323425292969e-02,1.370906829833984375e-06,7.702273130416870117e-01,1.406159567473921890e-04,-1.034704978002918023e-03,3.698745454351928721e-03
9.666666666666665630e-01,7.701578140258789062e-01,-1.125502586364746094e-02,-7.450580596923828125e-06,7.702400088310241699e-01,-2.417178632128514216e-04,8.095220224734365425e-04,-9.658383158695584871e-04
9.999999999999998890e-01,7.701497077941894531e-01,-1.142656803131103516e-02,6.556510925292968750e-06,7.702345252037048340e-01,3.348224681819370399e-04,1.890191617063740812e-04,-6.402917565111812537e-03
1.033333333333333215e+00,7.701444625854492188e-01,-1.156938076019287109e-02,1.683831214904785156e-05,7.702313661575317383e-01,1.195084147978465105e-03,-1.039560086073063527e-03,-7.419149578634207272e-03
1.066666666666666652e+00,7.701425552368164062e-01,-1.171410083770751953e-02,1.981854438781738281e-05,7.702316641807556152e-01,-1.524179808532487074e-04,-1.210823827834160140e-03,-7.753436145438089358e-03
1.100000000000000089e+00,7.701573371887207031e-01,-1.184952259063720703e-02,-2.443790435791015625e-06,7.702485322952270508e-01,3.427020527186620770e-04,1.344533201846756509e-03,3.638827157119345931e-04
1.133333333333333526e+00,7.701549530029296875e-01,-1.197135448455810547e-02,-7.420778274536132812e-06,7.702479362487792969e-01,1.264539655461107066e-04,-1.095743358099231273e-04,-3.446942051226379190e-03
1.166666666666666963e+00,7.701563835144042969e-01,-1.208913326263427734e-02,-8.612871170043945312e-06,7.702512741088867188e-01,-5.038737668461767873e-04,-1.022206865739918669e-03,6.920958898951515932e-04
1.200000000000000400e+00,7.701468467712402344e-01,-1.219213008880615234e-02,-4.172325134277343750e-07,7.702433466911315918e-01,1.047898553100565580e-03,-2.867557974593563773e-05,-5.176419195181833181e-03
1.233333333333333837e+00,7.701597213745117188e-01,-1.229560375213623047e-02,-1.445412635803222656e-05,7.702578902244567871e-01,1.415689352019354886e-04,1.384155901912163420e-04,-1.448269513817551949e-03
1.266666666666667274e+00,7.701590061187744141e-01,-1.239621639251708984e-02,-1.364946365356445312e-05,7.702587842941284180e-01,2.327033965133522742e-04,-6.364871589661973356e-04,-3.543678867961691211e-04
1.300000000000000711e+00,7.701559066772460938e-01,-1.248311996459960938e-02,-1.680850982666015625e-05,7.702570557594299316e-01,4.561740627214116691e-04,3.458538604782481407e-04,1.192139817011637182e-04
1.333333333333334147e+00,7.701559066772460938e-01,-1.255750656127929688e-02,-1.198053359985351562e-05,7.702583074569702148e-01,4.389472617526349991e-04,3.398189512461180397e-04,-1.447128925587012633e-03
1.366666666666667584e+00,7.701535224914550781e-01,-1.261866092681884766e-02,-2.145767211914062500e-06,7.702568769454956055e-01,-1.759222770994871147e-04,-7.673303673238175086e-04,-3.086807570658562511e-03
1.400000000000001021e+00,7.701554298400878906e-01,-1.266944408416748047e-02,1.579523086547851562e-06,7.702596187591552734e-01,-1.209932326397388110e-04,-1.303390837843434145e-03,-2.531593524233026297e-03
1.433333333333334458e+00,7.701568603515625000e-01,-1.270079612731933594e-02,-1.209974288940429688e-05,7.702615857124328613e-01,-4.054537903956594133e-04,5.892899535762225437e-04,-4.991867141965124644e-04
1.466666666666667895e+00,7.701523303985595703e-01,-1.272094249725341797e-02,-1.618266105651855469e-05,7.702574133872985840e-01,-8.927537492882681863e-04,-3.482559586767611367e-04,5.913076608261530302e-04
1.500000000000001332e+00,7.701599597930908203e-01,-1.273298263549804688e-02,-1.341104507446289062e-05,7.702652215957641602e-01,1.761525651357540541e-05,-4.327809305761783033e-04,-1.029204641338541445e-03
1.533333333333334769e+00,7.701489925384521484e-01,-1.273870468139648438e-02,-9.775161743164062500e-06,7.702543735504150391e-01,-7.691197276427254445e-04,4.931287657387140944e-05,-2.801276565011937524e-03
1.566666666666668206e+00,7.701518535614013672e-01,-1.274073123931884766e-02,-1.019239425659179688e-05,7.702572345733642578e-01,-8.761711347095649249e-04,-8.838442586025858005e-04,-5.764073200891209250e-04
