t,dx,dy,dz,dmag,yaw_deg,pitch_deg,roll_deg
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.146110647621564976e-02,2.039824906572066526e-03,-7.886606908341820162e-04
3.333333333333333287e-02,8.090019226074218750e-03,6.139278411865234375e-05,-2.220273017883300781e-05,8.090282790362834930e-03,1.390196826746693537e-01,1.699597750012355401e-04,1.626901430535032363e-03
6.666666666666666574e-02,2.471125125885009766e-02,2.454519271850585938e-04,-8.821487426757812500e-06,2.471247129142284393e-02,5.035760270441413944e-01,-1.213888116499576252e-03,2.576642590522694194e-03
1.000000000000000056e-01,4.472124576568603516e-02,4.780292510986328125e-04,-2.065300941467285156e-05,4.472380504012107849e-02,8.920894066697786506e-01,4.439452039026372393e-04,-1.026374640167848455e-03
1.333333333333333315e-01,6.696617603302001953e-02,7.400512695312500000e-04,-1.809000968933105469e-05,6.697026640176773071e-02,1.281265474727465881e+00,-1.657469252434712575e-04,2.954751757763083870e-03
1.666666666666666574e-01,9.066188335418701172e-02,1.017570495605468750e-03,-3.397464752197265625e-06,9.066759794950485229e-02,1.658055208168746519e+00,-1.397688219416271839e-03,3.631640429906873770e-03
1.999999999999999833e-01,1.152499914169311523e-01,1.325726509094238281e-03,-1.546740531921386719e-05,1.152576133608818054e-01,2.026893427477368448e+00,-4.664130932514827022e-04,2.954615437459214532e-03
2.333333333333333093e-01,1.404005289077758789e-01,1.665234565734863281e-03,-2.542138099670410156e-05,1.404104083776473999e-01,2.392478022141831584e+00,-2.295541682090573106e-04,7.622123111446032053e-04
2.666666666666666630e-01,1.659954786300659180e-01,2.043485641479492188e-03,-7.450580596923828125e-06,1.660080552101135254e-01,2.751211723625360595e+00,1.463730612501807629e-03,8.850253885748721530e-04
2.999999999999999889e-01,1.919425725936889648e-01,2.448201179504394531e-03,2.145767211914062500e-06,1.919581890106201172e-01,3.096366582152080937e+00,-1.615243855925477560e-03,-4.047396929506659122e-03
3.333333333333333148e-01,2.180305719375610352e-01,2.872228622436523438e-03,-1.829862594604492188e-05,2.180494964122772217e-01,3.429865722860174326e+00,-6.527719376516418382e-05,3.123158192604547339e-03
3.666666666666666408e-01,2.441710233688354492e-01,3.328084945678710938e-03,2.616643905639648438e-05,2.441937029361724854e-01,3.751716189382222844e+00,-3.731783326161225000e-03,-4.329506170461666810e-03
3.999999999999999667e-01,2.703040838241577148e-01,3.811955451965332031e-03,-4.887580871582031250e-06,2.703309655189514160e-01,4.066790681360795467e+00,1.645986168856314671e-03,-9.080109928392149235e-04
4.333333333333332926e-01,2.962702512741088867e-01,4.320025444030761719e-03,-1.436471939086914062e-05,2.963017523288726807e-01,4.371677519305470661e+00,9.702023373404438603e-04,-8.071405338621484181e-04
4.666666666666666186e-01,3.221050500869750977e-01,4.861235618591308594e-03,-4.559755325317382812e-06,3.221417367458343506e-01,4.668642618473400674e+00,5.805482056497737525e-04,4.891604392232601350e-03
4.999999999999999445e-01,3.476861715316772461e-01,5.442142486572265625e-03,4.407763481140136719e-05,3.477287590503692627e-01,4.964553307188209530e+00,3.787986478231707404e-03,6.380365934658870086e-03
5.333333333333333259e-01,3.729757070541381836e-01,6.049156188964843750e-03,-4.947185516357421875e-06,3.730247616767883301e-01,5.248631973826441310e+00,-4.228627947063622722e-04,-5.633628322962784887e-03
5.666666666666666519e-01,3.978322744369506836e-01,6.696343421936035156e-03,1.421570777893066406e-05,3.978886306285858154e-01,5.538066362547609423e+00,1.365761024578179611e-03,-7.106068948274429573e-03
5.999999999999999778e-01,4.222410917282104492e-01,7.357835769653320312e-03,-9.328126907348632812e-06,4.223051965236663818e-01,5.814823493282410105e+00,9.752632807317985694e-04,2.172004533321518407e-03
6.333333333333333037e-01,4.460898637771606445e-01,8.034229278564453125e-03,2.056360244750976562e-06,4.461622238159179688e-01,6.092106975470125363e+00,1.860804664585307333e-03,-2.005322946361581034e-03
6.666666666666666297e-01,4.693418741226196289e-01,8.734703063964843750e-03,-1.022219657897949219e-05,4.694231450557708740e-01,6.364833013934149797e+00,-1.561709840813897720e-04,-4.798260002141858244e-03
6.999999999999999556e-01,4.918650388717651367e-01,9.434580802917480469e-03,-5.602836608886718750e-06,4.919555187225341797e-01,6.634070533279589732e+00,1.735116302213679518e-03,3.886020005380430163e-04
7.333333333333332815e-01,5.136121511459350586e-01,1.013767719268798828e-02,6.347894668579101562e-06,5.137121677398681641e-01,6.894565410487413892e+00,-2.110741063182176684e-03,4.258925186708776255e-03
7.666666666666666075e-01,5.345090627670288086e-01,1.084160804748535156e-02,3.874301910400390625e-07,5.346189737319946289e-01,7.153834268739220015e+00,1.563954488019237430e-03,2.644719366124688963e-03
7.999999999999999334e-01,5.545345544815063477e-01,1.155602931976318359e-02,3.641843795776367188e-05,5.546549558639526367e-01,7.406044980257465049e+00,-3.620605155400074150e-03,8.468712531775134111e-03
8.333333333333332593e-01,5.736469030380249023e-01,1.228153705596923828e-02,7.003545761108398438e-06,5.737783312797546387e-01,7.654105498081280601e+00,-1.679196108572100516e-03,5.897503576850702742e-03
8.666666666666665853e-01,5.916556119918823242e-01,1.303446292877197266e-02,-7.092952728271484375e-06,5.917991399765014648e-01,7.901990992307614370e+00,1.705761788339664464e-03,8.158775397596781779e-05
8.999999999999999112e-01,6.085795164108276367e-01,1.379561424255371094e-02,1.856684684753417969e-05,6.087358593940734863e-01,8.142617702993517170e+00,-1.916462326999480732e-03,8.722340000618052785e-03
9.333333333333332371e-01,6.243208646774291992e-01,1.457834243774414062e-02,7.927417755126953125e-06,6.244910359382629395e-01,8.376462889607243056e+00,2.664740108000290646e-03,-6.648970189913812898e-04
9.666666666666665630e-01,6.388369798660278320e-01,1.539599895477294922e-02,2.190470695495605469e-05,6.390224695205688477e-01,8.599082660320053861e+00,-3.490976844429459752e-03,-3.881913252005952421e-03
9.999999999999998890e-01,6.520985364913940430e-01,1.622581481933593750e-02,-5.722045898437500000e-06,6.523003578186035156e-01,8.820914397957375641e+00,6.808706215703444345e-04,4.208974842704763485e-03
1.033333333333333215e+00,6.640819311141967773e-01,1.707839965820312500e-02,-9.030103683471679688e-06,6.643015146255493164e-01,9.029547648797292325e+00,5.630803949694544773e-04,3.747428894981451059e-03
1.066666666666666652e+00,6.746891736984252930e-01,1.793599128723144531e-02,-3.427267074584960938e-06,6.749275326728820801e-01,9.213339501625872785e+00,-1.585091638988912408e-03,-2.639495838884682588e-03
1.100000000000000089e+00,6.839045286178588867e-01,1.879942417144775391e-02,1.567602157592773438e-05,6.841628551483154297e-01,9.371789645086412435e+00,-2.550179359423863576e-03,5.655318675899538051e-03
1.133333333333333526e+00,6.916486024856567383e-01,1.966702938079833984e-02,1.028180122375488281e-05,6.919281482696533203e-01,9.504515588585393360e+00,-1.968783477022162647e-03,-5.207611114986441386e-03
1.166666666666666963e+00,6.979836225509643555e-01,2.048921585083007812e-02,1.496076583862304688e-05,6.982842683792114258e-01,9.601792850292007131e+00,-2.660611728889534025e-03,5.093185436068893741e-03
1.200000000000000400e+00,7.029362916946411133e-01,2.129638195037841797e-02,-6.943941116333007812e-06,7.032588124275207520e-01,9.677315959492130304e+00,6.088730739258709683e-04,-4.118338932779888086e-03
1.233333333333333837e+00,7.066320180892944336e-01,2.201366424560546875e-02,-1.016259193420410156e-05,7.069748640060424805e-01,9.732873571974661076e+00,1.191526688305472774e-03,-1.126395598535711315e-03
1.266666666666667274e+00,7.086387872695922852e-01,2.254319190979003906e-02,-1.552700996398925781e-05,7.089973092079162598e-01,9.709014013656513953e+00,7.478791900205745925e-04,-1.292362546104493031e-03
1.300000000000000711e+00,7.093080282211303711e-01,2.274107933044433594e-02,-1.764297485351562500e-05,7.096724510192871094e-01,9.655767566434386495e+00,1.716950449243421074e-04,2.831555097092455092e-03
1.333333333333334147e+00,7.095209360122680664e-01,2.281510829925537109e-02,-7.987022399902343750e-06,7.098876237869262695e-01,9.638875654843300111e+00,1.492774445316316471e-03,6.403130904302959487e-04
1.366666666666667584e+00,7.098079919815063477e-01,2.287793159484863281e-02,-2.583861351013183594e-05,7.101765871047973633e-01,9.616052577731702300e+00,3.055564895511458912e-04,-1.210156009464803689e-04
1.400000000000001021e+00,7.099956274032592773e-01,2.293479442596435547e-02,-1.275539398193359375e-05,7.103659510612487793e-01,9.600647086058737401e+00,8.065827983069830424e-04,-1.845037574760256208e-03
1.433333333333334458e+00,7.102473974227905273e-01,2.298653125762939453e-02,4.887580871582031250e-06,7.106192708015441895e-01,9.580591089334641097e+00,1.385941223689958826e-03,-4.497311461944783137e-03
1.466666666666667895e+00,7.104705572128295898e-01,2.301812171936035156e-02,-1.686811447143554688e-05,7.108433246612548828e-01,9.563372182437039015e+00,1.148906843577530496e-04,3.253297392053424060e-03
1.500000000000001332e+00,7.106274366378784180e-01,2.306127548217773438e-02,1.114606857299804688e-05,7.110015749931335449e-01,9.550939530600324190e+00,2.792774055049962890e-03,1.107401531976176913e-03
1.533333333333334769e+00,7.107976675033569336e-01,2.309787273406982422e-02,9.715557098388671875e-06,7.111728787422180176e-01,9.536109482364933498e+00,-1.646916752949012606e-03,-6.012814712420906128e-03
1.566666666666668206e+00,7.108699083328247070e-01,2.311468124389648438e-02,1.659989356994628906e-05,7.112456560134887695e-01,9.531596434870847290e+00,1.981094617859213095e-03,-5.493491050585171988e-03
1.600000000000001643e+00,7.109428644180297852e-01,2.311003208160400391e-02,1.877546310424804688e-06,7.113183736801147461e-01,9.525848830684282120e+00,-2.364329970471249452e-03,2.022478252125117521e-03
1.633333333333335080e+00,7.109824419021606445e-01,2.309954166412353516e-02,-6.198883056640625000e-06,7.113575935363769531e-01,9.520195141598804867e+00,-3.401128528186802029e-04,-5.534704388691655784e-03
1.666666666666668517e+00,7.109693288803100586e-01,2.309811115264892578e-02,-1.856684684753417969e-05,7.113444209098815918e-01,9.523723788078761743e+00,8.154706111461784744e-04,2.320776831919798438e-04
1.700000000000001954e+00,7.109969854354858398e-01,2.308952808380126953e-02,-1.084804534912109375e-05,7.113717794418334961e-01,9.521565448301037904e+00,-1.647507265824947652e-03,1.831508618364557233e-04
1.733333333333335391e+00,7.109564542770385742e-01,2.308344841003417969e-02,-2.235174179077148438e-05,7.113311290740966797e-01,9.524198486226078231e+00,1.568654307669837525e-04,1.609069213170860602e-03
1.766666666666668828e+00,7.109304666519165039e-01,2.308428287506103516e-02,-6.675720214843750000e-06,7.113051414489746094e-01,9.526119476930144714e+00,-1.430284926205477531e-03,-2.257207432970624855e-03
1.800000000000002265e+00,7.109395265579223633e-01,2.310049533843994141e-02,-1.055002212524414062e-05,7.113147377967834473e-01,9.526001656166961595e+00,1.268731087923423905e-03,-7.532314294740964080e-04
1.833333333333335702e+00,7.108954191207885742e-01,2.311456203460693359e-02,-2.372264862060546875e-05,7.112711071968078613e-01,9.529610557369666779e+00,-1.543119393869661030e-04,1.452374234893921354e-03
1.866666666666669139e+00,7.108622789382934570e-01,2.310502529144287109e-02,-1.871585845947265625e-05,7.112376689910888672e-01,9.531054288605478320e+00,5.203715460064171038e-04,1.264847209908139414e-03
1.900000000000002576e+00,7.107692956924438477e-01,2.310693264007568359e-02,-4.172325134277343750e-06,7.111448049545288086e-01,9.539181359944146621e+00,-1.215999726344144712e-03,-3.511902427955056714e-03
1.933333333333336013e+00,7.106949090957641602e-01,2.309238910675048828e-02,-2.354383468627929688e-06,7.110700011253356934e-01,9.545633327388870271e+00,1.635764126254019447e-03,-1.719185898997066487e-03
1.966666666666669450e+00,7.105375528335571289e-01,2.305650711059570312e-02,-2.250075340270996094e-05,7.109115719795227051e-01,9.557743252787302524e+00,5.070914158534458498e-04,-2.874752896136228324e-04
2.000000000000002665e+00,7.105251550674438477e-01,2.304244041442871094e-02,-1.567602157592773438e-05,7.108986973762512207e-01,9.549884266373556585e+00,-2.709405382608766843e-04,3.362357595524642900e-03
2.033333333333335879e+00,7.104901075363159180e-01,2.305567264556884766e-02,1.510977745056152344e-05,7.108640670776367188e-01,9.548636903076383575e+00,2.252329083747755655e-03,-4.101471066923134332e-03
2.066666666666669094e+00,7.103830575942993164e-01,2.304565906524658203e-02,-1.740455627441406250e-05,7.107567787170410156e-01,9.565786654308638504e+00,-4.065242382863637981e-04,2.568173847975439416e-03
2.100000000000002309e+00,7.103077173233032227e-01,2.303421497344970703e-02,-3.516674041748046875e-06,7.106811404228210449e-01,9.562987130522580870e+00,1.079040759766835677e-03,-3.333856646856047951e-03
2.133333333333335524e+00,7.102051973342895508e-01,2.302098274230957031e-02,-2.005696296691894531e-05,7.105782032012939453e-01,9.576466508849600601e+00,5.925103123143024347e-04,6.609900040437884962e-04
2.166666666666668739e+00,7.101210355758666992e-01,2.302312850952148438e-02,-6.884336471557617188e-06,7.104941606521606445e-01,9.579427395854800409e+00,1.556712940868053415e-03,7.095383750144308678e-04
2.200000000000001954e+00,7.100857496261596680e-01,2.301931381225585938e-02,-2.759695053100585938e-05,7.104587554931640625e-01,9.568856824340560507e+00,1.387174125153795012e-04,-2.427763518108424698e-04
