t,dx,dy,dz,dmag,yaw_deg,pitch_deg,roll_deg,vx,vy,vz,vmag,wx,wy,wz
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.998788418596015637e-01,-2.512783927809461842e-04,1.078034303211433892e-03,4.004925023764371872e-03,4.863727372139692307e-03,-2.793194353580474854e-02,2.863370068371295929e-02,2.005444467067718506e-02,-6.829190533608198166e-03,2.777510555461049080e-03
3.333333333333333287e-02,1.097726821899414062e-02,-3.051757812500000000e-05,4.696846008300781250e-05,1.097741071134805679e-02,-3.836559945478474898e-01,2.058142686853460610e-03,1.642830687327071632e-03,4.100659191608428955e-01,-1.690842327661812305e-03,-2.338320761919021606e-02,4.107355475425720215e-01,-1.782907545566558838e-02,7.620616350322961807e-03,-6.353307515382766724e-02
6.666666666666666574e-02,2.551221847534179688e-02,-2.956390380859375000e-05,6.616115570068359375e-06,2.551223710179328918e-02,-4.968883647121998259e-01,7.740655595848266058e-04,-7.711011661879567901e-04,4.453686773777008057e-01,3.646296099759638309e-04,-1.775078661739826202e-02,4.457224309444427490e-01,-9.640133939683437347e-03,1.870540156960487366e-02,-6.531500071287155151e-02
1.000000000000000056e-01,4.100942611694335938e-02,3.242492675781250000e-05,-7.748603820800781250e-07,4.100943729281425476e-02,-6.111398204450592120e-01,2.142220162342527352e-04,1.132888738881019817e-03,4.704777002334594727e-01,3.178486134856939316e-03,-2.120931819081306458e-02,4.709662497043609619e-01,-6.091763731092214584e-03,-1.438197307288646698e-02,-6.091982498764991760e-02
1.333333333333333315e-01,5.667829513549804688e-02,1.626014709472656250e-04,-1.549720764160156250e-06,5.667852982878684998e-02,-7.197706708212328053e-01,-1.613347995369171866e-05,1.410873248439823606e-03,4.592403173446655273e-01,4.889166448265314102e-03,-1.905123703181743622e-02,4.596613049507141113e-01,8.675363846123218536e-03,-6.992511916905641556e-03,-5.074972286820411682e-02
1.666666666666666574e-01,7.159137725830078125e-02,3.542900085449218750e-04,3.159046173095703125e-06,7.159225642681121826e-02,-8.226015166533019451e-01,3.934442634419406891e-04,1.157091012279437515e-03,4.236942827701568604e-01,7.015686016529798508e-03,-1.877281442284584045e-02,4.241679906845092773e-01,-2.463003154844045639e-03,-1.255787257105112076e-02,-5.351689830422401428e-02
1.999999999999999833e-01,8.512783050537109375e-02,6.027221679687500000e-04,2.264976501464843750e-05,8.512996882200241089e-02,-9.210533574537466128e-01,6.519549277570644771e-04,2.118952798184063017e-03,3.788731694221496582e-01,8.150487206876277924e-03,-2.153260633349418640e-02,3.795720636844635010e-01,-5.098356865346431732e-03,-1.464563235640525818e-02,-5.231138691306114197e-02
2.333333333333333093e-01,9.719514846801757812e-02,8.816719055175781250e-04,2.115964889526367188e-05,9.719914942979812622e-02,-1.016156057683357927e+00,-4.176979696155567589e-04,2.300667137919309383e-03,3.352889716625213623e-01,9.684285148978233337e-03,-1.722968742251396179e-02,3.358710110187530518e-01,-9.438231063541024923e-05,-1.240821462124586105e-02,-4.806713014841079712e-02
2.666666666666666630e-01,1.080565452575683594e-01,1.175880432128906250e-03,-1.716613769531250000e-05,1.080629453063011169e-01,-1.107226384981722989e+00,-1.441550084894432839e-04,-3.797506322754983166e-05,3.081516325473785400e-01,8.530286140739917755e-03,-2.097728848457336426e-02,3.089825809001922607e-01,1.034800708293914795e-02,1.428306382149457932e-02,-4.208003729581832886e-02
2.999999999999999889e-01,1.181197166442871094e-01,1.468181610107421875e-03,9.536743164062500000e-06,1.181288436055183411e-01,-1.196988731054030586e+00,-6.576400472186584795e-04,1.044041668172973657e-03,2.850401103496551514e-01,9.248127229511737823e-03,-1.446534972637891769e-02,2.855567336082458496e-01,5.280296783894300461e-03,-8.909408352337777615e-04,-4.353381320834159851e-02
