t,dx,dy,dz,dmag,yaw_deg,pitch_deg,roll_deg,vx,vy,vz,vmag,wx,wy,wz
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.983081117939102023e-01,2.253821207440795751e-04,-2.785011510040183696e-03,-6.142437923699617386e-03,2.472398569807410240e-03,-2.882925979793071747e-02,2.957986667752265930e-02,3.505658125504851341e-03,5.240323394536972046e-02,1.290155388414859772e-02
3.333333333333333287e-02,1.083898544311523438e-02,3.480911254882812500e-05,-2.962350845336914062e-05,1.083908230066299438e-02,-3.608931351587370551e-01,2.701325434322662225e-04,-6.531925973049234344e-04,4.055001139640808105e-01,3.743240376934409142e-04,-2.683405205607414246e-02,4.063871800899505615e-01,-1.067681051790714264e-02,2.025114186108112335e-02,-5.121180042624473572e-02
6.666666666666666574e-02,2.520036697387695312e-02,7.104873657226562500e-05,3.033876419067382812e-05,2.520048618316650391e-02,-4.574358046840309999e-01,1.226581850483036452e-03,3.442775735884270535e-03,4.404800832271575928e-01,1.412253826856613159e-03,-1.748276129364967346e-02,4.408291578292846680e-01,3.495690412819385529e-03,-1.594715192914009094e-02,-5.107766389846801758e-02
1.000000000000000056e-01,4.052209854125976562e-02,1.535415649414062500e-04,-3.725290298461914062e-05,4.052240774035453796e-02,-5.593572748611363998e-01,-2.975993454837360489e-05,4.795354858051372295e-04,4.641926586627960205e-01,3.299487056210637093e-03,-1.761263795197010040e-02,4.645383954048156738e-01,8.260667324066162109e-03,-5.731056444346904755e-03,-4.790250957012176514e-02
1.333333333333333315e-01,5.604839324951171875e-02,2.894401550292968750e-04,-3.188848495483398438e-05,5.604914948344230652e-02,-6.565552423403548943e-01,2.751718350322379615e-04,-4.759894903778833322e-04,4.538772404193878174e-01,3.889494808390736580e-03,-1.691246218979358673e-02,4.542088806629180908e-01,-2.904533641412854195e-03,3.154864534735679626e-02,-5.168126523494720459e-02
1.666666666666666574e-01,7.083225250244140625e-02,4.758834838867187500e-04,-1.460313796997070312e-05,7.083384692668914795e-02,-7.494909583340738646e-01,2.766657825825545808e-04,1.710614707781077945e-03,4.183148443698883057e-01,6.468613166362047195e-03,-1.537696830928325653e-02,4.186473488807678223e-01,-8.047737181186676025e-03,5.721231456845998764e-03,-5.161097645759582520e-02
1.999999999999999833e-01,8.426952362060546875e-02,7.138252258300781250e-04,-2.664327621459960938e-05,8.427255600690841675e-02,-8.394092781793810465e-01,-1.415791488026840901e-04,1.033127185128088644e-03,3.734045922756195068e-01,7.992730475962162018e-03,-1.755554415285587311e-02,3.739024698734283447e-01,6.555000320076942444e-03,-1.303936121985316277e-03,-4.280163347721099854e-02
2.333333333333333093e-01,9.620618820190429688e-02,9.851455688476562500e-04,-2.175569534301757812e-05,9.621123969554901123e-02,-9.264436573693560772e-01,-6.265522436094371483e-04,5.368147136687770023e-04,3.345749378204345703e-01,8.884427137672901154e-03,-2.370162867009639740e-02,3.355310559272766113e-01,9.123294614255428314e-03,-1.046714186668395996e-02,-4.002198949456214905e-02
2.666666666666666630e-01,1.069970130920410156e-01,1.267910003662109375e-03,-3.099441528320312500e-05,1.070045307278633118e-01,-1.010668107406958560e+00,1.884947376016093902e-05,-9.155399798971814536e-04,3.039467334747314453e-01,8.231455460190773010e-03,-1.949054561555385590e-02,3.046822249889373779e-01,-1.110730413347482681e-02,1.930038258433341980e-02,-4.916858300566673279e-02
2.999999999999999889e-01,1.169548034667968750e-01,1.555919647216796875e-03,-2.431869506835937500e-05,1.169651523232460022e-01,-1.094137608097862868e+00,-4.523590222907643917e-04,6.552882614258740768e-04,2.857823669910430908e-01,9.134264662861824036e-03,-2.186203934252262115e-02,2.867628633975982666e-01,8.056022226810455322e-03,-1.022374443709850311e-02,-3.939935937523841858e-02
