t,dx,dy,dz,dmag,yaw_deg,pitch_deg,roll_deg,vx,vy,vz,vmag,wx,wy,wz
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.742237182967447742e-02,3.118091279467775645e-01,-6.787241687563651260e-02,9.586452506482601166e-03,3.760597435757517815e-03,-8.820756524801254272e-02,8.880662173032760620e-02,-2.309988811612129211e-02,7.110183686017990112e-02,5.126919131726026535e-03
3.333333333333333287e-02,1.521110534667968750e-02,3.705024719238281250e-04,4.440546035766601562e-05,1.521568186581134796e-02,-8.520378844081247238e-02,1.860476428638963287e-01,-2.748327516165763873e-01,6.141099929809570312e-01,1.212149672210216522e-02,-2.824526466429233551e-02,6.148787140846252441e-01,-6.861588358879089355e-02,-7.039944827556610107e-02,-6.881704181432723999e-02
6.666666666666666574e-02,3.821516036987304688e-02,6.446838378906250000e-04,-1.981258392333984375e-03,3.827191516757011414e-02,-2.130008766696624700e-01,1.052902608820158736e-01,-2.597629797495746296e-01,7.362284660339355469e-01,3.693778067827224731e-03,-1.125407740473747253e-01,7.447895407676696777e-01,-2.455678768455982208e-02,1.044896692037582397e-01,-6.836752593517303467e-02
1.000000000000000056e-01,6.352329254150390625e-02,6.427764892578125000e-04,-5.714774131774902344e-03,6.378307193517684937e-02,-3.375334879908967745e-01,8.135995941314895508e-02,3.050906097016518881e-02,7.189954519271850586e-01,5.424864590167999268e-03,-6.030060350894927979e-02,7.215400934219360352e-01,-8.123080432415008545e-02,7.453210651874542236e-02,-9.343479573726654053e-02
1.333333333333333315e-01,8.667850494384765625e-02,1.029014587402343750e-03,-6.663322448730468750e-03,8.694033324718475342e-02,-4.722844224962271520e-01,-2.262991666047646944e-03,8.638783241592459805e-02,6.647410392761230469e-01,7.961754687130451202e-03,-2.981719002127647400e-02,6.654570698738098145e-01,1.091127656400203705e-02,-1.612428203225135803e-02,-4.172205552458763123e-02
1.666666666666666574e-01,1.079649925231933594e-01,1.236438751220703125e-03,-7.172107696533203125e-03,1.082100197672843933e-01,-5.602679311765694781e-01,-9.955233778198422550e-05,5.461143117928485974e-02,6.050325632095336914e-01,7.108975201845169067e-03,-4.184803366661071777e-02,6.065197587013244629e-01,3.958127927035093307e-03,-3.604236990213394165e-02,-4.384695738554000854e-02
1.999999999999999833e-01,1.271543502807617188e-01,1.476287841796875000e-03,-7.857739925384521484e-03,1.274054646492004395e-01,-6.434932526046459600e-01,-6.176651603131521739e-04,6.045132629597840812e-03,5.345832109451293945e-01,7.698986679315567017e-03,-2.533602528274059296e-02,5.352386236190795898e-01,1.559021696448326111e-02,2.833999460563063622e-04,-3.233065828680992126e-02
2.333333333333333093e-01,1.442561149597167969e-01,1.737594604492187500e-03,-7.941007614135742188e-03,1.444849669933319092e-01,-7.129815695079458893e-01,4.342179802932428682e-05,-1.171336379813360702e-03,4.833232462406158447e-01,7.841743528842926025e-03,-2.409975975751876831e-02,4.839872419834136963e-01,-1.288991048932075500e-02,2.255418524146080017e-02,-4.052577167749404907e-02
2.666666666666666630e-01,1.595401763916015625e-01,2.007484436035156250e-03,-7.902979850769042969e-03,1.597484201192855835e-01,-7.740723289092737991e-01,-1.123262628616281513e-03,1.947318031742710639e-03,4.223635792732238770e-01,9.190151467919349670e-03,-2.065100520849227905e-02,4.229680001735687256e-01,6.256047170609235764e-03,-2.195376204326748848e-03,-2.694697678089141846e-02
2.999999999999999889e-01,1.728568077087402344e-01,2.281188964843750000e-03,-7.912933826446533203e-03,1.730528771877288818e-01,-8.291999596392102267e-01,7.398692778538888638e-04,2.046176724033547337e-03,3.651823699474334717e-01,7.673569954931735992e-03,-1.733214594423770905e-02,3.656739890575408936e-01,-8.346409536898136139e-03,6.457870826125144958e-03,-3.274323418736457825e-02
3.333333333333333148e-01,1.845002174377441406e-01,2.546310424804687500e-03,-7.912755012512207031e-03,1.846873760223388672e-01,-8.826359979716579263e-01,-4.913680986030317206e-04,2.359173769619851788e-03,3.247866332530975342e-01,8.476278744637966156e-03,-2.271094731986522675e-02,3.256900310516357422e-01,3.206145018339157104e-03,-1.610364578664302826e-02,-2.445006370544433594e-02
3.666666666666666408e-01,1.947965621948242188e-01,2.808094024658203125e-03,-7.874488830566406250e-03,1.949758827686309814e-01,-9.307290674650101625e-01,7.196834508396562306e-04,4.749397302397156614e-03,2.801916599273681641e-01,7.360524497926235199e-03,-1.528526470065116882e-02,2.807047963142395020e-01,-1.887990161776542664e-03,-4.650366026908159256e-03,-2.517657727003097534e-02
3.999999999999999667e-01,2.037010192871093750e-01,3.067493438720703125e-03,-7.915914058685302734e-03,2.038778513669967651e-01,-9.766939994233746480e-01,1.920354177876574294e-04,2.665757924581014984e-03,2.425299733877182007e-01,7.773392833769321442e-03,-2.211545966565608978e-02,2.436602264642715454e-01,-1.840785145759582520e-02,1.033872645348310471e-02,-3.236902877688407898e-02
