t,dx,dy,dz,dmag,yaw_deg,pitch_deg,roll_deg,vx,vy,vz,vmag,wx,wy,wz
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.863420308161111150e-02,6.062565953742570651e-02,-4.593456629801627444e-02,-1.470725983381271362e-04,3.191167721524834633e-03,-1.856513917446136475e-01,1.856788694858551025e-01,7.064430043101310730e-03,-6.359416525810956955e-03,4.667574074119329453e-03
3.333333333333333287e-02,2.384424209594726562e-02,1.993179321289062500e-04,-7.411420345306396484e-03,2.497031912207603455e-02,3.567280988095711518e-03,2.555632004825969181e-02,-5.991710878633754733e-01,8.561084866523742676e-01,2.052577957510948181e-02,-1.977469325065612793e-01,8.788895606994628906e-01,-1.139275953173637390e-01,8.639266341924667358e-02,-8.753563463687896729e-02
6.666666666666666574e-02,5.463695526123046875e-02,4.076957702636718750e-04,-1.342999935150146484e-02,5.626480281352996826e-02,-8.322204640573029055e-02,2.173100932095757640e-03,-2.103120232924988453e-01,9.538069963455200195e-01,-4.510751459747552872e-03,-2.021732181310653687e-01,9.750087857246398926e-01,8.579516783356666565e-03,2.878926694393157959e-01,-3.992922604084014893e-02
1.000000000000000056e-01,8.655166625976562500e-02,4.959106445312500000e-04,-1.557171344757080078e-02,8.794268220663070679e-02,-1.567875393463848410e-01,2.173091760699167110e-03,6.126793077313830160e-02,9.339815974235534668e-01,3.061607247218489647e-03,1.283296663314104080e-02,9.340747594833374023e-01,1.483382657170295715e-03,1.825692877173423767e-02,-3.505821153521537781e-02
1.333333333333333315e-01,1.187639236450195312e-01,5.087852478027343750e-04,-1.423186063766479492e-02,1.196146905422210693e-01,-2.246975356026696402e-01,2.082519175098933306e-02,1.177551693543040373e-01,9.849069118499755859e-01,-3.029176965355873108e-03,6.554292887449264526e-02,9.870899915695190430e-01,1.802985742688179016e-02,2.434073574841022491e-02,-3.315013647079467773e-02
1.666666666666666574e-01,1.519975662231445312e-01,4.386901855468750000e-04,-1.131117343902587891e-02,1.524184793233871460e-01,-2.836057027186346668e-01,4.463008687792979073e-02,1.610796195486502713e-01,1.009192347526550293e+00,-5.057066446170210838e-04,8.818854391574859619e-02,1.013038277626037598e+00,7.776768412441015244e-03,3.166398406028747559e-02,-2.924629673361778259e-02
1.999999999999999833e-01,1.860303878784179688e-01,4.496574401855468750e-04,-9.680986404418945312e-03,1.862826496362686157e-01,-3.363911922130650156e-01,5.941093307190142142e-02,2.481455483428969544e-01,1.029414772987365723e+00,1.276914030313491821e-03,3.587167244404554367e-03,1.029421806335449219e+00,7.836990989744663239e-03,5.395994707942008972e-02,-2.612012252211570740e-02
2.333333333333333093e-01,2.203202247619628906e-01,6.103515625000000000e-04,-1.074481010437011719e-02,2.205829173326492310e-01,-3.910746472035391275e-01,5.071820000700445058e-02,3.315889288963113635e-01,1.005167365074157715e+00,1.273051463067531586e-02,-6.059215962886810303e-02,1.007072448730468750e+00,-4.133452847599983215e-02,-6.401024293154478073e-03,-4.290560260415077209e-02
2.666666666666666630e-01,2.531905174255371094e-01,1.081466674804687500e-03,-1.305007934570312500e-02,2.535289227962493896e-01,-4.631876243779751157e-01,2.220834664186282018e-04,2.450989638079539290e-01,9.528836011886596680e-01,7.280783727765083313e-03,-1.026104167103767395e-01,9.584200978279113770e-01,-5.367155536077916622e-04,-1.152925267815589905e-01,-2.662613801658153534e-02
2.999999999999999889e-01,2.846622467041015625e-01,1.388549804687500000e-03,-1.642274856567382812e-02,2.851389646530151367e-01,-5.154284329665234088e-01,5.134665265778583232e-04,2.966791300196553686e-03,9.348900914192199707e-01,9.410622529685497284e-03,-1.226049363613128662e-01,9.429422616958618164e-01,-5.459452047944068909e-03,-1.427224129438400269e-01,-2.968091517686843872e-02
