t,dx,dy,dz,dmag,yaw_deg,pitch_deg,roll_deg,vx,vy,vz,vmag,wx,wy,wz
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.612104729255148583e-01,-5.010351883352634657e-03,-7.473904483806702130e-03,-1.492674741894006729e-02,1.938351429998874664e-02,-2.116563729941844940e-02,3.234984725713729858e-02,2.339365147054195404e-02,1.602245308458805084e-02,2.272022888064384460e-02
3.333333333333333287e-02,2.687311172485351562e-02,2.675056457519531250e-04,3.438949584960937500e-03,2.709357999265193939e-02,1.485185147988133669e-01,1.109158870572329566e-04,-2.568862694898091936e-01,1.082775354385375977e+00,4.176305141299962997e-03,1.824993267655372620e-02,1.082937240600585938e+00,-2.324316883459687233e-03,-1.606945507228374481e-02,-7.548648864030838013e-02
6.666666666666666574e-02,6.788492202758789062e-02,3.890991210937500000e-04,3.751218318939208984e-03,6.798960268497467041e-02,-1.470489702504160223e-02,-1.230924939934785523e-05,-2.789783295972303456e-01,1.345106363296508789e+00,2.930865390226244926e-03,-2.056879177689552307e-02,1.345266819000244141e+00,1.130324555560946465e-03,2.911074459552764893e-02,-9.135191887617111206e-02
1.000000000000000056e-01,1.163635253906250000e-01,4.715919494628906250e-04,2.172589302062988281e-03,1.163847595453262329e-01,-1.880219810806399161e-01,1.062312103073601598e-05,-1.681114860621635010e-01,1.537864804267883301e+00,2.068975009024143219e-03,-7.925777137279510498e-02,1.539907217025756836e+00,-1.651159138418734074e-03,9.584207832813262939e-02,-8.925918489694595337e-02
1.333333333333333315e-01,1.694865226745605469e-01,5.292892456054687500e-04,-2.443790435791015625e-06,1.694873422384262085e-01,-3.428384905831604046e-01,3.195058189939830109e-03,1.101913201503700555e-02,1.589666724205017090e+00,3.126724390313029289e-03,-2.586495317518711090e-02,1.589880228042602539e+00,-1.570005528628826141e-02,-4.279981367290019989e-03,-8.076563477516174316e-02
1.666666666666666574e-01,2.228398323059082031e-01,6.475448608398437500e-04,-2.115368843078613281e-04,2.228408753871917725e-01,-4.748876317045011564e-01,3.844850726454726342e-05,9.687811877505651424e-04,1.597142457962036133e+00,3.570338943973183632e-03,-1.365513354539871216e-02,1.597204804420471191e+00,-2.148824278265237808e-03,-7.422431837767362595e-03,-6.576105207204818726e-02
1.999999999999999833e-01,2.764472961425781250e-01,7.739067077636718750e-04,-1.658797264099121094e-04,2.764484286308288574e-01,-5.931126567087212642e-01,7.774740361734294898e-04,3.072966682558367791e-03,1.606811285018920898e+00,3.799695521593093872e-03,-2.022877521812915802e-02,1.606943130493164062e+00,-5.633056207443587482e-05,-1.718339510262012482e-02,-5.914466083049774170e-02
2.333333333333333093e-01,3.301434516906738281e-01,9.160041809082031250e-04,-1.847147941589355469e-04,3.301447927951812744e-01,-7.032375576049821886e-01,6.362791871264640749e-04,1.963937853009855260e-03,1.605107188224792480e+00,4.001434892416000366e-03,-2.117115259170532227e-02,1.605251789093017578e+00,-9.375686640851199627e-04,-1.722824573516845703e-02,-5.597526952624320984e-02
2.666666666666666630e-01,3.838591575622558594e-01,1.046180725097656250e-03,-1.887679100036621094e-04,3.838606178760528564e-01,-8.077704012008539713e-01,4.017932827865428329e-04,2.048395159804312742e-03,1.604998350143432617e+00,3.342962358146905899e-03,-1.528347935527563095e-02,1.605074644088745117e+00,-8.107961155474185944e-03,7.707742974162101746e-03,-5.803139135241508484e-02
2.999999999999999889e-01,4.376540184020996094e-01,1.146316528320312500e-03,-1.974701881408691406e-04,4.376555681228637695e-01,-9.092429998834425930e-01,7.142250107824319946e-04,9.242454070087231365e-04,1.610192060470581055e+00,2.312832046300172806e-03,-2.327444963157176971e-02,1.610361814498901367e+00,-1.094641047529876232e-03,-2.020505815744400024e-02,-5.245291814208030701e-02
3.333333333333333148e-01,4.912800788879394531e-01,1.213550567626953125e-03,-2.120733261108398438e-04,4.912816286087036133e-01,-1.008643063039755594e+00,-4.691720160985984336e-04,1.710267184804585441e-04,1.598260521888732910e+00,2.211503218859434128e-03,-2.369932085275650024e-02,1.598437786102294922e+00,1.496651908382773399e-03,-1.973182521760463715e-02,-4.935612156987190247e-02
3.666666666666666408e-01,5.442595481872558594e-01,1.260280609130859375e-03,-1.813173294067382812e-04,5.442610383033752441e-01,-1.102421240178913298e+00,1.189067920255867418e-03,1.360650263828071509e-03,1.569127798080444336e+00,7.564684492535889149e-04,-1.737150363624095917e-02,1.569224119186401367e+00,-2.781471470370888710e-03,-3.777294419705867767e-03,-4.959802329540252686e-02
3.999999999999999667e-01,5.963263511657714844e-01,1.301288604736328125e-03,-1.770257949829101562e-04,5.963277816772460938e-01,-1.192862763186813835e+00,-5.388668136559223018e-04,2.560896761662466610e-03,1.540920734405517578e+00,1.499051693826913834e-03,-1.870564371347427368e-02,1.541034936904907227e+00,3.772959113121032715e-03,-9.221498854458332062e-03,-4.356545954942703247e-02
4.333333333333332926e-01,6.475291252136230469e-01,1.334190368652343750e-03,-2.148151397705078125e-04,6.475305557250976562e-01,-1.277766923768538287e+00,-1.707022803260663214e-04,-5.057964771871036134e-04,1.519826292991638184e+00,8.411757880821824074e-04,-2.050033397972583771e-02,1.519964814186096191e+00,8.831687271595001221e-03,2.350969426333904266e-02,-3.983525559306144714e-02
4.666666666666666186e-01,6.982240676879882812e-01,1.348018646240234375e-03,-1.984238624572753906e-04,6.982253789901733398e-01,-1.359461215605474171e+00,1.167437806719447873e-03,1.035772976713851144e-04,1.513477444648742676e+00,-1.880170166259631515e-04,-2.434113062918186188e-02,1.513673186302185059e+00,-4.849887453019618988e-03,-1.955733448266983032e-02,-4.443316534161567688e-02
4.999999999999999445e-01,7.487182617187500000e-01,1.336097717285156250e-03,-1.918673515319824219e-04,7.487195134162902832e-01,-1.440990515685271811e+00,2.036153612149914653e-04,2.131819642278170827e-03,1.505774974822998047e+00,-8.188516367226839066e-04,-1.555771194398403168e-02,1.505855560302734375e+00,-2.610010793432593346e-03,-7.558087818324565887e-03,-4.320582374930381775e-02
5.333333333333333259e-01,7.990226745605468750e-01,1.296997070312500000e-03,-2.149939537048339844e-04,7.990237474441528320e-01,-1.521025818605834967e+00,-1.399054992004205938e-04,5.474029868122011824e-04,1.499357223510742188e+00,-1.174947246909141541e-03,-2.273518964648246765e-02,1.499530076980590820e+00,9.174633771181106567e-03,-8.746399544179439545e-03,-3.661859035491943359e-02
5.666666666666666519e-01,8.488340377807617188e-01,1.249790191650390625e-03,-1.967549324035644531e-04,8.488349914550781250e-01,-1.599720270014959977e+00,-5.064241446412723769e-04,1.246941204489579675e-03,1.476712346076965332e+00,-1.203441177494823933e-03,-1.707925088703632355e-02,1.476811528205871582e+00,1.038402132689952850e-02,7.027439307421445847e-03,-3.580277413129806519e-02
5.999999999999999778e-01,8.979024887084960938e-01,1.204490661621093750e-03,-1.929998397827148438e-04,8.979033231735229492e-01,-1.675979438819858114e+00,1.527412335004111926e-04,-2.097794594690395933e-03,1.455070734024047852e+00,-1.280648517422378063e-03,-2.285590209066867828e-02,1.455250859260559082e+00,-1.195840258151292801e-02,3.003518283367156982e-02,-4.624536260962486267e-02
6.333333333333333037e-01,9.463095664978027344e-01,1.163482666015625000e-03,-1.885294914245605469e-04,9.463103413581848145e-01,-1.750430635207112839e+00,1.812811215218603791e-04,2.405453262138480298e-03,1.437861323356628418e+00,-1.357791596092283726e-03,-1.833958178758621216e-02,1.437978982925415039e+00,-1.593912020325660706e-02,1.427261065691709518e-02,-4.671402648091316223e-02
6.666666666666666297e-01,9.943051338195800781e-01,1.115322113037109375e-03,-1.543164253234863281e-04,9.943057894706726074e-01,-1.823440234792671699e+00,-2.368368042591713395e-04,4.716185590934302702e-03,1.427721858024597168e+00,-1.348795951344072819e-03,-1.323703769594430923e-02,1.427783846855163574e+00,2.095254138112068176e-03,-3.352865809574723244e-03,-3.666472807526588440e-02
6.999999999999999556e-01,1.042111873626708984e+00,1.047611236572265625e-03,-2.035498619079589844e-04,1.042112350463867188e+00,-1.895479307185854001e+00,5.327039478082909842e-04,7.971852955243067997e-04,1.424573540687561035e+00,-2.659706631675362587e-03,-1.540298294275999069e-02,1.424659371376037598e+00,-5.652307532727718353e-03,8.720490732230246067e-04,-4.083592072129249573e-02
7.333333333333332815e-01,1.089739322662353516e+00,9.536743164062500000e-04,-1.963376998901367188e-04,1.089739799499511719e+00,-1.968199477505333306e+00,1.039896196914025456e-03,5.025938359197100426e-04,1.420328378677368164e+00,-3.329623723402619362e-03,-2.169788256287574768e-02,1.420498013496398926e+00,-3.979909233748912811e-03,-1.780074276030063629e-02,-3.963683173060417175e-02
7.666666666666666075e-01,1.137017726898193359e+00,8.502006530761718750e-04,-1.578927040100097656e-04,1.137018084526062012e+00,-2.042536908554224873e+00,-8.446427392925397789e-04,3.398605456140646811e-03,1.403086900711059570e+00,-2.607525559142231941e-03,-1.461540348827838898e-02,1.403165459632873535e+00,7.967101992107927799e-04,-7.247444242238998413e-03,-3.771808743476867676e-02
7.999999999999999334e-01,1.183760643005371094e+00,7.386207580566406250e-04,-2.157092094421386719e-04,1.183760881423950195e+00,-2.115555472763069655e+00,1.426631583749947315e-05,7.152136456467316330e-04,1.388168931007385254e+00,-3.239188343286514282e-03,-2.219857461750507355e-02,1.388350248336791992e+00,-3.503402695059776306e-03,-1.810629293322563171e-02,-3.957889974117279053e-02
8.333333333333332593e-01,1.229905605316162109e+00,6.208419799804687500e-04,-2.151131629943847656e-04,1.229905724525451660e+00,-2.189375943869155794e+00,4.574012581174825409e-04,4.705902214617307684e-05,1.372741580009460449e+00,-3.704243106767535210e-03,-2.316111326217651367e-02,1.372941970825195312e+00,-8.054281584918498993e-03,-1.290891598910093307e-02,-4.233875870704650879e-02
8.666666666666665853e-01,1.275655746459960938e+00,4.906654357910156250e-04,-1.570582389831542969e-04,1.275655865669250488e+00,-2.264594896207801966e+00,-1.215674037544762793e-03,2.811470572322382136e-03,1.362258315086364746e+00,-3.901892341673374176e-03,-1.823480241000652313e-02,1.362385988235473633e+00,1.561289187520742416e-02,1.423398219048976898e-02,-3.205322474241256714e-02
8.999999999999999112e-01,1.321150779724121094e+00,3.347396850585937500e-04,-2.083778381347656250e-04,1.321150779724121094e+00,-2.339110125618525604e+00,5.727085896425088704e-04,3.631751111988455738e-04,1.360016822814941406e+00,-4.986516665667295456e-03,-2.670237980782985687e-02,1.360288023948669434e+00,-4.709288477897644043e-03,-2.497849054634571075e-02,-4.075305536389350891e-02
9.333333333333332371e-01,1.366486072540283203e+00,1.502037048339843750e-04,-2.046823501586914062e-04,1.366486072540283203e+00,-2.414095570864922102e+00,4.217715548427054015e-04,-8.638100722933453671e-04,1.350681781768798828e+00,-6.017473526298999786e-03,-1.578944921493530273e-02,1.350787520408630371e+00,-8.442530408501625061e-03,1.854931563138961792e-02,-4.383185133337974548e-02
9.666666666666665630e-01,1.411587715148925781e+00,-6.246566772460937500e-05,-1.846551895141601562e-04,1.411587715148925781e+00,-2.487298550181356926e+00,9.848763634445615364e-04,-1.455359003382080459e-03,1.343160867691040039e+00,-7.209436967968940735e-03,-1.690707355737686157e-02,1.343286633491516113e+00,4.231691360473632812e-03,3.777916729450225830e-02,-3.694963082671165466e-02
9.999999999999998890e-01,1.456162929534912109e+00,-2.994537353515625000e-04,-2.242922782897949219e-04,1.456162929534912109e+00,-2.556363075190998480e+00,1.489007502607561781e-05,-9.524854268388054698e-05,1.321551203727722168e+00,-7.453381549566984177e-03,-1.041529234498739243e-02,1.321613311767578125e+00,-5.670061334967613220e-03,1.116960123181343079e-02,-3.662374243140220642e-02
1.033333333333333215e+00,1.499583721160888672e+00,-5.488395690917968750e-04,-5.966424942016601562e-05,1.499583840370178223e+00,-2.608034096592379836e+00,1.941858341040496707e-03,-8.771559551066461513e-03,1.269159317016601562e+00,-7.447285577654838562e-03,6.340121850371360779e-03,1.269196987152099609e+00,9.873926319414749742e-05,-2.804407849907875061e-03,-2.003386989235877991e-02
1.066666666666666652e+00,1.538417339324951172e+00,-7.705688476562500000e-04,2.110242843627929688e-03,1.538418889045715332e+00,-2.586092327327125240e+00,9.626216986444058321e-03,-1.494614277498189092e-01,1.017539978027343750e+00,-5.059541668742895126e-03,1.081155166029930115e-01,1.023280143737792969e+00,-9.493685327470302582e-03,-1.314903497695922852e-01,4.735495522618293762e-02
1.100000000000000089e+00,1.564435958862304688e+00,-8.044242858886718750e-04,8.441030979156494141e-03,1.564458966255187988e+00,-2.464707059171304948e+00,3.109574781041591794e-04,-6.088679821332365627e-01,5.535731911659240723e-01,2.021227963268756866e-03,2.332198917865753174e-01,6.006986498832702637e-01,-1.454757247120141983e-02,-2.819295823574066162e-01,5.470789596438407898e-02
1.133333333333333526e+00,1.577336788177490234e+00,-6.527900695800781250e-04,1.769155263900756836e-02,1.577436208724975586e+00,-2.412252487006076418e+00,2.543506021979632914e-04,-1.265059890426258660e+00,2.687278687953948975e-01,6.283670198172330856e-03,2.808421254158020020e-01,3.887498676776885986e-01,-1.889789476990699768e-02,-3.497986495494842529e-01,-1.066132448613643646e-03
1.166666666666666963e+00,1.584313392639160156e+00,-4.472732543945312500e-04,2.754366397857666016e-02,1.584552884101867676e+00,-2.442913419633675254e+00,-2.815186238586562194e-04,-1.970483748895879517e+00,1.699885874986648560e-01,5.138681735843420029e-03,2.792876362800598145e-01,3.269925117492675781e-01,-1.116016041487455368e-02,-3.540061414241790771e-01,-2.240222878754138947e-02
1.200000000000000400e+00,1.589523315429687500e+00,-3.404617309570312500e-04,3.674733638763427734e-02,1.589948058128356934e+00,-2.487525013641024962e+00,1.199311956622784978e-05,-2.636653656431791060e+00,1.465220451354980469e-01,1.542915124446153641e-03,2.488002181053161621e-01,2.887431979179382324e-01,-1.649502664804458618e-02,-3.142683804035186768e-01,-2.359621599316596985e-02
1.233333333333333837e+00,1.594608306884765625e+00,-3.309249877929687500e-04,4.447209835052490234e-02,1.595228314399719238e+00,-2.528751395140987235e+00,7.515053439751323084e-05,-3.200437961092153394e+00,1.579180061817169189e-01,-1.036369125358760357e-03,1.955036520957946777e-01,2.513182163238525391e-01,-1.339253876358270645e-02,-2.469074726104736328e-01,-2.262318879365921021e-02
1.266666666666667274e+00,1.600422859191894531e+00,-4.119873046875000000e-04,5.026012659072875977e-02,1.601211905479431152e+00,-2.566458308227689056e+00,-6.434652743604452646e-06,-3.626240064800387852e+00,1.851619184017181396e-01,-3.928356803953647614e-03,1.379082947969436646e-01,2.309092134237289429e-01,-6.591322831809520721e-03,-1.751339584589004517e-01,-1.789958402514457703e-02
1.300000000000000711e+00,1.607048988342285156e+00,-6.051063537597656250e-04,5.421555042266845703e-02,1.607963442802429199e+00,-2.598641946153377624e+00,3.552935855568762090e-05,-3.918711753268095510e+00,2.063013911247253418e-01,-7.815949618816375732e-03,8.935196697711944580e-02,2.249558269977569580e-01,-6.784968543797731400e-03,-1.135913059115409851e-01,-1.659403741359710693e-02
1.333333333333334147e+00,1.614229679107666016e+00,-9.603500366210937500e-04,5.681639909744262695e-02,1.615229606628417969e+00,-2.626386174561969433e+00,2.989389100293696265e-04,-4.111398219943325216e+00,2.192844003438949585e-01,-1.316053420305252075e-02,5.973544716835021973e-02,2.276558279991149902e-01,-6.062591448426246643e-03,-7.853759080171585083e-02,-1.476478110998868942e-02
1.366666666666667584e+00,1.621580600738525391e+00,-1.481056213378906250e-03,5.883163213729858398e-02,1.622648119926452637e+00,-2.648860698582484741e+00,2.169078414872352141e-04,-4.261502726011756614e+00,2.171767503023147583e-01,-1.773328706622123718e-02,5.546324700117111206e-02,2.248474657535552979e-01,-4.943064413964748383e-03,-7.240135967731475830e-02,-1.106982398778200150e-02
