bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11
2.603348701307983681e-01,2.507089584181518838e-01,2.553975789854736611e-01,2.540400235960693642e-01,2.553281991789551064e-01,2.543937771628113076e-01,2.547003238508911416e-01,2.540150492499084756e-01,2.547393648932190224e-01,2.544939129660339638e-01,2.526301949331970498e-01,2.504984944174499795e-01
2.759340017149658486e-01,2.448681204626770302e-01,2.490068285773010537e-01,2.567252724478454873e-01,2.505958884070129677e-01,2.488655655691833779e-01,2.612784116575928017e-01,2.479379384825439736e-01,2.521191447088928506e-01,2.500019877264709756e-01,2.473645417998047158e-01,2.333821862051697060e-01
2.779427974531860634e-01,2.403428166220398232e-01,2.637985556433410927e-01,2.587543933699341103e-01,2.541323511908264443e-01,2.676483600447387978e-01,2.524390428374023720e-01,2.609752624342651650e-01,2.568232624838562295e-01,2.542264669249267861e-01,2.522437780211181924e-01,2.413212864706726357e-01
2.696415393660278603e-01,2.388431041548462197e-01,2.669661848852844521e-01,2.599123328039856240e-01,2.694889514754028603e-01,2.691900341818542763e-01,2.625348775694580361e-01,2.709740608046264931e-01,2.741955726454468056e-01,2.596683709929199502e-01,2.631612627814026162e-01,2.457457988569946572e-01
2.612661927054138467e-01,2.378372161696167275e-01,2.640277951071472451e-01,2.638420074293823525e-01,2.767470686743469521e-01,2.701239793608398720e-01,2.683803050825805947e-01,2.778248994658203408e-01,2.731868236372680947e-01,2.650670020888061806e-01,2.678103058645935342e-01,2.493797152350158974e-01
2.582111566374512002e-01,2.372935622046203896e-01,2.575146763632507607e-01,2.681015341589660927e-01,2.816959827254028603e-01,2.788846700499267861e-01,2.621504872153015420e-01,2.855204551527710244e-01,2.597814410040588662e-01,2.613145320723266884e-01,2.755237429449768349e-01,2.611962764570923134e-01
2.546593754599304482e-01,2.325028984854431435e-01,2.617703883955688759e-01,2.815348713705749795e-01,2.716568320105285927e-01,2.725925653288574502e-01,2.706845014403076455e-01,2.776991336653442666e-01,2.610864250967712685e-01,2.682317703078003213e-01,2.646105497191162392e-01,2.739800422499389931e-01
2.543842404196472451e-01,2.278875320265503213e-01,2.672329752752991006e-01,2.842750757048340127e-01,2.812346427748413369e-01,2.703305690596313759e-01,2.760419457266540810e-01,2.895842998335571572e-01,2.678268163511963174e-01,2.708787529776306435e-01,2.700970976660461709e-01,2.842036693403930947e-01
2.560434549162597939e-01,2.310183255980224892e-01,2.671956031630249306e-01,2.879255025694580361e-01,2.841508596251220986e-01,2.771581023047180459e-01,2.791234462568970009e-01,2.843507139990539834e-01,2.733148544142456338e-01,2.782323568175049111e-01,2.718670575926513955e-01,2.854505389044494912e-01
2.698229759047241494e-01,2.212254612753601357e-01,2.637846081564636513e-01,2.907573192427368447e-01,2.883938758681030556e-01,2.814227550337524697e-01,2.940641849348755166e-01,2.857144086668701455e-01,2.754154413054199502e-01,2.814753859350891396e-01,2.721198408911438271e-01,2.926174013922424599e-01
2.770428865263672158e-01,2.114901750395508095e-01,2.660515516112060830e-01,2.822576968977661416e-01,2.970323770354004189e-01,2.972715108702392861e-01,2.893298476050110146e-01,3.033102958510132119e-01,2.761330812285156533e-01,2.805413215468139931e-01,2.795123069594116494e-01,2.923235504934997842e-01
2.744996159384460732e-01,2.108807771513672158e-01,2.592966764281006142e-01,2.896231620619507119e-01,3.006547301123352334e-01,3.100651710341186806e-01,2.866265385458679482e-01,3.131901829550476357e-01,3.060096710036011025e-01,3.148014157126159951e-01,3.008825390646667763e-01,2.894050090620727822e-01
2.724578588316650674e-01,2.139368264982910439e-01,2.656312196562500283e-01,2.820475905249328896e-01,3.020303457091064736e-01,2.959047763655395791e-01,3.094374745199890420e-01,3.144768088171692177e-01,2.951011865446777627e-01,2.885797827551574990e-01,3.033459990332336709e-01,3.034781425307007119e-01
2.747785656759949013e-01,2.400939076254577920e-01,2.522284596274109170e-01,2.741417496512146279e-01,3.069226949522705361e-01,2.912947743246765420e-01,2.894453614065857217e-01,3.136224954436035439e-01,3.074020355055542275e-01,2.816133706877441689e-01,2.984025090048523232e-01,3.101887314627380654e-01
2.852353661368103310e-01,2.443961112807007119e-01,2.478143184492798134e-01,2.758840530226440713e-01,2.961626260588379189e-01,2.936835496733398720e-01,2.949065773794861123e-01,2.974947302649231240e-01,2.932897417853088662e-01,3.202347367117615029e-01,2.782274096319885537e-01,2.985027640173645302e-01
2.925329416105957314e-01,2.464539616415710732e-01,2.451343148062439248e-01,2.771339624235840127e-01,2.972710936377258584e-01,2.967995612929077431e-01,2.846977918455810830e-01,3.161188571760864541e-01,2.917060463736267373e-01,2.819093673536987588e-01,2.985806672880859658e-01,3.095745652029724404e-01
2.849096863577575967e-01,2.499355881521911904e-01,2.453083603689880654e-01,2.728247850249023720e-01,2.955324857542724892e-01,2.953835337469787881e-01,3.206373660872192666e-01,2.819220631430359170e-01,3.118214814970703408e-01,2.823085992644043252e-01,2.836193650076599404e-01,3.100640981505127236e-01
2.809873431036682412e-01,2.516965477774353310e-01,2.364926545927734658e-01,2.699730604002685830e-01,2.998923867056579873e-01,2.964204161474914834e-01,2.874137370894165322e-01,3.239697425673218056e-01,3.002345173666687295e-01,2.832496970007629677e-01,2.778114288161011025e-01,3.185485809157104775e-01
2.817794888327331826e-01,2.541375963995666787e-01,2.347576825926513955e-01,2.704774349043579384e-01,3.127768247435303017e-01,2.887867896864624306e-01,3.173730581114502236e-01,3.048501222441406533e-01,2.969031541655273720e-01,2.821046321699829384e-01,2.909404247114868447e-01,3.226807921240539834e-01
2.862536518881531045e-01,2.568433492491455361e-01,2.294313519308777138e-01,2.671634166548462197e-01,2.913398950407715127e-01,2.986870019743652627e-01,2.912587135145874306e-01,3.232389896223755166e-01,2.969495265791626259e-01,3.103140800307007119e-01,3.054607122252197549e-01,3.177337258169861123e-01
2.887118070433349892e-01,2.598303764174194619e-01,2.305103748152466103e-01,2.495309918234558388e-01,2.742055266211242959e-01,3.014334051916809365e-01,2.931279151747436806e-01,3.119462936232300088e-01,3.157758324454040810e-01,3.198711483786316201e-01,2.780130713293762490e-01,3.171169369528503701e-01
2.877937763045044228e-01,2.616870014975281045e-01,2.318806855986328408e-01,2.416748016188354775e-01,2.735589354346008584e-01,2.987576930830688759e-01,3.124114482710571572e-01,3.083843200514526650e-01,3.179031222174377724e-01,2.799169032881470009e-01,3.016049473593445107e-01,3.122311442206116006e-01
2.852934806654663369e-01,2.612788288901062295e-01,2.296180932829590127e-01,2.423402874777527138e-01,2.699767558882446572e-01,2.970177738974304482e-01,2.953149288008423134e-01,3.036852686712951943e-01,3.112769334624023720e-01,3.168055026838989541e-01,2.753924339125366494e-01,3.173083274672241494e-01
2.864231674978943154e-01,2.625330298254699990e-01,2.285919397185058877e-01,2.408998220274658486e-01,2.670964806387634560e-01,2.968328802893371865e-01,2.849041431257934853e-01,3.184071390936584756e-01,3.054952233145447060e-01,2.866098492453308388e-01,3.160504906485290810e-01,2.965305059263916299e-01
2.959341018507690713e-01,2.607730238745422646e-01,2.332653014967651650e-01,2.366273014853210732e-01,2.628942935774536416e-01,2.942293494055481240e-01,2.976566760847778603e-01,2.872040479490967080e-01,2.912527530501098916e-01,3.205496280501098916e-01,2.754336803267212197e-01,3.145904152701111123e-01
2.943482606718750283e-01,2.552052944014282509e-01,2.564856021712036416e-01,2.385730951140137002e-01,2.614677756140442177e-01,2.974021642515869424e-01,2.945988982031555459e-01,3.230634539435119912e-01,2.874056308577270791e-01,3.129601686308594033e-01,2.942531316588135049e-01,3.134302704642029092e-01
3.029528467962951943e-01,2.550688593695373818e-01,2.569064109633178994e-01,2.290203183005066201e-01,2.611213534186096474e-01,3.036853878805847451e-01,2.945468633482666299e-01,3.057976572821350381e-01,3.117240279028625771e-01,2.912301628897400185e-01,3.010575383017273232e-01,3.140377610037536904e-01
2.978925316641540810e-01,2.477846949408264443e-01,2.611871569464416787e-01,2.282983272383423134e-01,2.562391369650574013e-01,3.033467738936157509e-01,2.904480307409973427e-01,3.067199199507446572e-01,3.258710115263672158e-01,2.904082744429321572e-01,3.034401743719787881e-01,3.122009246657104775e-01
