t,dx,dy,dz,dmag,yaw_deg,pitch_deg,roll_deg
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.231655300324287477e-03,2.811816375662013617e-03,-2.134932289216519199e-03
3.333333333333333287e-02,1.128613948822021484e-02,8.022785186767578125e-05,-4.148483276367187500e-05,1.128650084137916565e-02,2.633970139139916733e-01,2.528256751290495412e-04,-2.210151029362399057e-04
6.666666666666666574e-02,3.308415412902832031e-02,3.643035888671875000e-04,-3.033876419067382812e-05,3.308617323637008667e-02,7.170765347196329520e-01,6.426070338923101912e-04,-1.815818755867615536e-03
1.000000000000000056e-01,5.834174156188964844e-02,7.106065750122070312e-04,-8.970499038696289062e-06,5.834607034921646118e-02,1.156339073652111304e+00,-1.926355762630751773e-03,4.869240358528102545e-03
1.333333333333333315e-01,8.561313152313232422e-02,1.079320907592773438e-03,-1.412630081176757812e-05,8.561993390321731567e-02,1.573075381897622860e+00,1.369517753686185510e-03,3.576311061802477185e-03
1.666666666666666574e-01,1.142541170120239258e-01,1.466631889343261719e-03,1.490116119384765625e-06,1.142635270953178406e-01,1.970139251229616972e+00,3.160529340862067334e-03,-1.269456878899070463e-03
1.999999999999999833e-01,1.439870595932006836e-01,1.883268356323242188e-03,1.087784767150878906e-05,1.439993679523468018e-01,2.355919648052750226e+00,2.345002294360732081e-03,6.805434319969750311e-03
2.333333333333333093e-01,1.745253801345825195e-01,2.324819564819335938e-03,-3.385543823242187500e-05,1.745408624410629272e-01,2.729015316370111410e+00,3.817963292208477423e-04,1.827818902983912187e-03
2.666666666666666630e-01,2.055662870407104492e-01,2.808570861816406250e-03,6.139278411865234375e-06,2.055854648351669312e-01,3.092389704507840786e+00,3.066135034302533684e-03,2.901869693462554370e-03
2.999999999999999889e-01,2.370094060897827148e-01,3.316640853881835938e-03,-1.466274261474609375e-05,2.370326071977615356e-01,3.444669304112530916e+00,-1.974675890890787312e-03,3.015446392872977392e-03
3.333333333333333148e-01,2.686296701431274414e-01,3.862977027893066406e-03,-2.425909042358398438e-05,2.686574459075927734e-01,3.792748123934251314e+00,1.895419313120378984e-04,5.146240714700486135e-03
3.666666666666666408e-01,3.002806901931762695e-01,4.438996315002441406e-03,-4.380941390991210938e-05,3.003135025501251221e-01,4.132433921926494946e+00,-6.789352354213456706e-05,-3.426497601250333295e-04
3.999999999999999667e-01,3.319686651229858398e-01,5.067706108093261719e-03,3.111362457275390625e-05,3.320073485374450684e-01,4.472624727030496850e+00,3.956481708867434777e-03,6.406771219206514392e-03
4.333333333333332926e-01,3.636182546615600586e-01,5.735993385314941406e-03,-1.358985900878906250e-05,3.636634945869445801e-01,4.802695753105479248e+00,-2.734788733869263251e-03,4.201761356900533741e-05
4.666666666666666186e-01,3.950852155685424805e-01,6.438493728637695312e-03,-2.157688140869140625e-05,3.951376676559448242e-01,5.132732628234610850e+00,-8.839081457174725745e-04,-3.935535072817845925e-03
4.999999999999999445e-01,4.262961149215698242e-01,7.167100906372070312e-03,-2.861022949218750000e-05,4.263563454151153564e-01,5.448956726427860886e+00,-1.113216822737107814e-03,-1.355294897762075561e-03
5.333333333333333259e-01,4.571491479873657227e-01,7.926821708679199219e-03,-2.086162567138671875e-05,4.572178721427917480e-01,5.761149305463511894e+00,-7.698584419499314045e-04,4.962010285686943058e-03
5.666666666666666519e-01,4.875453710556030273e-01,8.700728416442871094e-03,-2.759695053100585938e-05,4.876230061054229736e-01,6.064461784804499267e+00,-1.772191308159697698e-05,4.901729614068615903e-03
5.999999999999999778e-01,5.174225568771362305e-01,9.477734565734863281e-03,1.028180122375488281e-05,5.175093412399291992e-01,6.357667291721160296e+00,2.822019554369048760e-03,-4.863265610530994112e-03
6.333333333333333037e-01,5.468052625656127930e-01,1.027548313140869141e-02,-7.241964340209960938e-06,5.469018220901489258e-01,6.646869027123724294e+00,1.452528793770556034e-03,-5.114415968531127454e-03
6.666666666666666297e-01,5.755556821823120117e-01,1.108753681182861328e-02,-3.698468208312988281e-05,5.756624937057495117e-01,6.927480945871351103e+00,-2.816389463286998263e-04,1.709408564908999071e-03
6.999999999999999556e-01,6.034930944442749023e-01,1.191902160644531250e-02,2.062320709228515625e-05,6.036108136177062988e-01,7.206558206489841467e+00,3.880496271232705772e-03,3.868174916794906749e-03
7.333333333333332815e-01,6.306687593460083008e-01,1.278340816497802734e-02,-1.636147499084472656e-05,6.307982802391052246e-01,7.478301551487029464e+00,-2.019756014864364235e-03,2.284870657937002232e-03
7.666666666666666075e-01,6.568959951400756836e-01,1.369178295135498047e-02,-1.946091651916503906e-05,6.570386886596679688e-01,7.745665037678947762e+00,-2.202478374461249236e-03,4.437174301839015697e-04
7.999999999999999334e-01,6.820729970932006836e-01,1.467168331146240234e-02,-2.425909042358398438e-05,6.822307705879211426e-01,8.003877777930341608e+00,-1.671179161527347988e-03,1.015635872744005946e-03
8.333333333333332593e-01,7.059592008590698242e-01,1.567244529724121094e-02,-2.130866050720214844e-05,7.061331272125244141e-01,8.219210590572394892e+00,3.531820147949637915e-05,6.498940003007007762e-03
8.666666666666665853e-01,7.269774675369262695e-01,1.650881767272949219e-02,-4.100799560546875000e-05,7.271648645401000977e-01,8.098555298884118514e+00,-3.967685820447833895e-04,1.755570594505242559e-05
8.999999999999999112e-01,7.414592504501342773e-01,1.561546325683593750e-02,-2.413988113403320312e-05,7.416236996650695801e-01,6.967093908623309240e+00,5.166555149707819251e-04,-3.905369098786394544e-03
9.333333333333332371e-01,7.550681829452514648e-01,1.479125022888183594e-02,-7.778406143188476562e-06,7.552130818367004395e-01,5.912883238535814101e+00,2.183646370648287260e-03,2.325029076994735832e-03
9.666666666666665630e-01,7.672888040542602539e-01,1.423394680023193359e-02,-3.257393836975097656e-05,7.674208283424377441e-01,4.973196057809214921e+00,-7.599479141704688911e-04,-1.320899867698203164e-03
9.999999999999998890e-01,7.778919935226440430e-01,1.386809349060058594e-02,-2.110004425048828125e-05,7.780156135559082031e-01,4.162855157602908918e+00,-1.895972176371105763e-03,1.228800390474217791e-03
1.033333333333333215e+00,7.867218255996704102e-01,1.333892345428466797e-02,-3.713369369506835938e-05,7.868348956108093262e-01,3.491439024454193074e+00,7.452203969379408467e-05,2.082334955091961603e-03
1.066666666666666652e+00,7.936056852340698242e-01,1.279854774475097656e-02,-6.079673767089843750e-06,7.937088608741760254e-01,2.970026225196827685e+00,2.737284187505230944e-03,7.720075190339806270e-04
1.100000000000000089e+00,7.986112833023071289e-01,1.238191127777099609e-02,-1.701712608337402344e-05,7.987073063850402832e-01,2.591954977512523683e+00,1.569518190696421976e-03,2.063815820967237428e-03
1.133333333333333526e+00,8.019462823867797852e-01,1.201069355010986328e-02,-6.377696990966796875e-06,8.020362257957458496e-01,2.340556204731864209e+00,2.158658275314720605e-03,2.795823961297998466e-03
1.166666666666666963e+00,8.039432764053344727e-01,1.188397407531738281e-02,-3.084540367126464844e-05,8.040311336517333984e-01,2.190235053600696258e+00,9.415848702469819826e-04,5.890103302006252520e-04
1.200000000000000400e+00,8.049057722091674805e-01,1.189541816711425781e-02,-2.372264862060546875e-05,8.049936294555664062e-01,2.117785316083666824e+00,8.637003281955057260e-04,2.800844050286358661e-03
1.233333333333333837e+00,8.052660226821899414e-01,1.186382770538330078e-02,-2.098083496093750000e-05,8.053534030914306641e-01,2.090726881356427036e+00,1.637668858573220441e-03,-7.240586760052403637e-04
1.266666666666667274e+00,8.055170774459838867e-01,1.181817054748535156e-02,-1.868605613708496094e-05,8.056037425994873047e-01,2.071865527406848262e+00,1.993772406119055478e-03,5.659034394273925779e-05
1.300000000000000711e+00,8.056401014328002930e-01,1.177108287811279297e-02,-1.823902130126953125e-05,8.057261109352111816e-01,2.062571560937164872e+00,1.277770645688027472e-03,-2.773922249357998505e-03
1.333333333333334147e+00,8.057252168655395508e-01,1.175820827484130859e-02,-3.501772880554199219e-05,8.058109879493713379e-01,2.056178076987210002e+00,-4.020602498953961337e-05,2.865692285847632869e-03
1.366666666666667584e+00,8.058067560195922852e-01,1.172339916229248047e-02,-2.923607826232910156e-05,8.058920502662658691e-01,2.050069539991691059e+00,-1.230171722705343225e-03,-8.455610774863808006e-04
1.400000000000001021e+00,8.058248758316040039e-01,1.166856288909912109e-02,-2.598762512207031250e-05,8.059093356132507324e-01,2.048687067014998142e+00,1.010092076166239743e-03,-1.654511607309766064e-03
1.433333333333334458e+00,8.059159517288208008e-01,1.163434982299804688e-02,-1.341104507446289062e-05,8.059999346733093262e-01,2.041327111297486674e+00,-1.877122038205793946e-03,-3.257346980529833916e-03
1.466666666666667895e+00,8.059571981430053711e-01,1.158189773559570312e-02,-3.159046173095703125e-05,8.060404062271118164e-01,2.038721607572538286e+00,-2.477457896771227989e-04,3.246681688499132232e-03
1.500000000000001332e+00,8.060332536697387695e-01,1.153135299682617188e-02,-3.772974014282226562e-05,8.061157464981079102e-01,2.033038463296264364e+00,-5.611014577142024165e-04,-5.402171975834713482e-04
1.533333333333334769e+00,8.060232400894165039e-01,1.148808002471923828e-02,-2.938508987426757812e-05,8.061050772666931152e-01,2.033068345373883368e+00,-1.120393127907999640e-03,-1.122969560807045688e-03
1.566666666666668206e+00,8.061069250106811523e-01,1.144182682037353516e-02,-3.659725189208984375e-05,8.061881065368652344e-01,2.027491069029744519e+00,2.103817251509893424e-05,-2.146493459941456634e-03
1.600000000000001643e+00,8.061088323593139648e-01,1.141369342803955078e-02,-1.561641693115234375e-05,8.061896562576293945e-01,2.027042197535227963e+00,1.363278911155434408e-03,-3.174385653583801283e-03
1.633333333333335080e+00,8.060804605484008789e-01,1.139616966247558594e-02,-3.311038017272949219e-05,8.061610460281372070e-01,2.029463286152585866e+00,4.871634301479078910e-04,1.635846668823334868e-03
1.666666666666668517e+00,8.061300516128540039e-01,1.136779785156250000e-02,-2.822279930114746094e-05,8.062102198600769043e-01,2.025779466312422006e+00,-1.453631028888080013e-03,-4.730834083036548400e-04
1.700000000000001954e+00,8.061507940292358398e-01,1.133930683135986328e-02,-2.792477607727050781e-05,8.062305450439453125e-01,2.024228799927417555e+00,-1.019502450170267421e-03,2.128323464209670376e-03
1.733333333333335391e+00,8.061536550521850586e-01,1.130974292755126953e-02,-3.668665885925292969e-05,8.062329888343811035e-01,2.023567552238395351e+00,9.368018989890117368e-06,2.421727488506824656e-03
1.766666666666668828e+00,8.060873746871948242e-01,1.129412651062011719e-02,-3.474950790405273438e-05,8.061665296554565430e-01,2.028950808521423177e+00,3.100937253530945377e-04,-1.832493188632640683e-03
1.800000000000002265e+00,8.060969114303588867e-01,1.127016544342041016e-02,-3.039836883544921875e-05,8.061757087707519531e-01,2.027307294252389092e+00,-1.147809975811420235e-03,-7.760671647805156975e-04
1.833333333333335702e+00,8.060787916183471680e-01,1.125431060791015625e-02,-3.853440284729003906e-05,8.061573505401611328e-01,2.029602878143748068e+00,1.955997364667646024e-05,-1.682116364622877891e-03
1.866666666666669139e+00,8.060840368270874023e-01,1.124024391174316406e-02,-2.393126487731933594e-05,8.061624169349670410e-01,2.027731406311164442e+00,1.031784826172556365e-03,-2.131760028200331732e-03
1.900000000000002576e+00,8.060733079910278320e-01,1.122331619262695312e-02,-3.856420516967773438e-05,8.061513900756835938e-01,2.030026776759112028e+00,2.988116308465712254e-04,8.499021704657896319e-04
