t,dx,dy,dz,dmag,yaw_deg,pitch_deg,roll_deg
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.365775512049739460e+00,1.454311067101189420e-03,1.672244398397262259e-03
3.333333333333333287e-02,4.078114032745361328e-02,5.674362182617187500e-04,1.325309276580810547e-03,4.080661386251449585e-02,1.877722309447701576e+00,-3.673741778066200235e-04,-3.272487705655913737e-01
6.666666666666666574e-02,9.548366069793701172e-02,1.491785049438476562e-03,1.845657825469970703e-04,9.549549221992492676e-02,2.451517750440598942e+00,5.621725934596510585e-03,3.656964990430815882e-02
1.000000000000000056e-01,1.516100168228149414e-01,2.423644065856933594e-03,-5.334615707397460938e-06,1.516293883323669434e-01,2.970055040057388851e+00,-2.847798891099385379e-04,-4.678544928681517730e-03
1.333333333333333315e-01,2.091158628463745117e-01,3.378510475158691406e-03,9.983777999877929688e-06,2.091431468725204468e-01,3.471596684585071202e+00,2.280554890518632968e-03,1.329899509043554326e-03
1.666666666666666574e-01,2.676419019699096680e-01,4.359722137451171875e-03,-2.333521842956542969e-05,2.676773965358734131e-01,3.954880166244251871e+00,-3.717798874438262626e-05,-5.042265529536672092e-04
1.999999999999999833e-01,3.270181417465209961e-01,5.388498306274414062e-03,5.269050598144531250e-05,3.270625472068786621e-01,4.427834054000846287e+00,-3.973715596824485725e-03,-9.582554468566222353e-03
2.333333333333333093e-01,3.869496583938598633e-01,6.460428237915039062e-03,1.716613769531250000e-05,3.870036005973815918e-01,4.893732356344816736e+00,-2.010504785435266503e-03,-5.663448702095435355e-03
2.666666666666666630e-01,4.473408460617065430e-01,7.596611976623535156e-03,9.149312973022460938e-06,4.474053382873535156e-01,5.354978446090362887e+00,1.930376586272400342e-03,2.403202309597984518e-03
2.999999999999999889e-01,5.080262422561645508e-01,8.806824684143066406e-03,3.129243850708007812e-05,5.081025958061218262e-01,5.805726535081599415e+00,-2.901515760930490403e-03,-6.870266922468654287e-03
3.333333333333333148e-01,5.688980817794799805e-01,1.008284091949462891e-02,4.208087921142578125e-05,5.689874291419982910e-01,6.254536984782668618e+00,3.240124556818521021e-03,6.581515505973740791e-03
3.666666666666666408e-01,6.296702623367309570e-01,1.142096519470214844e-02,-7.957220077514648438e-06,6.297738552093505859e-01,6.688289001797974365e+00,1.049856958933904558e-03,-9.688370498934351484e-04
3.999999999999999667e-01,6.854656934738159180e-01,1.252996921539306641e-02,5.441904067993164062e-05,6.855801939964294434e-01,6.421909489733360843e+00,-2.294926260535260984e-03,-1.489471158393382635e-02
4.333333333333332926e-01,7.286001443862915039e-01,9.746789932250976562e-03,4.440546035766601562e-06,7.286653518676757812e-01,3.120540542615459767e+00,-1.135994403051509465e-03,-4.800528255271377907e-03
4.666666666666666186e-01,7.658272981643676758e-01,5.913019180297851562e-03,2.233684062957763672e-04,7.658501863479614258e-01,3.258896963228911092e-01,-3.683941569609721408e-03,-5.649689022543233352e-02
4.999999999999999445e-01,7.701352834701538086e-01,3.662228584289550781e-03,1.476466655731201172e-03,7.701454162597656250e-01,5.701861429188482405e-03,-3.246944865893115761e-02,-3.947142642471898610e-02
5.333333333333333259e-01,7.702080011367797852e-01,2.227425575256347656e-03,5.278259515762329102e-03,7.702292799949645996e-01,-8.030040776691671706e-04,-1.762613158045903128e-01,-1.829957089034509911e-03
5.666666666666666519e-01,7.701557874679565430e-01,9.307861328125000000e-04,8.440047502517700195e-03,7.702026367187500000e-01,4.628685047998420780e-03,-3.622270497592993688e-01,-1.592727243532244749e-02
5.999999999999999778e-01,7.701793909072875977e-01,-4.662275314331054688e-04,1.035386323928833008e-02,7.702491879463195801e-01,1.160729138554260614e-03,-5.404108637120499381e-01,-1.998031769448392267e-02
6.333333333333333037e-01,7.701791524887084961e-01,-1.960635185241699219e-03,1.063039898872375488e-02,7.702550292015075684e-01,-8.285941501244069264e-04,-7.090229412753945581e-01,-1.403930376156245496e-02
6.666666666666666297e-01,7.701829671859741211e-01,-3.597140312194824219e-03,9.703099727630615234e-03,7.702524662017822266e-01,-1.909517912253748785e-03,-8.319904654411307554e-01,-8.065296146287991713e-03
6.999999999999999556e-01,7.701967954635620117e-01,-5.155086517333984375e-03,8.716613054275512695e-03,7.702633738517761230e-01,1.697103156194818083e-03,-7.468516771892457218e-01,-5.364886600979398542e-04
7.333333333333332815e-01,7.701827287673950195e-01,-6.543874740600585938e-03,7.056295871734619141e-03,7.702428102493286133e-01,2.765263825653983560e-03,-6.047646926284985236e-01,-2.836479772290148349e-05
7.666666666666666075e-01,7.702111005783081055e-01,-7.804751396179199219e-03,4.935473203659057617e-03,7.702664732933044434e-01,6.546801352996682111e-04,-4.239755883942112336e-01,-5.429781110405288921e-03
7.999999999999999334e-01,7.701908349990844727e-01,-8.924722671508789062e-03,2.617031335830688477e-03,7.702469825744628906e-01,-1.019342054950347996e-03,-2.262716807629460147e-01,-8.837527739215946671e-03
8.333333333333332593e-01,7.702103853225708008e-01,-9.895443916320800781e-03,3.061294555664062500e-04,7.702740430831909180e-01,6.300782808270648976e-04,-2.868259568194171660e-02,-4.282786659347521258e-03
8.666666666666665853e-01,7.702142000198364258e-01,-1.041591167449951172e-02,-1.114606857299804688e-05,7.702845931053161621e-01,3.681707865548041110e-04,-2.533876576661589367e-04,-3.187972452310270256e-03
8.999999999999999112e-01,7.701984643936157227e-01,-1.081001758575439453e-02,1.579523086547851562e-06,7.702743411064147949e-01,-1.116950519133221454e-03,-8.067987430085251039e-04,-4.987970340618280533e-03
9.333333333333332371e-01,7.702065706253051758e-01,-1.108860969543457031e-02,-4.708766937255859375e-06,7.702863812446594238e-01,-7.340419496349327028e-04,-9.582259524789502525e-04,-2.846920521435004296e-03
9.666666666666665630e-01,7.702044248580932617e-01,-1.130938529968261719e-02,5.960464477539062500e-06,7.702874541282653809e-01,2.454586205421357362e-04,-4.655342024850227592e-04,-7.175672344527094480e-03
