run,bc,grade_deg,frame,bin,x_centre_m,depth_m
closed_g64,closed,0.0,0,0,0.932360,0.260610
closed_g64,closed,0.0,0,1,1.619362,0.252470
closed_g64,closed,0.0,0,2,2.306364,0.255428
closed_g64,closed,0.0,0,3,2.993366,0.254045
closed_g64,closed,0.0,0,4,3.680368,0.255328
closed_g64,closed,0.0,0,5,4.367370,0.254394
closed_g64,closed,0.0,0,6,5.054372,0.254700
closed_g64,closed,0.0,0,7,5.741374,0.254015
closed_g64,closed,0.0,0,8,6.428376,0.254739
closed_g64,closed,0.0,0,9,7.115378,0.254494
closed_g64,closed,0.0,0,10,7.802380,0.252630
closed_g64,closed,0.0,0,11,8.489382,0.259067
closed_g64,closed,0.0,1,0,0.932360,0.243506
closed_g64,closed,0.0,1,1,1.619362,0.248132
closed_g64,closed,0.0,1,2,2.306364,0.249824
closed_g64,closed,0.0,1,3,2.993366,0.256727
closed_g64,closed,0.0,1,4,3.680368,0.250596
closed_g64,closed,0.0,1,5,4.367370,0.248866
closed_g64,closed,0.0,1,6,5.054372,0.261278
closed_g64,closed,0.0,1,7,5.741374,0.247938
closed_g64,closed,0.0,1,8,6.428376,0.252119
closed_g64,closed,0.0,1,9,7.115378,0.250002
closed_g64,closed,0.0,1,10,7.802380,0.247362
closed_g64,closed,0.0,1,11,8.489382,0.257759
closed_g64,closed,0.0,2,0,0.932360,0.224859
closed_g64,closed,0.0,2,1,1.619362,0.248863
closed_g64,closed,0.0,2,2,2.306364,0.263541
closed_g64,closed,0.0,2,3,2.993366,0.258969
closed_g64,closed,0.0,2,4,3.680368,0.254134
closed_g64,closed,0.0,2,5,4.367370,0.267648
closed_g64,closed,0.0,2,6,5.054372,0.252439
closed_g64,closed,0.0,2,7,5.741374,0.260975
closed_g64,closed,0.0,2,8,6.428376,0.256823
closed_g64,closed,0.0,2,9,7.115378,0.254231
closed_g64,closed,0.0,2,10,7.802380,0.252252
closed_g64,closed,0.0,2,11,8.489382,0.281381
closed_g64,closed,0.0,3,0,0.932360,0.212970
closed_g64,closed,0.0,3,1,1.619362,0.251619
closed_g64,closed,0.0,3,2,2.306364,0.264234
closed_g64,closed,0.0,3,3,2.993366,0.260488
closed_g64,closed,0.0,3,4,3.680368,0.269500
closed_g64,closed,0.0,3,5,4.367370,0.269190
closed_g64,closed,0.0,3,6,5.054372,0.262535
closed_g64,closed,0.0,3,7,5.741374,0.270974
closed_g64,closed,0.0,3,8,6.428376,0.274196
closed_g64,closed,0.0,3,9,7.115378,0.259672
closed_g64,closed,0.0,3,10,7.802380,0.264652
closed_g64,closed,0.0,3,11,8.489382,0.306517
closed_g64,closed,0.0,4,0,0.932360,0.208627
closed_g64,closed,0.0,4,1,1.619362,0.256448
closed_g64,closed,0.0,4,2,2.306364,0.258744
closed_g64,closed,0.0,4,3,2.993366,0.264573
closed_g64,closed,0.0,4,4,3.680368,0.276771
closed_g64,closed,0.0,4,5,4.367370,0.270124
closed_g64,closed,0.0,4,6,5.054372,0.268380
closed_g64,closed,0.0,4,7,5.741374,0.277825
closed_g64,closed,0.0,4,8,6.428376,0.273187
closed_g64,closed,0.0,4,9,7.115378,0.265021
closed_g64,closed,0.0,4,10,7.802380,0.270343
closed_g64,closed,0.0,4,11,8.489382,0.317134
closed_g64,closed,0.0,5,0,0.932360,0.201503
closed_g64,closed,0.0,5,1,1.619362,0.260257
closed_g64,closed,0.0,5,2,2.306364,0.266137
closed_g64,closed,0.0,5,3,2.993366,0.270876
closed_g64,closed,0.0,5,4,3.680368,0.281742
closed_g64,closed,0.0,5,5,4.367370,0.278885
closed_g64,closed,0.0,5,6,5.054372,0.262150
closed_g64,closed,0.0,5,7,5.741374,0.285521
closed_g64,closed,0.0,5,8,6.428376,0.259785
closed_g64,closed,0.0,5,9,7.115378,0.261363
closed_g64,closed,0.0,5,10,7.802380,0.277805
closed_g64,closed,0.0,5,11,8.489382,0.353405
closed_g64,closed,0.0,6,0,0.932360,0.202092
closed_g64,closed,0.0,6,1,1.619362,0.265304
closed_g64,closed,0.0,6,2,2.306364,0.275780
closed_g64,closed,0.0,6,3,2.993366,0.282168
closed_g64,closed,0.0,6,4,3.680368,0.271716
closed_g64,closed,0.0,6,5,4.367370,0.272595
closed_g64,closed,0.0,6,6,5.054372,0.270685
closed_g64,closed,0.0,6,7,5.741374,0.277699
closed_g64,closed,0.0,6,8,6.428376,0.261096
closed_g64,closed,0.0,6,9,7.115378,0.268172
closed_g64,closed,0.0,6,10,7.802380,0.268281
closed_g64,closed,0.0,6,11,8.489382,0.356976
closed_g64,closed,0.0,7,0,0.932360,0.202465
closed_g64,closed,0.0,7,1,1.619362,0.266402
closed_g64,closed,0.0,7,2,2.306364,0.282747
closed_g64,closed,0.0,7,3,2.993366,0.286675
closed_g64,closed,0.0,7,4,3.680368,0.281311
closed_g64,closed,0.0,7,5,4.367370,0.270335
closed_g64,closed,0.0,7,6,5.054372,0.276042
closed_g64,closed,0.0,7,7,5.741374,0.289585
closed_g64,closed,0.0,7,8,6.428376,0.267841
closed_g64,closed,0.0,7,9,7.115378,0.270984
closed_g64,closed,0.0,7,10,7.802380,0.288129
closed_g64,closed,0.0,7,11,8.489382,0.372011
closed_g64,closed,0.0,8,0,0.932360,0.197854
closed_g64,closed,0.0,8,1,1.619362,0.270152
closed_g64,closed,0.0,8,2,2.306364,0.289176
closed_g64,closed,0.0,8,3,2.993366,0.288717
closed_g64,closed,0.0,8,4,3.680368,0.284166
closed_g64,closed,0.0,8,5,4.367370,0.277166
closed_g64,closed,0.0,8,6,5.054372,0.279124
closed_g64,closed,0.0,8,7,5.741374,0.284351
closed_g64,closed,0.0,8,8,6.428376,0.273347
closed_g64,closed,0.0,8,9,7.115378,0.278189
closed_g64,closed,0.0,8,10,7.802380,0.277157
closed_g64,closed,0.0,8,11,8.489382,0.395453
closed_g64,closed,0.0,9,0,0.932360,0.176213
closed_g64,closed,0.0,9,1,1.619362,0.265004
closed_g64,closed,0.0,9,2,2.306364,0.292938
closed_g64,closed,0.0,9,3,2.993366,0.294791
closed_g64,closed,0.0,9,4,3.680368,0.288402
closed_g64,closed,0.0,9,5,4.367370,0.281435
closed_g64,closed,0.0,9,6,5.054372,0.294067
closed_g64,closed,0.0,9,7,5.741374,0.285716
closed_g64,closed,0.0,9,8,6.428376,0.275437
closed_g64,closed,0.0,9,9,7.115378,0.281496
closed_g64,closed,0.0,9,10,7.802380,0.284939
closed_g64,closed,0.0,9,11,8.489382,0.400600
closed_g64,closed,0.0,10,0,0.932360,0.191606
closed_g64,closed,0.0,10,1,1.619362,0.262494
closed_g64,closed,0.0,10,2,2.306364,0.295901
closed_g64,closed,0.0,10,3,2.993366,0.290964
closed_g64,closed,0.0,10,4,3.680368,0.297330
closed_g64,closed,0.0,10,5,4.367370,0.297369
closed_g64,closed,0.0,10,6,5.054372,0.289331
closed_g64,closed,0.0,10,7,5.741374,0.303312
closed_g64,closed,0.0,10,8,6.428376,0.276113
closed_g64,closed,0.0,10,9,7.115378,0.280824
closed_g64,closed,0.0,10,10,7.802380,0.309647
closed_g64,closed,0.0,10,11,8.489382,0.411013
closed_g64,closed,0.0,11,0,0.932360,0.169830
closed_g64,closed,0.0,11,1,1.619362,0.264875
closed_g64,closed,0.0,11,2,2.306364,0.296283
closed_g64,closed,0.0,11,3,2.993366,0.291465
closed_g64,closed,0.0,11,4,3.680368,0.301126
closed_g64,closed,0.0,11,5,4.367370,0.310056
closed_g64,closed,0.0,11,6,5.054372,0.286626
closed_g64,closed,0.0,11,7,5.741374,0.313191
closed_g64,closed,0.0,11,8,6.428376,0.306023
closed_g64,closed,0.0,11,9,7.115378,0.315580
closed_g64,closed,0.0,11,10,7.802380,0.306760
closed_g64,closed,0.0,11,11,8.489382,0.428574
closed_g64,closed,0.0,12,0,0.932360,0.150646
closed_g64,closed,0.0,12,1,1.619362,0.265952
closed_g64,closed,0.0,12,2,2.306364,0.299107
closed_g64,closed,0.0,12,3,2.993366,0.295087
closed_g64,closed,0.0,12,4,3.680368,0.302592
closed_g64,closed,0.0,12,5,4.367370,0.295894
closed_g64,closed,0.0,12,6,5.054372,0.309436
closed_g64,closed,0.0,12,7,5.741374,0.314478
closed_g64,closed,0.0,12,8,6.428376,0.295021
closed_g64,closed,0.0,12,9,7.115378,0.288318
closed_g64,closed,0.0,12,10,7.802380,0.316961
closed_g64,closed,0.0,12,11,8.489382,0.449752
closed_g64,closed,0.0,13,0,0.932360,0.130049
closed_g64,closed,0.0,13,1,1.619362,0.262150
closed_g64,closed,0.0,13,2,2.306364,0.299438
closed_g64,closed,0.0,13,3,2.993366,0.291619
closed_g64,closed,0.0,13,4,3.680368,0.307571
closed_g64,closed,0.0,13,5,4.367370,0.291311
closed_g64,closed,0.0,13,6,5.054372,0.289445
closed_g64,closed,0.0,13,7,5.741374,0.313624
closed_g64,closed,0.0,13,8,6.428376,0.307342
closed_g64,closed,0.0,13,9,7.115378,0.281303
closed_g64,closed,0.0,13,10,7.802380,0.314368
closed_g64,closed,0.0,13,11,8.489382,0.466786
closed_g64,closed,0.0,14,0,0.932360,0.106450
closed_g64,closed,0.0,14,1,1.619362,0.255039
closed_g64,closed,0.0,14,2,2.306364,0.302832
closed_g64,closed,0.0,14,3,2.993366,0.299390
closed_g64,closed,0.0,14,4,3.680368,0.298030
closed_g64,closed,0.0,14,5,4.367370,0.293741
closed_g64,closed,0.0,14,6,5.054372,0.295010
closed_g64,closed,0.0,14,7,5.741374,0.297499
closed_g64,closed,0.0,14,8,6.428376,0.293309
closed_g64,closed,0.0,14,9,7.115378,0.322626
closed_g64,closed,0.0,14,10,7.802380,0.293075
closed_g64,closed,0.0,14,11,8.489382,0.481411
closed_g64,closed,0.0,15,0,0.932360,0.096284
closed_g64,closed,0.0,15,1,1.619362,0.255271
closed_g64,closed,0.0,15,2,2.306364,0.298536
closed_g64,closed,0.0,15,3,2.993366,0.297488
closed_g64,closed,0.0,15,4,3.680368,0.306768
closed_g64,closed,0.0,15,5,4.367370,0.296818
closed_g64,closed,0.0,15,6,5.054372,0.284698
closed_g64,closed,0.0,15,7,5.741374,0.316126
closed_g64,closed,0.0,15,8,6.428376,0.291686
closed_g64,closed,0.0,15,9,7.115378,0.282878
