round,run,bed,head_len,U,frame,q,y_b,y_c,ratio,froude,n_sunk
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,0,0.000000,0.190553,,,0.000000,5206
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,5,0.022515,0.198230,0.037247,0.187899,0.043969,4643
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,10,0.236274,0.160935,0.178534,1.109352,0.609929,3694
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,15,0.266927,0.150772,0.193659,1.284450,0.778164,3220
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,20,0.263129,0.137707,0.191818,1.392941,0.922156,4158
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,25,0.247396,0.120048,0.184094,1.533499,1.055579,5445
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,30,0.254991,0.108061,0.187843,1.738303,1.239148,7350
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,35,0.230577,0.091561,0.175653,1.918415,1.250348,8994
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,40,0.209147,0.086744,0.164593,1.897467,1.005622,9926
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,45,0.166829,0.099162,0.141566,1.427620,0.826350,10894
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,50,0.149197,0.098802,0.131407,1.330000,0.925416,12171
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,55,0.157606,0.082862,0.136299,1.644889,1.026250,13770
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,60,0.189616,0.079437,0.154180,1.940909,1.218015,15117
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,65,0.164117,0.079036,0.140027,1.771680,1.115384,15088
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,70,0.155436,0.078774,0.135045,1.714330,1.114752,16416
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,75,0.144043,0.076530,0.128363,1.677290,1.077897,17533
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,80,0.158691,0.074883,0.136924,1.828508,1.272872,18422
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,85,0.148112,0.071300,0.130769,1.834071,1.233289,19591
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,90,0.142958,0.065206,0.127717,1.958680,1.250696,20948
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,95,0.134277,0.065593,0.122493,1.867471,1.248637,22397
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,100,0.126139,0.063820,0.117493,1.841000,1.284587,24161
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,105,0.133464,0.061462,0.121998,1.984930,1.141827,25864
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,110,0.121799,0.060467,0.114782,1.898270,1.130476,28538
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,115,0.126139,0.061515,0.117493,1.909977,1.299035,31728
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,120,0.110948,0.066127,0.107859,1.631083,1.112316,34952
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,125,0.103624,0.054204,0.103059,1.901306,1.185979,37872
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,130,0.092773,0.060574,0.095733,1.580415,1.065299,40530
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,135,0.092231,0.053151,0.095359,1.794125,1.191233,43033
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,140,0.082465,0.052093,0.088503,1.698944,1.785914,45423
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,145,0.078125,0.040996,0.085370,2.082405,2.230226,47767
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,150,0.081651,0.033564,0.087920,2.619477,2.789375,49939
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,155,0.074327,0.026547,0.082580,3.110763,3.050325,52282
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,160,0.071343,0.026584,0.080355,3.022731,3.450529,54709
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,165,0.089518,0.022201,0.093480,4.210670,5.408446,57181
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,170,0.087891,0.019015,0.092343,4.856290,6.465623,59794
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,175,0.083550,0.017268,0.089278,5.169993,6.651925,62627
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,180,0.097114,0.012800,0.098696,7.710815,9.203032,65520
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,185,0.088976,0.011643,0.093102,7.996173,9.962418,68298
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,190,0.067546,0.013166,0.077477,5.884731,8.969752,70530
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,195,0.050184,0.013959,0.063556,4.552954,9.348769,72384
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,200,0.076226,0.014048,0.083981,5.978287,20.808116,74175
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,205,0.103624,0.015823,0.103059,6.513360,83.742092,75632
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,210,0.046387,0.006545,0.060308,9.213719,35.678919,75680
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,215,0.039876,0.002075,0.054524,26.271087,,74107
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,220,0.161675,0.002876,0.138635,48.211368,,71513
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,225,0.045573,0.007418,0.059600,8.034895,,68722
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,230,0.040690,0.004929,0.055263,11.212788,,68992
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,235,0.157335,0.007579,0.136143,17.963773,,68913
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,240,0.067546,0.009125,0.077477,8.491121,,63005
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,245,0.082465,0.008969,0.088503,9.867574,,61987
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,250,0.292155,0.011613,0.205677,17.710369,,62575
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,255,0.018989,0.008380,0.033249,3.967706,,60492
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,260,0.134820,0.008925,0.122823,13.761187,,62525
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,265,0.262044,0.014967,0.191291,12.781053,,62090
v2_boxbed_broken,ovf2_v0p5,box,0.00,0.50,270,0.005968,0.005739,0.015369,2.678021,,60432
