doi	year	title	discovery_route	in_489_corpus	simulation_title
10.1080/00221686.2026.2613292	2026	Bridge backwater due to vehicles blockage driven by flash floods	cited_by	NO	NO
10.1080/19942060.2026.2649668	2026	A coupled lattice Boltzmann-cellular automata model for dynamic optimization of vehicle evacuation route during urban flooding	cited_by	NO	YES
10.1016/j.jhydrol.2026.135478	2026	Generalization of an innovative flood risk assessment model integrating hydraulic instability of pedestrians and vehicles with siltation in urban drainage pipelines	cited_by	NO	YES
10.1115/1.4071177	2026	Predicting Vehicle–Water Interaction in Shallow Water: Simulations and Experimental Validation	cited_by	YES	YES
10.3390/w18010080	2025	A New Semi-Empirical Model to Predict Vehicle Instability in Urban Flooding	cited_by	NO	YES
10.1111/jfr3.70174	2025	Dynamic Human‐Vehicle Risk Assessment for Urban Flood Evacuations in Island Cities: The <scp>MUFE</scp> Framework Applied to Haidian Island, Haikou	cited_by	NO	NO
10.1016/j.oceaneng.2025.123181	2025	Numerical investigation and analysis of environmental effects on water–ground transition of amphibious unmanned vehicles	cited_by	NO	YES
10.1080/17445302.2025.2524038	2025	Experimental investigation on hydrodynamic performance of amphibious vehicles with hydrofoil in calm water and regular waves	cited_by	NO	NO
10.1109/scored68498.2025.11398866	2025	Development of an Automated Vehicle Protection System Against Flood Damage	cited_by	NO	NO
10.1016/j.oceaneng.2025.123054	2025	Analysis and rapid prediction of underwater vehicle hydrodynamic loads during water-exit integrating CFD with GA-LSTM	cited_by	NO	YES
10.1111/jfr3.12979	2024	Flood risk investigation of pedestrians and vehicles in a mountainous city using a coupled coastal ocean and stormwater management model	cited_by	NO	YES
10.1016/j.rineng.2024.102540	2024	Floodwaters and vehicle hydrodynamics: A deep dive into risk mitigation unraveling vehicle stability in floods	cited_by	YES	NO
10.1115/1.4064971	2024	Modeling of Vehicle Mobility in Shallow Water With Data-Driven Hydrodynamics Model	cited_by;reference	YES	YES
10.1007/978-3-031-77489-8_32	2024	Numerical Studies of 3D Vehicle Wading Phenomenon with an Improved Single-Layer Particle Boundary Technique Within the SPH Framework	cited_by	NO	YES
10.1016/j.jhydrol.2023.129525	2023	Experimental testing to determine stability thresholds for partially submerged vehicles at different flow orientations	cited_by	YES	NO
10.3390/su151713262	2023	Understanding the Stability of Passenger Vehicles Exposed to Water Flows through 3D CFD Modelling	cited_by	YES	YES
10.1063/5.0174148	2023	Research on launching, water exiting, and river crossing of an amphibious vehicle	cited_by	YES	NO
10.4271/2023-01-0609	2023	Vehicle Underbody Structural Performance Prediction During Waterfording Events Using A One Way Coupled CFD-CAE Approach	cited_by	NO	YES
10.1007/s11433-023-2137-5	2023	3D large-scale SPH modeling of vehicle wading with GPU acceleration	cited_by	YES	YES
10.1016/j.oceaneng.2023.116165	2023	Novel experiments on the dynamics of amphibious craft during surf zone transit	reference	NO	NO
10.1016/j.ijdrr.2022.103205	2022	Risk assessment for people and vehicles in an extreme urban flood: Case study of the “7.20” flood event in Zhengzhou, China	cited_by	NO	NO
10.1016/j.scitotenv.2022.154098	2022	Integrated modeling of 2D urban surface and 1D sewer hydrodynamic processes and flood risk assessment of people and vehicles	cited_by	NO	YES
10.1111/jfr3.12828	2022	A numerical approach to understand the responses of passenger vehicles moving through floodwaters	cited_by;reference	YES	YES
10.1016/j.oceaneng.2022.111607	2022	Coupled multibody dynamics and computational fluid dynamics approach for amphibious vehicles in the surf zone	cited_by;reference	YES	YES
10.4271/2022-01-0768	2022	Transient, 3D CFD, Moving Mesh Simulation of Vehicle Water Wading in a Water Tunnel with Inclined Entry-Exit	cited_by;reference	YES	YES
10.1016/j.scitotenv.2021.149036	2021	A dynamic, convenient and accurate method for assessing the flood risk of people and vehicle	cited_by;reference	NO	NO
10.1007/s11069-021-04949-6	2021	Full-scale experimental investigations on the response of a flooded passenger vehicle under subcritical conditions	reference	YES	NO
10.1016/j.uclim.2021.101069	2021	Estimating the instability criterion of vehicles in urban flooding by an entropic method	reference	YES	NO
10.31436/iiumej.v22i1.1502	2021	FROUDE NUMBER VARIANCE WITH RESPECT TO THE HYDRODYNAMIC RESPONSE OF A NON-STATIC VEHICLE AT A LOW-LYING FLOODED ROADWAY	reference	YES	NO
10.4271/2021-01-0205	2021	CFD Method Development for Simulating Water Fording for a Passenger Car	reference	YES	YES
10.1088/1742-6596/2083/4/042091	2021	Research on numerical simulation and intelligent computing of vehicle wading driving by smooth particle hydrodynamics method	reference	NO	YES
10.1111/jfr3.12616	2020	Vehicle‐related flood fatalities in Australia, 2001–2017	reference	NO	NO
