doi	cited_anywhere_in_repo	in_paper_dirs	n_files	sample_file	source_corpus_docs
10.1002/2014jf003404	NO	NO	0	-	03_Gaussian_Splatting_and_Reconstruction/2026-08-12_readme_flood-render-realism-optics_CURRENT.md; 10_Claude_Code_Session_Transcripts/Untitled 3.txt
10.1002/9781119719984	NO	NO	0	-	04_Validation_Literature_and_Citations/compass_artifact_wf-65474f37-43a9-5ab0-817a-2b78217ff50f_text_markdown.md
10.1002/fld.1971	NO	NO	0	-	01_Solver_Physics_and_Coupling/combined_SET_B_genesis_mpm_parameters.md
10.1002/lom3.10120	NO	NO	0	-	00_DISPATCH7_FINDINGS_PASS4_2026-08-14.md; 04_Validation_Literature_and_Citations/2026-08-14_optics-coefficient-followup_Q3-unblock_CURRENT.md
10.1006/jare.2002.1020	NO	NO	0	-	03_Gaussian_Splatting_and_Reconstruction/2026-08-12_readme_flood-render-realism-optics_CURRENT.md; 10_Claude_Code_Session_Transcripts/Untitled 3.txt
10.1007/s10035-020-01024-y	NO	NO	0	-	05_Abstraction_Ladder_Framing_and_Positioning/combined_SET_C_kumar_pvwm_reference.md
10.1007/s10409-022-22053-x	NO	NO	0	-	04_Validation_Literature_and_Citations/2026-08-14_research-artifact_compass-wf-18992794_UNCLEAR.md
10.1007/s10661-015-4710-4	NO	NO	0	-	03_Gaussian_Splatting_and_Reconstruction/2026-08-12_readme_flood-render-realism-optics_CURRENT.md; 10_Claude_Code_Session_Transcripts/Untitled 3.txt
10.1007/s11069-022-05526-1	NO	NO	0	-	04_Validation_Literature_and_Citations/Ground-Material Friction and Road-Camber Physics for Flood-Traversability Simulation- A Provenance-Grade Literature Audit.md
10.1007/s11440-014-0309-0	NO	NO	0	-	05_Abstraction_Ladder_Framing_and_Positioning/combined_SET_C_kumar_pvwm_reference.md
10.1007/s40571-020-00354-1	NO	NO	0	-	01_Solver_Physics_and_Coupling/combined_SET_B_genesis_mpm_parameters.md
10.1007/s40571-022-00511-8	YES	NO	3	_inbox/CAN_IT_FORD_PROJECT_INSTRUCTIONS_v8.md	01_Solver_Physics_and_Coupling/2026-08-14_REU-knowledge-findings_unsteady-flow-and-resolution_CURRENT.md; 04_Validation_Literature_and_Citations/Citation Verification- Mesh Resolution, SPH Bulk Modulus, and Dam-Break vs. Steady-Flow Sensitivity in Vehicle Flood-Stability Simulation.md
10.1016/j.cma.2020.113119	NO	NO	0	-	01_Solver_Physics_and_Coupling/combined_SET_B_genesis_mpm_parameters.md
10.1016/j.cma.2022.114904	NO	NO	0	-	05_Abstraction_Ladder_Framing_and_Positioning/combined_SET_C_kumar_pvwm_reference.md
10.1016/j.cma.2022.114965	NO	NO	0	-	00_DISPATCH7_FINDINGS_2026-08-14.md
10.1016/j.compfluid.2015.04.018	NO	NO	0	-	04_Validation_Literature_and_Citations/Citation Verification- Mesh Resolution, SPH Bulk Modulus, and Dam-Break vs. Steady-Flow Sensitivity in Vehicle Flood-Stability Simulation.md; _BUILD_LOG/sprint3_loose_extract_batch2.txt
