label	tag	status	frame	no_hull	hull_y_m	road_cross_slope	road_crown_height_m	v_car_ms	v_water_ms	v_rel_mag_ms	v_rel_angle_deg_from_broadside	n_grid	dx_m	lim_m	depth_m	depth_cells	band_over_depth	n_water	water_layers	substeps	substeps_effective	bc_per_frame	bc_per_frame_auto	wrench_dt_s	wrench_dt_mode	frames	discard	settle_frames	stream_established_frac	fz_settle_N	f_buoy_analytic_N	fz_settle_over_analytic	force_horiz_mag_N	recycled_x	recycled_y	floor_clamps	wall_s	force_mean_x_N	force_mean_y_N	force_mean_z_N	u_mean_x_ms	u_mean_y_ms	u_mean_z_ms
B1s10	B1s10_g64_vc0.0000_vw0.5000_r1	OK	vehicle_rest	False	4.710871156863869			0.0	0.5	0.5	-0.0	64	0.1472147236519959	9.421742313727737	0.3	2.037839643738194	0.490715745506653	41646	4	11	12	4	1	0.03636363636363636	frame	400	250	30	1.3724013566970825	9236.8125	4468.62177	2.067038334282653	307.5343619105013	57656	0	59162558	4.870091915130615	307.4550076007843	-6.985846899325649	325.44885458946226	0.6862006783485413	0.00010530748113524169	0.0
B1s10	B1s10_g64_vc0.0000_vw1.0000_r1	OK	vehicle_rest	False	4.710871156863869			0.0	1.0	1.0	-0.0	64	0.1472147236519959	9.421742313727737	0.3	2.037839643738194	0.490715745506653	41646	4	11	12	4	1	0.03636363636363636	frame	400	250	30	0.9720416069030762	9236.810852050781	4468.62177	2.0670379655002176	463.6745440094575	77495	0	59659875	4.5051963329315186	463.51729516983033	-12.074760487178962	511.424844900767	0.9720416069030762	0.000489239115267992	-3.627271780715091e-07
B1s10	B1s10_g64_vc0.0000_vw2.0000_r1	OK	vehicle_rest	False	4.710871156863869			0.0	2.0	2.0	-0.0	64	0.1472147236519959	9.421742313727737	0.3	2.037839643738194	0.490715745506653	41646	4	11	12	4	1	0.03636363636363636	frame	400	250	30	0.852790117263794	9236.813415527344	4468.62177	2.067038539161784	912.037672206207	127767	0	57393759	4.494279861450195	911.641246509552	-26.88778878649076	1160.6242352167765	1.705580234527588	-0.0008019887609407306	-6.32387600489892e-05
B1s10	B1s10_g64_vc0.0000_vw3.0000_r1	OK	vehicle_rest	False	4.710871156863869			0.0	3.0	3.0	-0.0	64	0.1472147236519959	9.421742313727737	0.3	2.037839643738194	0.490715745506653	41646	4	11	12	4	2	0.03636363636363636	frame	400	250	30	0.8310364087422689	9236.813232421875	4468.62177	2.0670384981859575	1888.4695161587945	185810	0	54332551	4.5226664543151855	1887.8211701711018	-49.48073276380698	2379.5739691416425	2.4931092262268066	-0.0022223989944905043	-0.00032626709435135126
B1s10	B1s10_g64_vc2.2000_vw0.5000_r1	OK	vehicle_rest	False	4.710871156863869			2.2	0.5	2.2561028345356955	-77.19573393471326	64	0.1472147236519959	9.421742313727737	0.3	2.037839643738194	0.490715745506653	41646	4	11	12	4	1	0.03636363636363636	frame	400	250	30	0.7477054561987843	9236.810485839844	4468.62177	2.0670378835485654	2362.4293838063463	42483	134398	58087033	5.0009400844573975	1105.3936789194743	-2087.864317448934	2994.91607170105	0.46555814146995544	-1.6241098642349243	-1.7832047888077796e-05
B1s10	B1s10_g64_vc2.2000_vw1.0000_r1	OK	vehicle_rest	False	4.710871156863869			2.2	1.0	2.4166091947189146	-65.55604521958347	64	0.1472147236519959	9.421742313727737	0.3	2.037839643738194	0.490715745506653	41646	4	11	12	4	1	0.03636363636363636	frame	400	250	30	0.7177671585997489	9236.806823730469	4468.62177	2.0670370640320423	3031.0028296703667	61939	128067	56775509	4.977816820144653	1502.6899231592813	-2632.2805983225503	4001.9574094136556	0.7376116514205933	-1.5700675249099731	-0.00012787635205313563
B1s10	B1s10_g64_vc2.2000_vw2.0000_r1	OK	vehicle_rest	False	4.710871156863869			2.2	2.0	2.973213749463701	-47.72631099390627	64	0.1472147236519959	9.421742313727737	0.3	2.037839643738194	0.490715745506653	41646	4	11	12	4	1	0.03636363636363636	frame	400	250	30	0.7407283405373	9236.817810058594	4468.62177	2.067039522581611	2562.286531812237	115269	128533	55499790	4.998216390609741	1462.8748003641765	-2103.641982269287	4212.306698099772	1.475695252418518	-1.6348400115966797	-0.0003716831561177969
B1s10	B1s10_g64_vc2.2000_vw3.0000_r1	OK	vehicle_rest	False	4.710871156863869			2.2	3.0	3.7202150475476548	-36.25383773744479	64	0.1472147236519959	9.421742313727737	0.3	2.037839643738194	0.490715745506653	41646	4	11	12	4	2	0.03636363636363636	frame	400	250	30	0.7141650498257897	9236.811584472656	4468.62177	2.0670381294035223	5147.910752669092	166259	123854	53350888	5.011532783508301	4365.124760945638	-2728.8589078267414	6666.288841756185	2.14479660987854	-1.568024754524231	3.584577643778175e-05
B1s10	B1s10_g64_vc4.5000_vw0.5000_r1	OK	vehicle_rest	False	4.710871156863869			4.5	0.5	4.527692569068709	-83.6598082540901	64	0.1472147236519959	9.421742313727737	0.3	2.037839643738194	0.490715745506653	41646	4	11	12	4	3	0.03636363636363636	frame	400	250	30	0.7584696012299234	9236.811401367188	4468.62177	2.067038088427696	5689.487137731514	40766	276116	53078449	5.023222923278809	2363.8003620147706	-5175.20161336263	6945.429854329427	0.4342680871486664	-3.4069983959198	-0.0003121508634649217
B1s10	B1s10_g64_vc4.5000_vw1.0000_r1	OK	vehicle_rest	False	4.710871156863869			4.5	1.0	4.6097722286464435	-77.47119229084849	64	0.1472147236519959	9.421742313727737	0.3	2.037839643738194	0.490715745506653	41646	4	11	12	4	3	0.03636363636363636	frame	400	250	30	0.7304498532239129	9236.813598632812	4468.62177	2.0670385801376097	7485.280438447353	63522	258992	50276085	5.045061349868774	3278.371646118164	-6729.168046061198	9882.80250193278	0.7718184590339661	-3.2778313159942627	0.0004048098635394126
B1s10	B1s10_g64_vc4.5000_vw2.0000_r1	OK	vehicle_rest	False	4.710871156863869			4.5	2.0	4.924428900898052	-66.03751102542182	64	0.1472147236519959	9.421742313727737	0.3	2.037839643738194	0.490715745506653	41646	4	11	12	4	3	0.03636363636363636	frame	400	250	30	0.7200474247490009	9236.810302734375	4468.62177	2.067037842572739	10514.029640060366	112497	249413	46101154	5.052416086196899	4978.565625	-9260.599526468914	15374.665244547527	1.4536727666854858	-3.2341787815093994	0.0003329329483676702
B1s10	B1s10_g64_vc4.5000_vw3.0000_r1	OK	vehicle_rest	False	4.710871156863869			4.5	3.0	5.408326913195984	-56.309932474020215	64	0.1472147236519959	9.421742313727737	0.3	2.037839643738194	0.490715745506653	41646	4	11	12	4	3	0.03636363636363636	frame	400	250	30	0.7255272253965719	9236.809204101562	4468.62177	2.0670375967177823	11811.761270568099	165103	249047	46088320	5.056556940078735	6076.592478179931	-10128.806848144532	15178.96817932129	2.173521041870117	-3.2669129371643066	0.00010597599612083286
B1s10	B1s10_g64_vc6.7000_vw0.5000_r1	OK	vehicle_rest	False	4.710871156863869			6.7	0.5	6.71863081289633	-85.73210669970919	64	0.1472147236519959	9.421742313727737	0.3	2.037839643738194	0.490715745506653	41646	4	11	12	4	4	0.03636363636363636	frame	400	250	30	0.799482299669369	9236.812316894531	4468.62177	2.067038293306827	9566.97111130549	38743	429950	48047119	5.054556608200073	4063.4125549316404	-8661.15550333659	11508.608359781902	0.4001089036464691	-5.356503963470459	-0.00031622880487702787
B1s10	B1s10_g64_vc6.7000_vw1.0000_r1	OK	vehicle_rest	False	4.710871156863869			6.7	1.0	6.774215821775979	-81.5110561194953	64	0.1472147236519959	9.421742313727737	0.3	2.037839643738194	0.490715745506653	41646	4	11	12	4	4	0.03636363636363636	frame	400	250	30	0.7720654328733417	9236.810668945312	4468.62177	2.0670379245243917	13123.671146183397	64905	408184	43343676	5.078927755355835	5510.015702311198	-11910.93914489746	16413.788025919595	0.7795169949531555	-5.171726226806641	0.0002022039843723178
B1s10	B1s10_g64_vc6.7000_vw2.0000_r1	OK	vehicle_rest	False	4.710871156863869			6.7	2.0	6.992138442565336	-73.37924308610795	64	0.1472147236519959	9.421742313727737	0.3	2.037839643738194	0.490715745506653	41646	4	11	12	4	4	0.03636363636363636	frame	400	250	30	0.7194961431592635	9236.813598632812	4468.62177	2.0670385801376097	18758.141093995728	111201	377109	38170316	5.0797998905181885	9076.038786315918	-16416.253447469076	22739.929137166342	1.4062496423721313	-4.830398082733154	-0.0002782598021440208
B1s10	B1s10_g64_vc6.7000_vw3.0000_r1	OK	vehicle_rest	False	4.710871156863869			6.7	3.0	7.340980860893182	-65.87901688055742	64	0.1472147236519959	9.421742313727737	0.3	2.037839643738194	0.490715745506653	41646	4	11	12	4	4	0.03636363636363636	frame	400	250	30	0.7262549335736693	9236.811401367188	4468.62177	2.067038088427696	21793.23272271684	164943	373595	38569452	5.087353467941284	11323.794344584147	-18620.32959289551	27185.015228271484	2.1470422744750977	-4.880112171173096	0.0014632309321314096
B1s10	B1s10_g64_vc8.9000_vw0.5000_r1	OK	vehicle_rest	False	4.710871156863869			8.9	0.5	8.914033879226622	-86.78451600825179	64	0.1472147236519959	9.421742313727737	0.3	2.037839643738194	0.490715745506653	41646	4	11	12	4	5	0.03636363636363636	frame	400	250	30	0.8555122535969246	9236.8125	4468.62177	2.067038334282653	13665.138912554978	37286	596607	44172048	5.058317422866821	6213.659484100342	-12170.721314493816	15128.149883524577	0.35798874497413635	-7.617978572845459	-0.0007809737580828369
B1s10	B1s10_g64_vc8.9000_vw1.0000_r1	OK	vehicle_rest	False	4.710871156863869			8.9	1.0	8.95600357302296	-83.58915997976756	64	0.1472147236519959	9.421742313727737	0.3	2.037839643738194	0.490715745506653	41646	4	11	12	4	5	0.03636363636363636	frame	400	250	30	0.7849950178679258	9236.8125	4468.62177	2.067038334282653	20112.874119644188	62645	554794	35830280	5.090234756469727	8888.7407913208	-18042.11718444824	21515.995188395184	0.716976523399353	-6.99409818649292	0.00633932976052165
B1s10	B1s10_g64_vc8.9000_vw2.0000_r1	OK	vehicle_rest	False	4.710871156863869			8.9	2.0	9.121951545584968	-77.33493623495764	64	0.1472147236519959	9.421742313727737	0.3	2.037839643738194	0.490715745506653	41646	4	11	12	4	5	0.03636363636363636	frame	400	250	30	0.7902864314747351	9236.814880371094	4468.62177	2.067038866968393	25500.322130710985	121415	534457	32550094	5.098452806472778	9540.933559672038	-23648.192649332683	29217.811255900066	1.5771838426589966	-7.034310817718506	0.017212186008691788
B1s10	B1s10_g64_vc8.9000_vw3.0000_r1	OK	vehicle_rest	False	4.710871156863869			8.9	3.0	9.392017887546851	-71.37213682354495	64	0.1472147236519959	9.421742313727737	0.3	2.037839643738194	0.490715745506653	41646	4	11	12	4	5	0.03636363636363636	frame	400	250	30	0.775588350952273	9236.812683105469	4468.62177	2.067038375258479	29882.677453751407	170901	516317	32199009	5.187286615371704	13617.290870157878	-26599.69550882975	32337.80710550944	2.2543158531188965	-6.927157402038574	0.02209813892841339
