run,n_grid,mass_kg,velocity_ms,requested_depth_m,mode_live,mode_frozen,ratio_slide_live,ratio_slide_frozen,reproduces_frozen,longest_joint_frames,sustain_frames_required,margin_frames,k_crit,headroom_x,flips_under_rogue_weakening,flips_under_silverado_weakening
sweepV_g64_v0p5,64,1100.0,0.5,0.3,STUCK,STUCK,1.1355781555175781,1.135578,True,0,3,-3,1.495681461482263,0.6685915589332581,True,True
g96_m2337,96,2337.0,1.5,0.3,SLIDE,SLIDE,1.74224853515625,1.80047,False,4,3,1,0.8720691949434465,1.146697998046875,True,True
g64_m2337,64,2337.0,1.5,0.3,SLIDE,SLIDE,2.8392887115478516,2.839289,True,10,3,7,0.5234190017807155,1.9105152785778043,False,True
g96_m1609,96,1609.0,1.5,0.3,SLIDE,SLIDE,3.1072616577148438,3.132315,False,10,3,7,0.43805290510168277,2.2828292846679688,False,True
g48_m2337,48,2337.0,1.5,0.3,SLIDE,SLIDE,3.6387062072753906,3.620529,False,11,3,8,0.3772222482039623,2.6509571075439453,False,True
sweepV_g64_v1p0,64,1100.0,1.0,0.3,SLIDE,SLIDE,4.847888946533203,4.847889,True,23,3,20,0.29246126598518973,3.4192562103271484,False,True
g48_m1609,48,1609.0,1.5,0.3,SLIDE,SLIDE,5.02532958984375,5.021095,False,15,3,12,0.27874093194003985,3.587560653686523,False,True
g96_m1100,96,1100.0,1.5,0.3,SLIDE,SLIDE,5.405998229980469,5.385389,False,18,3,15,0.25639184887058836,3.900279998779297,False,False
sweepD_g64_d0p25,64,1100.0,1.5,0.25,SLIDE,SLIDE,6.008014678955078,6.008015,True,24,3,21,0.23875931572008555,4.188318252563477,False,False
g64_m1609,64,1609.0,1.5,0.3,SLIDE,SLIDE,6.428728103637695,6.428728,True,28,3,25,0.21924176153528155,4.561174809932709,False,False
g48_m1100,48,1100.0,1.5,0.3,SLIDE,SLIDE,6.896381378173828,6.914206,False,20,3,17,0.212974130139393,4.695405960083008,False,False
g64_m1100,64,1100.0,1.5,0.3,SLIDE,SLIDE,13.306798934936523,13.306799,True,44,3,41,0.12375440219803047,8.080520629882812,False,False
sweepD_g64_d0p35,64,1100.0,1.5,0.35,SLIDE,SLIDE,21.085805892944336,21.085806,True,59,3,56,0.07395971709372781,13.52087378501892,False,False
sweepV_g64_v2p0,64,1100.0,2.0,0.3,SLIDE,SLIDE,22.23888397216797,22.238884,True,53,3,50,0.07048420601910649,14.187575578689575,False,False
sweepD_g64_d0p45,64,1100.0,1.5,0.45,SLIDE,SLIDE,23.242530822753906,23.242531,True,49,3,46,0.06125847838629931,16.324270963668823,False,False
sweepV_g64_v2p5,64,1100.0,2.5,0.3,SLIDE,SLIDE,30.280780792236328,30.280781,True,58,3,55,0.05006295013404058,19.974851608276367,False,False
sweepV_g64_v3p0,64,1100.0,3.0,0.3,SLIDE,SLIDE,35.61624526977539,35.616245,True,53,3,50,0.03888176221548799,25.71899890899658,False,False
