run_id,vehicle_class,target_length_m,vehicle_mass_kg,vehicle_density_kgm3,density_plausible,depth_m,velocity_ms,depth_velocity_m2ps,n_grid,frames_used,plateaued_ok,final_disp_m,final_yaw_deg,final_roll_deg,elapsed_s
veh-sedan_dep-0p15_vel-1p00_idx-0000,sedan,4.6,1240.0,336.61,False,0.15,1.0,0.15,64,90,True,0.0678,-0.11,0.0,9.3
veh-sedan_dep-0p15_vel-1p50_idx-0001,sedan,4.6,1240.0,336.61,False,0.15,1.5,0.225,64,90,True,0.0846,-0.24,-0.01,1.4
veh-sedan_dep-0p15_vel-2p00_idx-0002,sedan,4.6,1240.0,336.61,False,0.15,2.0,0.3,64,90,True,0.114,-0.27,0.01,1.4
veh-sedan_dep-0p30_vel-1p00_idx-0003,sedan,4.6,1240.0,336.61,False,0.3,1.0,0.3,64,90,True,0.15,-0.15,0.01,1.5
veh-sedan_dep-0p30_vel-1p50_idx-0004,sedan,4.6,1240.0,336.61,False,0.3,1.5,0.45,64,90,True,0.2524,1.65,0.01,1.5
veh-sedan_dep-0p30_vel-2p00_idx-0005,sedan,4.6,1240.0,336.61,False,0.3,2.0,0.6,64,90,True,0.5815,5.79,-0.01,1.5
veh-sedan_dep-0p45_vel-1p00_idx-0006,sedan,4.6,1240.0,336.61,False,0.45,1.0,0.45,64,90,True,0.5248,5.23,0.01,1.6
veh-sedan_dep-0p45_vel-1p50_idx-0007,sedan,4.6,1240.0,336.61,False,0.45,1.5,0.675,64,90,True,1.0124,8.73,-0.0,1.6
veh-sedan_dep-0p45_vel-2p00_idx-0008,sedan,4.6,1240.0,336.61,False,0.45,2.0,0.9,64,90,True,1.5877,10.92,-0.0,1.6
veh-sedan_dep-0p60_vel-1p00_idx-0009,sedan,4.6,1240.0,336.61,False,0.6,1.0,0.6,64,120,True,1.3407,9.87,0.01,2.1
veh-sedan_dep-0p60_vel-1p50_idx-0010,sedan,4.6,1240.0,336.61,False,0.6,1.5,0.9,64,90,True,1.9416,12.35,-0.01,1.7
veh-sedan_dep-0p60_vel-2p00_idx-0011,sedan,4.6,1240.0,336.61,False,0.6,2.0,1.2,64,90,True,2.4052,6.16,0.01,1.7
veh-suv_dep-0p15_vel-1p00_idx-0012,suv,4.8,2020.0,482.61,False,0.15,1.0,0.15,64,90,True,0.0528,-0.28,0.02,1.4
veh-suv_dep-0p15_vel-1p50_idx-0013,suv,4.8,2020.0,482.61,False,0.15,1.5,0.225,64,90,True,0.0688,-0.48,0.02,1.4
veh-suv_dep-0p15_vel-2p00_idx-0014,suv,4.8,2020.0,482.61,False,0.15,2.0,0.3,64,90,True,0.0825,-0.38,-0.01,1.4
veh-suv_dep-0p30_vel-1p00_idx-0015,suv,4.8,2020.0,482.61,False,0.3,1.0,0.3,64,90,True,0.1142,-0.64,-0.0,1.5
veh-suv_dep-0p30_vel-1p50_idx-0016,suv,4.8,2020.0,482.61,False,0.3,1.5,0.45,64,90,True,0.1446,-0.3,0.01,1.5
veh-suv_dep-0p30_vel-2p00_idx-0017,suv,4.8,2020.0,482.61,False,0.3,2.0,0.6,64,90,True,0.2288,1.03,-0.01,1.5
veh-suv_dep-0p45_vel-1p00_idx-0018,suv,4.8,2020.0,482.61,False,0.45,1.0,0.45,64,90,True,0.1554,-0.48,0.01,1.6
veh-suv_dep-0p45_vel-1p50_idx-0019,suv,4.8,2020.0,482.61,False,0.45,1.5,0.675,64,90,True,0.2415,0.86,0.02,1.5
veh-suv_dep-0p45_vel-2p00_idx-0020,suv,4.8,2020.0,482.61,False,0.45,2.0,0.9,64,90,True,0.5501,4.86,-0.01,1.6
veh-suv_dep-0p60_vel-1p00_idx-0021,suv,4.8,2020.0,482.61,False,0.6,1.0,0.6,64,90,True,0.4518,3.82,0.01,1.6
veh-suv_dep-0p60_vel-1p50_idx-0022,suv,4.8,2020.0,482.61,False,0.6,1.5,0.9,64,90,True,0.8879,7.24,0.01,1.6
veh-suv_dep-0p60_vel-2p00_idx-0023,suv,4.8,2020.0,482.61,False,0.6,2.0,1.2,64,90,True,1.4211,9.48,-0.02,1.6
veh-pickup_dep-0p15_vel-1p00_idx-0024,pickup,5.5,1930.0,306.51,False,0.15,1.0,0.15,64,90,True,0.0877,-0.3,0.01,1.3
veh-pickup_dep-0p15_vel-1p50_idx-0025,pickup,5.5,1930.0,306.51,False,0.15,1.5,0.225,64,90,True,0.1035,-0.29,0.01,1.3
veh-pickup_dep-0p15_vel-2p00_idx-0026,pickup,5.5,1930.0,306.51,False,0.15,2.0,0.3,64,90,True,0.1335,-0.35,0.01,1.3
veh-pickup_dep-0p30_vel-1p00_idx-0027,pickup,5.5,1930.0,306.51,False,0.3,1.0,0.3,64,90,True,0.1304,-0.36,0.02,1.4
veh-pickup_dep-0p30_vel-1p50_idx-0028,pickup,5.5,1930.0,306.51,False,0.3,1.5,0.45,64,90,True,0.1783,-0.26,-0.01,1.4
veh-pickup_dep-0p30_vel-2p00_idx-0029,pickup,5.5,1930.0,306.51,False,0.3,2.0,0.6,64,90,True,0.2426,0.67,0.01,1.4
veh-pickup_dep-0p45_vel-1p00_idx-0030,pickup,5.5,1930.0,306.51,False,0.45,1.0,0.45,64,120,True,0.3352,1.37,-0.0,1.8
veh-pickup_dep-0p45_vel-1p50_idx-0031,pickup,5.5,1930.0,306.51,False,0.45,1.5,0.675,64,90,True,0.7122,5.25,-0.01,1.4
veh-pickup_dep-0p45_vel-2p00_idx-0032,pickup,5.5,1930.0,306.51,False,0.45,2.0,0.9,64,120,True,1.2912,7.52,0.01,1.8
veh-pickup_dep-0p60_vel-1p00_idx-0033,pickup,5.5,1930.0,306.51,False,0.6,1.0,0.6,64,120,True,0.7014,5.01,-0.0,1.9
veh-pickup_dep-0p60_vel-1p50_idx-0034,pickup,5.5,1930.0,306.51,False,0.6,1.5,0.9,64,120,True,1.268,7.59,0.01,1.9
veh-pickup_dep-0p60_vel-2p00_idx-0035,pickup,5.5,1930.0,306.51,False,0.6,2.0,1.2,64,120,True,1.9256,9.38,0.01,1.9
