t,dx,dy,dz,dmag,yaw_deg,pitch_deg,roll_deg
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.544452780489596888e-01,4.984536069476766702e-03,7.504728713984359055e-03
3.333333333333333287e-02,1.220703125000000000e-03,-1.864433288574218750e-04,-2.037286758422851562e-04,1.251552021130919456e-03,1.705500370186299464e-01,8.641953751705661654e-04,8.002753891646756032e-03
6.666666666666666574e-02,3.778934478759765625e-03,-5.245208740234375000e-06,-2.056360244750976562e-04,3.784528933465480804e-03,2.006609393148443832e-01,-1.149656448918187765e-03,8.325808832680466759e-03
1.000000000000000056e-01,8.166790008544921875e-03,1.921653747558593750e-04,-2.440214157104492188e-04,8.172694593667984009e-03,2.486176584888476482e-01,1.987934603748311123e-03,-1.002016140366143292e-03
1.333333333333333315e-01,1.434135437011718750e-02,1.392364501953125000e-04,-6.985664367675781250e-05,1.434220001101493835e-02,3.109244583667022388e-01,-5.509141205103693095e-03,-4.456654660858682879e-03
1.666666666666666574e-01,2.220153808593750000e-02,-1.053810119628906250e-04,-2.477169036865234375e-04,2.220316976308822632e-02,3.805539680867509600e-01,6.840182930821783614e-06,7.996580707977960639e-03
1.999999999999999833e-01,3.103065490722656250e-02,-2.632141113281250000e-04,-3.100633621215820312e-04,3.103332035243511200e-02,4.548156800853906390e-01,-6.360441700888300079e-05,-3.132156583304909238e-03
2.333333333333333093e-01,4.023551940917968750e-02,-4.577636718750000000e-04,1.463890075683593750e-04,4.023839160799980164e-02,5.350033816018097133e-01,3.062616344624219996e-03,2.502345857129291765e-02
2.666666666666666630e-01,4.948377609252929688e-02,-7.948875427246093750e-04,3.957748413085937500e-05,4.949017614126205444e-02,6.131317277226170370e-01,-4.584162503249385873e-03,1.704368653197553540e-02
2.999999999999999889e-01,5.881690979003906250e-02,-1.071453094482421875e-03,-1.914501190185546875e-04,5.882697924971580505e-02,7.056688381452422831e-01,-2.030668726162180530e-03,6.861467384321642653e-03
3.333333333333333148e-01,6.811666488647460938e-02,-1.317501068115234375e-03,-8.606910705566406250e-05,6.812946498394012451e-02,8.037569180115309297e-01,-2.392200385624241449e-03,1.394107060020726221e-02
3.666666666666666408e-01,7.751035690307617188e-02,-1.569271087646484375e-03,-1.244544982910156250e-04,7.752633839845657349e-02,9.033047907303511925e-01,1.657862293677806647e-03,-1.069431449833124770e-02
3.999999999999999667e-01,8.711290359497070312e-02,-1.843929290771484375e-03,2.934932708740234375e-04,8.713291585445404053e-02,1.001249596706628164e+00,6.655817158570769866e-03,2.239808126369612420e-02
4.333333333333332926e-01,9.696245193481445312e-02,-2.223014831542968750e-03,-1.273155212402343750e-04,9.698801487684249878e-02,1.092345430492674963e+00,4.385460027297549516e-03,-5.868913207065349800e-04
4.666666666666666186e-01,1.068673133850097656e-01,-2.439498901367187500e-03,-1.335144042968750000e-05,1.068951487541198730e-01,1.186472694331443867e+00,-4.391222582528084978e-03,1.339030905838562747e-02
4.999999999999999445e-01,1.170907020568847656e-01,-2.711296081542968750e-03,1.442432403564453125e-05,1.171220839023590088e-01,1.280837520687282183e+00,-3.681964299881122348e-03,1.801812574187958496e-02
5.333333333333333259e-01,1.276049613952636719e-01,-2.861022949218750000e-03,2.462863922119140625e-04,1.276372671127319336e-01,1.381758047985863547e+00,7.596418500753826172e-03,1.557581451281099365e-02
5.666666666666666519e-01,1.385025978088378906e-01,-3.144741058349609375e-03,-5.841255187988281250e-06,1.385382860898971558e-01,1.468428346076565028e+00,-6.976890244177585618e-03,-4.697040717433102058e-03
5.999999999999999778e-01,1.498723030090332031e-01,-3.483295440673828125e-03,2.326965332031250000e-04,1.499129533767700195e-01,1.568650486532512600e+00,8.286009140293924477e-03,1.207291797942623701e-02
6.333333333333333037e-01,1.614527702331542969e-01,-3.792762756347656250e-03,-7.808208465576171875e-05,1.614973247051239014e-01,1.657941336108677666e+00,-2.930648493759678216e-03,1.303881861910444542e-02
6.666666666666666297e-01,1.732053756713867188e-01,-3.939151763916015625e-03,-2.928972244262695312e-04,1.732504069805145264e-01,1.758152911115752781e+00,7.293191493826482611e-04,2.135991377081901139e-03
6.999999999999999556e-01,1.852874755859375000e-01,-4.085540771484375000e-03,-1.590251922607421875e-04,1.853325814008712769e-01,1.857360234871424209e+00,3.405260763452943457e-03,1.909892063546478683e-03
7.333333333333332815e-01,1.973781585693359375e-01,-4.219532012939453125e-03,8.749961853027343750e-05,1.974232643842697144e-01,1.958424836472810515e+00,6.565760297276091242e-03,7.974037415158282543e-03
7.666666666666666075e-01,2.094922065734863281e-01,-4.240036010742187500e-03,-4.935264587402343750e-05,2.095351219177246094e-01,2.058500341305014025e+00,3.127475835990400823e-03,-1.070490329257675101e-02
