t,dx,dy,dz,dmag,yaw_deg,pitch_deg,roll_deg
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.823140044704653517e-02,2.017069629426646894e-03,2.774423841375171090e-02
3.333333333333333287e-02,6.456375122070312500e-04,4.482269287109375000e-05,-1.802444458007812500e-04,6.718221120536327362e-04,-9.661395962475595456e-02,2.543772096701176280e-03,1.104252157763299831e-02
6.666666666666666574e-02,1.637458801269531250e-03,-1.034736633300781250e-04,-2.610683441162109375e-04,1.661365269683301449e-03,-9.630299925453525423e-02,-4.295984299041384624e-03,-1.038015018408795960e-03
1.000000000000000056e-01,2.699375152587890625e-03,-2.059936523437500000e-04,-1.511573791503906250e-04,2.711440203711390495e-03,-1.084355763350199758e-01,-4.241226892578910806e-03,1.158209568314076156e-02
1.333333333333333315e-01,3.461837768554687500e-03,-1.764297485351562500e-04,-3.675222396850585938e-04,3.485759720206260681e-03,-1.015768791293503587e-01,8.919717835085043617e-04,1.728315190539675633e-03
1.666666666666666574e-01,3.912448883056640625e-03,-1.807212829589843750e-04,-3.910064697265625000e-04,3.936089575290679932e-03,-8.829825767111831869e-02,-9.788146956206742865e-04,-1.838792974051532041e-04
1.999999999999999833e-01,4.864215850830078125e-03,-2.622604370117187500e-05,-1.991987228393554688e-04,4.868363495916128159e-03,-8.901218586215654816e-02,-1.999752573577785568e-03,-1.282579959307469410e-02
2.333333333333333093e-01,6.025314331054687500e-03,1.673698425292968750e-04,-2.728700637817382812e-04,6.033811718225479126e-03,-8.151288494742715829e-02,3.015129562808938849e-03,1.735779665160260650e-03
2.666666666666666630e-01,6.935596466064453125e-03,1.168251037597656250e-04,-2.425909042358398438e-04,6.940821185708045959e-03,-8.747743435152674496e-02,-2.099293701151294916e-03,1.024169440389889954e-02
2.999999999999999889e-01,7.622241973876953125e-03,2.083778381347656250e-04,-2.074241638183593750e-04,7.627910934388637543e-03,-6.770857237683554353e-02,2.516567024682665570e-03,-8.915572155385263764e-03
3.333333333333333148e-01,8.893013000488281250e-03,1.239776611328125000e-04,-1.733303070068359375e-04,8.895565755665302277e-03,-9.356412674789318928e-02,-4.341538625906861751e-03,-8.048166478746742597e-03
3.666666666666666408e-01,1.049375534057617188e-02,-2.980232238769531250e-04,-5.471706390380859375e-05,1.049812883138656616e-02,-1.168783971804565336e-01,-6.794588726619710424e-03,-1.051488446166955366e-02
3.999999999999999667e-01,1.232624053955078125e-02,-8.115768432617187500e-04,-2.719163894653320312e-04,1.235592179000377655e-02,-1.394837219916203186e-01,1.167230929194080623e-03,-8.475039961659316598e-03
4.333333333333332926e-01,1.394033432006835938e-02,-1.148223876953125000e-03,-1.455545425415039062e-04,1.398830022662878036e-02,-1.585178850632855685e-01,3.566318825217025968e-03,1.014406238590205393e-02
4.666666666666666186e-01,1.558828353881835938e-02,-1.499176025390625000e-03,6.854534149169921875e-05,1.566035859286785126e-02,-1.840043757654311329e-01,3.850395330740715143e-03,2.665678091742510608e-02
4.999999999999999445e-01,1.728773117065429688e-02,-1.842498779296875000e-03,-1.274347305297851562e-04,1.738610677421092987e-02,-2.047644956238468816e-01,-5.282668990920530439e-03,-9.031441912384165910e-03
5.333333333333333259e-01,1.904535293579101562e-02,-2.297878265380859375e-03,-3.367662429809570312e-04,1.918643154203891754e-02,-2.260845709322846786e-01,2.877229954868807139e-05,-6.628577693815044559e-03
5.666666666666666519e-01,2.049636840820312500e-02,-2.709865570068359375e-03,-2.542734146118164062e-04,2.067629434168338776e-02,-2.445015356989893862e-01,1.361874957934163096e-03,-9.298696409034055282e-03
5.999999999999999778e-01,2.225971221923828125e-02,-2.993583679199218750e-03,-1.875162124633789062e-04,2.246088907122612000e-02,-2.795347498907483907e-01,-4.313614641460147489e-03,-6.977338391965535146e-03
6.333333333333333037e-01,2.404785156250000000e-02,-3.210067749023437500e-03,-7.498264312744140625e-05,2.426127344369888306e-02,-3.090639788698142376e-01,-8.002171924844916559e-03,-5.350319713462725613e-03
6.666666666666666297e-01,2.577161788940429688e-02,-3.589153289794921875e-03,-3.545284271240234375e-04,2.602275833487510681e-02,-3.311410445775730960e-01,6.118959870862137598e-04,-3.810953322821205701e-03
6.999999999999999556e-01,2.743577957153320312e-02,-4.015445709228515625e-03,-1.904964447021484375e-04,2.772872336208820343e-02,-3.551192774325490631e-01,4.327409255695726688e-03,3.692154555256598088e-03
7.333333333333332815e-01,2.921962738037109375e-02,-4.439353942871093750e-03,1.019239425659179688e-04,2.955511584877967834e-02,-3.776399852712414296e-01,5.244563922494930967e-03,2.428012688278524678e-02
7.666666666666666075e-01,3.092002868652343750e-02,-4.824161529541015625e-03,-3.648996353149414062e-04,3.129622712731361389e-02,-3.966497090722826968e-01,7.405288888655009059e-04,2.511392481038086412e-03
7.999999999999999334e-01,3.229904174804687500e-02,-5.020141601562500000e-03,-9.071826934814453125e-05,3.268697112798690796e-02,-3.958490828355102908e-01,3.679621424933888964e-03,-1.416600243664486829e-02
8.333333333333332593e-01,3.379249572753906250e-02,-5.282402038574218750e-03,-2.640485763549804688e-04,3.420389443635940552e-02,-4.066877659551006996e-01,-4.170260710169216255e-03,6.317805128783622560e-04
8.666666666666665853e-01,3.483676910400390625e-02,-5.369663238525390625e-03,-2.455711364746093750e-04,3.524902835488319397e-02,-4.123406012669325049e-01,-1.803089899604030065e-03,-9.611913776579364757e-03
8.999999999999999112e-01,3.594779968261718750e-02,-5.298137664794921875e-03,-3.494024276733398438e-04,3.633781522512435913e-02,-3.989369153097378495e-01,9.501637737737397057e-04,-3.035480266520970347e-03
9.333333333333332371e-01,3.679704666137695312e-02,-5.186080932617187500e-03,-2.638101577758789062e-04,3.716164454817771912e-02,-4.030299328502944256e-01,-4.301498809682310735e-03,-7.977216137840249495e-04
9.666666666666665630e-01,3.797245025634765625e-02,-5.191326141357421875e-03,-6.532669067382812500e-05,3.832572698593139648e-02,-4.089459972494361994e-01,5.683407745484882721e-03,8.970522161176140014e-03
9.999999999999998890e-01,3.921890258789062500e-02,-5.362510681152343750e-03,-1.749992370605468750e-04,3.958420827984809875e-02,-4.177106507388699264e-01,5.573131706642915455e-03,3.879666989384167514e-04
1.033333333333333215e+00,4.043531417846679688e-02,-5.406379699707031250e-03,-1.529455184936523438e-04,4.079543054103851318e-02,-4.402703120001724701e-01,-4.871325600607472744e-03,-8.213736867633396679e-03
1.066666666666666652e+00,4.185676574707031250e-02,-5.503177642822265625e-03,-2.306699752807617188e-04,4.221761599183082581e-02,-4.357457919227150089e-01,3.157235975722718323e-03,-4.640409011012841534e-03
1.100000000000000089e+00,4.294729232788085938e-02,-5.676269531250000000e-03,-3.725290298461914062e-04,4.332238063216209412e-02,-4.477091884191097271e-01,-3.177769846815521994e-04,-3.620413806716661197e-03
1.133333333333333526e+00,4.379606246948242188e-02,-5.735874176025390625e-03,-4.243850708007812500e-05,4.417009279131889343e-02,-4.358619318190317116e-01,5.552345986915324834e-03,1.133007904504448014e-02
1.166666666666666963e+00,4.466438293457031250e-02,-5.719184875488281250e-03,-2.530813217163085938e-04,4.502977058291435242e-02,-4.241412738424369389e-01,-3.183250225270272803e-03,-4.949113217672253262e-03
1.200000000000000400e+00,4.584598541259765625e-02,-5.710124969482421875e-03,-2.694129943847656250e-05,4.620022326707839966e-02,-4.238135048035556740e-01,-6.022563073233380172e-03,1.717138072046969083e-02
1.233333333333333837e+00,4.678249359130859375e-02,-5.609989166259765625e-03,-1.074075698852539062e-04,4.711778089404106140e-02,-4.237473373459711423e-01,-4.012945411977422196e-03,1.648219862495953550e-02
1.266666666666667274e+00,4.795837402343750000e-02,-5.590438842773437500e-03,3.373622894287109375e-05,4.828312247991561890e-02,-4.361589116457950110e-01,6.577368367188140240e-03,1.382806732152458244e-02
1.300000000000000711e+00,4.942893981933593750e-02,-5.746364593505859375e-03,-8.904933929443359375e-05,4.976192116737365723e-02,-4.323532689784814198e-01,7.508370592194151677e-03,3.696803150572831030e-04
1.333333333333334147e+00,5.073642730712890625e-02,-5.750656127929687500e-03,-2.565383911132812500e-04,5.106193572282791138e-02,-4.372435777025047710e-01,-2.450550061378585498e-03,7.768099541059794721e-03
1.366666666666667584e+00,5.173826217651367188e-02,-5.866527557373046875e-03,-3.769397735595703125e-04,5.207116156816482544e-02,-4.436338066404335034e-01,2.198569568225259926e-05,-3.706382726421913760e-03
1.400000000000001021e+00,5.273342132568359375e-02,-5.895614624023437500e-03,-2.880096435546875000e-04,5.306274443864822388e-02,-4.546888413380693605e-01,-3.022918110812460534e-04,-1.008973103249937928e-02
1.433333333333334458e+00,5.386066436767578125e-02,-5.810737609863281250e-03,-1.599788665771484375e-04,5.417343601584434509e-02,-4.382832872406541291e-01,-5.209974417135171919e-03,-6.591180490453573890e-03
1.466666666666667895e+00,5.493211746215820312e-02,-5.675792694091796875e-03,-2.621412277221679688e-04,5.522518232464790344e-02,-4.371669248373272754e-01,-2.228100546804555847e-03,-7.017785084693378521e-03
1.500000000000001332e+00,5.600595474243164062e-02,-5.690097808837890625e-03,-2.316236495971679688e-04,5.629473924636840820e-02,-4.402891750616693134e-01,1.494109717283574092e-03,1.066957757419976539e-02
1.533333333333334769e+00,5.712413787841796875e-02,-5.740165710449218750e-03,-1.248121261596679688e-04,5.741195008158683777e-02,-4.435451209029291353e-01,-5.778437588139978542e-03,8.888009607340551649e-03
1.566666666666668206e+00,5.817890167236328125e-02,-5.745410919189453125e-03,-3.483295440673828125e-04,5.846294388175010681e-02,-4.450207352483427914e-01,-2.000360387042743847e-03,6.526757161527524647e-04
1.600000000000001643e+00,5.920171737670898438e-02,-5.578517913818359375e-03,-3.998279571533203125e-04,5.946531146764755249e-02,-4.259529815197828362e-01,-6.738462697656921784e-04,-3.494940972164912031e-04
1.633333333333335080e+00,6.016540527343750000e-02,-5.376815795898437500e-03,-2.036094665527343750e-04,6.040552631020545959e-02,-4.236121743055989430e-01,-2.216212540855662730e-03,-1.182290820965664277e-02
1.666666666666668517e+00,6.127405166625976562e-02,-5.323410034179687500e-03,-3.781318664550781250e-04,6.150602549314498901e-02,-4.216519100138053089e-01,-7.446953605382332451e-04,-1.921978088285396322e-03
1.700000000000001954e+00,6.227684020996093750e-02,-5.519866943359375000e-03,-3.626346588134765625e-04,6.252203881740570068e-02,-4.252693756333997266e-01,-1.387473368022666990e-03,1.478986501187349060e-03
1.733333333333335391e+00,6.317615509033203125e-02,-5.566596984863281250e-03,-1.949071884155273438e-04,6.342122703790664673e-02,-4.258081868454638430e-01,4.715022491093950364e-03,-1.881831341914231995e-03
1.766666666666668828e+00,6.411266326904296875e-02,-5.448818206787109375e-03,5.221366882324218750e-05,6.434381008148193359e-02,-4.394341474353747889e-01,-6.255136350557603461e-03,-2.081821982205383018e-02
1.800000000000002265e+00,6.512117385864257812e-02,-5.563259124755859375e-03,-1.939535140991210938e-04,6.535866111516952515e-02,-4.341031581077534063e-01,-1.355136274289224637e-03,1.601928989107919560e-02
1.833333333333335702e+00,6.596469879150390625e-02,-5.645275115966796875e-03,-3.646612167358398438e-04,6.620682775974273682e-02,-4.351671735143944897e-01,-8.332326360603073368e-04,3.149057174372224804e-03
1.866666666666669139e+00,6.682920455932617188e-02,-5.640029907226562500e-03,-2.264976501464843750e-04,6.706715375185012817e-02,-4.413359549128266779e-01,3.902621431744185757e-03,-2.301737690030429377e-03
1.900000000000002576e+00,6.764984130859375000e-02,-5.577087402343750000e-03,-3.192424774169921875e-04,6.788009405136108398e-02,-4.520124744004822004e-01,-8.803334896758730540e-04,6.876800291894462347e-03
1.933333333333336013e+00,6.860542297363281250e-02,-5.638122558593750000e-03,-2.717971801757812500e-04,6.883724778890609741e-02,-4.716194395475029610e-01,-3.132080085519710431e-03,4.065853948263565242e-03
1.966666666666669450e+00,6.929779052734375000e-02,-5.453586578369140625e-03,-2.487897872924804688e-04,6.951250135898590088e-02,-4.728308909906810409e-01,-1.333174114508059406e-03,1.159094441332403184e-02
2.000000000000002665e+00,6.998825073242187500e-02,-5.454540252685546875e-03,-3.273487091064453125e-04,7.020124047994613647e-02,-4.722784994415563098e-01,-2.363562491329281989e-03,-1.310154221726917648e-03
2.033333333333335879e+00,7.073020935058593750e-02,-5.306720733642578125e-03,-1.628398895263671875e-04,7.092919200658798218e-02,-4.805089841131274242e-01,-3.128657903946429394e-03,-1.246811262475157507e-02
2.066666666666669094e+00,7.153034210205078125e-02,-5.435466766357421875e-03,-5.912780761718750000e-05,7.173658907413482666e-02,-5.062901201047224076e-01,5.418767513744975929e-03,1.045659606751970193e-02
2.100000000000002309e+00,7.233333587646484375e-02,-5.661487579345703125e-03,-1.497268676757812500e-04,7.255471497774124146e-02,-5.128929386805677337e-01,3.776001547296117897e-03,-8.980926693726505247e-03
2.133333333333335524e+00,7.286310195922851562e-02,-5.561828613281250000e-03,-3.579854965209960938e-04,7.307594269514083862e-02,-5.112848026569999371e-01,-9.372213698781756315e-04,-3.009740325107807327e-03
2.166666666666668739e+00,7.293653488159179688e-02,-5.712032318115234375e-03,-1.566410064697265625e-04,7.316002994775772095e-02,-4.927901978493392510e-01,2.731432211157937707e-03,1.228494149204424624e-02
2.200000000000001954e+00,7.322978973388671875e-02,-5.666732788085937500e-03,-2.628564834594726562e-04,7.344918698072433472e-02,-4.867533244792529024e-01,1.008773479465510398e-03,9.876913777194620478e-03
2.233333333333335169e+00,7.376909255981445312e-02,-5.529880523681640625e-03,-1.156330108642578125e-05,7.397606968879699707e-02,-4.846835103564746117e-01,7.176125911776665665e-03,7.925210567236617293e-03
2.266666666666668384e+00,7.449579238891601562e-02,-5.427360534667968750e-03,-2.032518386840820312e-04,7.469351589679718018e-02,-4.827149751324829041e-01,3.362205850599234765e-03,-6.136546440706262817e-03
2.300000000000001599e+00,7.492637634277343750e-02,-5.356311798095703125e-03,-3.131628036499023438e-04,7.511823624372482300e-02,-4.900975024907675004e-01,-1.019615841982660217e-03,-6.412341175108646554e-03
2.333333333333334814e+00,7.528686523437500000e-02,-5.194187164306640625e-03,-1.069307327270507812e-04,7.546591013669967651e-02,-4.727331872690381243e-01,4.608184058446802497e-03,9.500348739634756692e-03
2.366666666666668029e+00,7.550382614135742188e-02,-5.103111267089843750e-03,-2.661943435668945312e-04,7.567654550075531006e-02,-4.648587262079539317e-01,1.140242322979191213e-03,9.138393736843707441e-03
2.400000000000001243e+00,7.596778869628906250e-02,-5.022525787353515625e-03,-1.639127731323242188e-04,7.613380998373031616e-02,-4.625127696714660952e-01,3.082870540231218842e-03,1.041291687437533725e-02
2.433333333333334458e+00,7.671594619750976562e-02,-5.063056945800781250e-03,-2.479553222656250000e-04,7.688324153423309326e-02,-4.640897963177985641e-01,-2.869938017146582594e-03,7.177986871521230099e-03
2.466666666666667673e+00,7.723522186279296875e-02,-4.912853240966796875e-03,-9.095668792724609375e-05,7.739137113094329834e-02,-4.424123233569119407e-01,6.856891274304600242e-03,-2.578769103886721994e-03
2.500000000000000888e+00,7.740449905395507812e-02,-4.794597625732421875e-03,-2.009868621826171875e-04,7.755311578512191772e-02,-4.238422929836901942e-01,-2.337709574985389043e-03,1.319704021803205438e-02
2.533333333333334103e+00,7.752704620361328125e-02,-4.702091217041015625e-03,-2.226829528808593750e-04,7.766982913017272949e-02,-4.099720197288190260e-01,-4.820411426198120339e-03,-2.630923292803288849e-03
2.566666666666667318e+00,7.793617248535156250e-02,-4.716873168945312500e-03,-2.092123031616210938e-04,7.807905972003936768e-02,-4.094693604945884302e-01,-4.361543526279261333e-03,-5.065609130929295614e-03
2.600000000000000533e+00,7.843065261840820312e-02,-4.720687866210937500e-03,-8.928775787353515625e-05,7.857263833284378052e-02,-4.107332122953052389e-01,-5.544749986129997830e-03,1.296067915391591746e-02
2.633333333333333748e+00,7.889318466186523438e-02,-4.633903503417968750e-03,-2.391338348388671875e-04,7.902951538562774658e-02,-4.181626705237072583e-01,-2.806623280783421964e-03,-7.190197335436614851e-03
2.666666666666666963e+00,7.925081253051757812e-02,-4.534244537353515625e-03,-2.094507217407226562e-04,7.938069105148315430e-02,-4.077447910900130479e-01,-3.615124829055531199e-03,-7.275510500285640829e-03
2.700000000000000178e+00,7.967710494995117188e-02,-4.514694213867187500e-03,-1.358985900878906250e-04,7.980502396821975708e-02,-4.088697179102289136e-01,-5.344056066473013532e-03,9.300226364738031423e-03
2.733333333333333393e+00,8.011674880981445312e-02,-4.426479339599609375e-03,-9.441375732421875000e-05,8.023899048566818237e-02,-4.114120957462074624e-01,5.253638185657996500e-03,-8.120989868966033143e-03
2.766666666666666607e+00,8.047389984130859375e-02,-4.394054412841796875e-03,-1.906156539916992188e-04,8.059399574995040894e-02,-4.025821018924090056e-01,2.629305791950038718e-03,9.883297902985000230e-03
2.799999999999999822e+00,8.093547821044921875e-02,-4.336357116699218750e-03,2.467632293701171875e-05,8.105156570672988892e-02,-4.135075764392261988e-01,7.007269661620599450e-03,1.152003200864889013e-02
2.833333333333333037e+00,8.139991760253906250e-02,-4.363059997558593750e-03,-1.908540725708007812e-04,8.151698857545852661e-02,-4.098046000528743904e-01,2.151444346573724332e-03,-1.153685818633932297e-02
2.866666666666666252e+00,8.200979232788085938e-02,-4.351615905761718750e-03,-2.435445785522460938e-04,8.212552219629287720e-02,-4.309474773090752886e-01,-2.339732701696941621e-03,-8.208138980659829623e-03
2.899999999999999467e+00,8.223581314086914062e-02,-4.355430603027343750e-03,-2.238750457763671875e-04,8.235137164592742920e-02,-4.233423551529569839e-01,-3.731319753751737110e-03,6.512471148031439248e-03
2.933333333333332682e+00,8.240604400634765625e-02,-4.212856292724609375e-03,-6.949901580810546875e-05,8.251368999481201172e-02,-4.174141778402090663e-01,6.284882524754203080e-03,-6.404739754861697894e-03
2.966666666666665897e+00,8.242130279541015625e-02,-4.178047180175781250e-03,-2.322196960449218750e-04,8.252745866775512695e-02,-3.992543056627318454e-01,-1.924631956953383287e-03,1.152908667837378512e-02
2.999999999999999112e+00,8.244752883911132812e-02,-4.109382629394531250e-03,-1.144409179687500000e-05,8.254987746477127075e-02,-3.796682312896178524e-01,6.960402157516015070e-03,-8.679327818134824346e-03
