run_id,vehicle_class,params_class,bbox_l_m,bbox_w_m,bbox_h_m,fitted_extent_x_m,fitted_extent_y_m,fitted_extent_z_m,vehicle_mass_kg,solid_volume_m3,vehicle_density_kgm3,density_plausible,depth_m,velocity_ms,depth_velocity_m2ps,n_grid,frames_used,plateaued_ok,final_disp_m,final_yaw_deg,final_roll_deg,elapsed_s
veh-sedan_dep-0p15_vel-1p00_idx-0000,sedan,compact_sedan,4.66,1.79,1.44,1.79,4.66,1.44,1390.0,4.7352,293.55,True,0.15,1.0,0.15,64,90,True,0.055,-0.13,-0.0,13.2
veh-sedan_dep-0p15_vel-1p50_idx-0001,sedan,compact_sedan,4.66,1.79,1.44,1.79,4.66,1.44,1390.0,4.7352,293.55,True,0.15,1.5,0.225,64,90,True,0.0687,-0.22,0.01,1.5
veh-sedan_dep-0p15_vel-2p00_idx-0002,sedan,compact_sedan,4.66,1.79,1.44,1.79,4.66,1.44,1390.0,4.7352,293.55,True,0.15,2.0,0.3,64,90,True,0.0781,0.12,0.01,1.5
veh-sedan_dep-0p30_vel-1p00_idx-0003,sedan,compact_sedan,4.66,1.79,1.44,1.79,4.66,1.44,1390.0,4.7352,293.55,True,0.3,1.0,0.3,64,90,True,0.116,-0.16,0.01,1.6
veh-sedan_dep-0p30_vel-1p50_idx-0004,sedan,compact_sedan,4.66,1.79,1.44,1.79,4.66,1.44,1390.0,4.7352,293.55,True,0.3,1.5,0.45,64,90,True,0.1662,0.48,-0.0,1.6
veh-sedan_dep-0p30_vel-2p00_idx-0005,sedan,compact_sedan,4.66,1.79,1.44,1.79,4.66,1.44,1390.0,4.7352,293.55,True,0.3,2.0,0.6,64,90,True,0.394,3.45,0.01,1.6
veh-sedan_dep-0p45_vel-1p00_idx-0006,sedan,compact_sedan,4.66,1.79,1.44,1.79,4.66,1.44,1390.0,4.7352,293.55,True,0.45,1.0,0.45,64,90,True,0.3481,2.69,0.0,1.7
veh-sedan_dep-0p45_vel-1p50_idx-0007,sedan,compact_sedan,4.66,1.79,1.44,1.79,4.66,1.44,1390.0,4.7352,293.55,True,0.45,1.5,0.675,64,90,True,0.7717,6.71,0.01,1.7
veh-sedan_dep-0p45_vel-2p00_idx-0008,sedan,compact_sedan,4.66,1.79,1.44,1.79,4.66,1.44,1390.0,4.7352,293.55,True,0.45,2.0,0.9,64,90,True,1.2949,9.11,-0.01,1.7
veh-sedan_dep-0p60_vel-1p00_idx-0009,sedan,compact_sedan,4.66,1.79,1.44,1.79,4.66,1.44,1390.0,4.7352,293.55,True,0.6,1.0,0.6,64,90,True,0.6742,5.77,-0.01,1.7
