t,dx,dy,dz,dmag,yaw_deg,pitch_deg,roll_deg
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.244118675020824516e-01,7.385668144735256513e-03,4.460564593977918262e-03
3.333333333333333287e-02,5.555152893066406250e-04,-1.044273376464843750e-04,-2.280473709106445312e-04,6.095144781284034252e-04,-3.286306565729024687e-01,-9.716699692357704020e-04,-8.492182969413787988e-03
6.666666666666666574e-02,9.493827819824218750e-04,-6.437301635742187500e-05,-4.994869232177734375e-05,9.528727387078106403e-04,-3.084917104029876733e-01,4.369251668231992521e-03,1.008451417536598491e-02
1.000000000000000056e-01,1.638889312744140625e-03,2.207756042480468750e-04,-1.122951507568359375e-04,1.657501212321221828e-03,-2.941141355196844054e-01,3.222755182320926910e-03,9.233572823134231569e-03
1.333333333333333315e-01,2.420425415039062500e-03,1.735687255859375000e-04,-2.957582473754882812e-04,2.444597659632563591e-03,-2.924156862525990608e-01,-1.351729934219145701e-03,-3.064477304368783996e-03
1.666666666666666574e-01,2.940177917480468750e-03,2.388954162597656250e-04,-9.405612945556640625e-05,2.951366361230611801e-03,-2.710433573289680043e-01,-3.291449568106965661e-03,1.390857800961344329e-02
1.999999999999999833e-01,3.811836242675781250e-03,2.331733703613281250e-04,-2.437829971313476562e-04,3.826734377071261406e-03,-2.795105774243888952e-01,2.646989495221692412e-03,1.895962379652020276e-03
2.333333333333333093e-01,4.757404327392578125e-03,1.997947692871093750e-04,-1.181364059448242188e-04,4.763063043355941772e-03,-2.625232833087589035e-01,-6.117476605904440499e-03,-3.884476240471359827e-03
2.666666666666666630e-01,5.746841430664062500e-03,2.717971801757812500e-04,-8.821487426757812500e-05,5.753941368311643600e-03,-2.582144477986857978e-01,-4.738523777975681833e-03,-9.128965541148576640e-03
2.999999999999999889e-01,6.896495819091796875e-03,2.751350402832031250e-04,4.661083221435546875e-05,6.902139168232679367e-03,-2.480526470980142228e-01,9.386341609907070463e-03,-1.632210314295580271e-03
3.333333333333333148e-01,8.078098297119140625e-03,4.959106445312500000e-04,-1.016855239868164062e-04,8.093944750726222992e-03,-2.452319924142105090e-01,6.416412024549881035e-03,-3.751656439817843518e-04
3.666666666666666408e-01,9.087562561035156250e-03,5.254745483398437500e-04,-1.964569091796875000e-04,9.104861877858638763e-03,-2.494887477318622759e-01,-2.083749226134397423e-03,9.170279347735893830e-03
3.999999999999999667e-01,1.009416580200195312e-02,4.134178161621093750e-04,-3.247261047363281250e-04,1.010784599930047989e-02,-2.548686956420109229e-01,-3.154016450747964607e-04,-3.491457092105476352e-03
4.333333333333332926e-01,1.072931289672851562e-02,4.005432128906250000e-04,-2.658367156982421875e-05,1.073681935667991638e-02,-2.600216198035359416e-01,4.252283011168871314e-03,1.203604229502544011e-02
4.666666666666666186e-01,1.156187057495117188e-02,1.835823059082031250e-04,-8.642673492431640625e-05,1.156365033239126205e-02,-2.504765371601489488e-01,-2.633718901236767242e-03,1.568711691430778321e-02
4.999999999999999445e-01,1.253461837768554688e-02,2.298355102539062500e-04,-7.617473602294921875e-05,1.253695692867040634e-02,-2.495484852066734427e-01,-9.948734983895556050e-04,1.950217777215658421e-02
5.333333333333333259e-01,1.359176635742187500e-02,2.579689025878906250e-04,-2.669095993041992188e-04,1.359683461487293243e-02,-2.492729297623457463e-01,-3.032137084022867510e-03,-1.052524584696777751e-03
5.666666666666666519e-01,1.438570022583007812e-02,1.778602600097656250e-04,-2.701282501220703125e-04,1.438933517783880234e-02,-2.543423175086703680e-01,4.788273601899692422e-04,6.623307892710422230e-03
5.999999999999999778e-01,1.545858383178710938e-02,2.098083496093750000e-04,-1.448392868041992188e-04,1.546068582683801651e-02,-2.395284642921325091e-01,2.045816955158198409e-03,1.052363814283361135e-02
6.333333333333333037e-01,1.662206649780273438e-02,2.822875976562500000e-04,-2.392530441284179688e-04,1.662618480622768402e-02,-2.527588608795645619e-01,-3.131138558283353465e-03,3.387382168003739806e-03
