branch	last_commit	ahead	behind	contained_in_n_others	contained_in
origin/worktree-reconcile-vehicle-master-ref	2026-07-23	0	207	84	origin/audit/g-mergetest-2026-08-04;origin/claude/add-ci-checks;origin/claude/bibliography-formatting-fix-4c3864
origin/claude/reverent-heisenberg-fe731c	2026-07-30	3	163	0	
origin/paper/close-for-submission	2026-07-30	11	396	0	
origin/paper/final-graft	2026-07-30	14	396	8	origin/analysis/failure-modes;origin/claude/overleaf-gci-citations-2026-08-08;origin/final/pass
origin/paper/submission-close	2026-07-30	11	396	0	
origin/reconcile/overleaf-base	2026-07-30	6	396	1	origin/paper/submission-close
origin/analysis/failure-modes	2026-07-31	17	396	0	
origin/claude/bibliography-formatting-fix-4c3864	2026-07-31	1	142	1	origin/audit/g-mergetest-2026-08-04
origin/claude/festive-goodall-e08861	2026-07-31	2	142	0	
origin/claude/fig2-sign-callout-fix-e926c6	2026-07-31	1	142	1	origin/audit/g-mergetest-2026-08-04
origin/claude/figure-verification-citations-f36b1c	2026-07-31	1	142	1	origin/audit/g-mergetest-2026-08-04
origin/claude/verify-execute-code-changes-d89fd8	2026-07-31	1	141	0	
origin/final/pass	2026-07-31	20	396	5	origin/claude/overleaf-gci-citations-2026-08-08;origin/overleaf/figpush-2026-07-31;origin/rescue/ovl-1f801bf
origin/overleaf-edits	2026-07-31	17	396	6	origin/claude/overleaf-gci-citations-2026-08-08;origin/final/pass;origin/overleaf/figpush-2026-07-31
origin/overleaf/figpush-2026-07-31	2026-07-31	27	396	4	origin/claude/overleaf-gci-citations-2026-08-08;origin/rescue/ovl-1f801bf;overleaf/HEAD -> overleaf/main
origin/paper/mark-superseded	2026-07-31	1	165	0	
origin/rescue/ovl-1f801bf	2026-07-31	28	396	3	origin/claude/overleaf-gci-citations-2026-08-08;overleaf/HEAD -> overleaf/main;overleaf/main
origin/audit/g-mergetest-2026-08-04	2026-08-04	6	137	0	
origin/claude/can-it-ford-runs-analysis-4e93c6	2026-08-04	1	142	0	
origin/claude/figure-validation-sources-826ba6	2026-08-04	2	142	0	
origin/push-ready-2026-08-04	2026-08-04	4	142	0	
origin/worktree-c1-triage	2026-08-07	3	94	0	
origin/claude/bingham-material-sweep-2026-08-07	2026-08-08	1	90	0	
origin/claude/overleaf-gci-citations-2026-08-08	2026-08-08	30	396	0	
origin/claude/visual-physical-realism-trial-2026-08-11	2026-08-11	1	55	0	
origin/claude/warpmpm-gravity-provenance-435363	2026-08-12	3	31	2	origin/claude/friction-resolution-reconcile-84465d;origin/warpmpm-continue
