cite_key	doi	oa_status	route	http	bytes	is_pdf	url
Kra21b	10.3390/en14020269	gold	unpaywall	200	92832	NO	https://vbn.aau.dk/da/publications/e7cc5be7-9d0e-456e-8b1c-b47e60bcfb11
Kra21b	10.3390/en14020269	gold	unpaywall	404	0	NO	http://hdl.handle.net/10026.1/16780
Kra21b	10.3390/en14020269	gold	unpaywall	403	0	NO	https://doaj.org/article/ea4ef6078f0844caa186b24bef6b03b1
Kra21b	10.3390/en14020269	gold	unpaywall	403	0	NO	https://dx.doi.org/10.3390/en14020269
Kra21b	10.3390/en14020269	gold	unpaywall	0	0	NO	https://www.osti.gov/biblio/1755979
Kra21b	10.3390/en14020269	gold	unpaywall	0	0	NO	https://www.osti.gov/biblio/1788423
Gar19	10.1109/oceanse.2019.8867480	green	unpaywall	200	12612	NO	https://hal.science/hal-03498931
Gar19	10.1109/oceanse.2019.8867480	green	doi.org	202	2055	NO	https://doi.org/10.1109/oceanse.2019.8867480
Zha17c	10.1016/j.jcp.2016.10.064	green	unpaywall	500	0	NO	http://hdl.handle.net/10722/242215
Zha17c	10.1016/j.jcp.2016.10.064	green	doi.org	200	2673	NO	https://doi.org/10.1016/j.jcp.2016.10.064
Tao21b	10.3390/jmse9040416	gold	unpaywall	403	0	NO	https://doaj.org/article/71c1cfa9d2664569a87a347deff3da04
Tao21b	10.3390/jmse9040416	gold	unpaywall	403	0	NO	https://dx.doi.org/10.3390/jmse9040416
Tao21b	10.3390/jmse9040416	gold	unpaywall	403	0	NO	https://www.mdpi.com/2077-1312/9/4/416/pdf?version=1618314227
Tao21b	10.3390/jmse9040416	gold	doi.org	403	0	NO	https://doi.org/10.3390/jmse9040416
Li23f	10.3390/jmse11010215	gold	unpaywall	403	0	NO	https://doaj.org/article/e50dbc4844ba43f89c375f319898c8cb
Li23f	10.3390/jmse11010215	gold	unpaywall	403	0	NO	https://dx.doi.org/10.3390/jmse11010215
Li23f	10.3390/jmse11010215	gold	unpaywall	403	0	NO	https://www.mdpi.com/2077-1312/11/1/215/pdf?version=1673610348
Li23f	10.3390/jmse11010215	gold	doi.org	403	0	NO	https://doi.org/10.3390/jmse11010215
Ski13	10.1016/j.cma.2013.05.017	hybrid	unpaywall	403	0	NO	https://www.sciencedirect.com/science/article/pii/S0045782513001448/pdf
Ski13	10.1016/j.cma.2013.05.017	hybrid	doi.org	200	2804	NO	https://doi.org/10.1016/j.cma.2013.05.017
Ski13	10.1016/j.cma.2013.05.017	hybrid	core	404	0	NO	https://core.ac.uk/download/81986947.pdf
Yan17	10.1016/j.proeng.2017.01.047	diamond	unpaywall	403	0	NO	https://www.sciencedirect.com/science/article/pii/S1877705817300474/pdf
Yan17	10.1016/j.proeng.2017.01.047	diamond	doi.org	200	2717	NO	https://doi.org/10.1016/j.proeng.2017.01.047
Jou20	10.1016/j.apm.2019.09.030	bronze	unpaywall	200	12612	NO	https://hal.science/hal-03225016v1/file/S0307904X19305608.pdf
Jou20	10.1016/j.apm.2019.09.030	bronze	unpaywall	500	0	NO	http://hdl.handle.net/20.500.12210/125554
Jou20	10.1016/j.apm.2019.09.030	bronze	unpaywall	500	0	NO	http://hdl.handle.net/20.500.12210/94949
