cite_key	verdict	matched_file	embedded_title
Kra21b	CITATION_ONLY		
Ada12	CITATION_ONLY		
Neg21e	CITATION_ONLY		
Sci19	CITATION_ONLY		
Hu18	CITATION_ONLY		
Mon09	CITATION_ONLY		
Sun15b	CITATION_ONLY		
Zha19e	CITATION_ONLY		
Smi19	CITATION_ONLY		
Sha20	CITATION_ONLY		
Mar17	CITATION_ONLY		
Kra16	CITATION_ONLY		
Teo12	CITATION_ONLY		
Arr15	CITATION_ONLY		
Alq22	CITATION_ONLY		
Alq21	CITATION_ONLY		
Xia13b	CITATION_ONLY		
Shu11	ON_DISK	/Users/josie/Downloads/Incipient velocity for partially submerged vehicles in floodwaters -ORCA.pdf	Incipient velocity for partially submerged vehicles in floodwaters -ORCA
Bon67	CITATION_ONLY		
Sha18c	ON_DISK	/Users/josie/Zotero/storage/4HIZ7KZB/Shah et al. - 2018 - Instability Criteria for Vehicles in Motion Exposed to Flood Risks.pdf	Instability Criteria for Vehicles in Motion Exposed to Flood Risks
Azh23	ON_DISK	/Users/josie/Zotero/storage/6Y7VPLP7/Azhar et al. - 2023 - Confirmation of vehicle stability criteria through a combination of smoothed particle hydrodynamics.pdf	Confirmation of vehicle stability criteria through a combination of smoothed particle hydrodynamics and laboratory measurements
Taf18	CITATION_ONLY		
Alq23	CITATION_ONLY		
Las09	CITATION_ONLY		
Mil20	CITATION_ONLY		
Xio24	CITATION_ONLY		
Azh26	CITATION_ONLY		
Pre17	CITATION_ONLY		
Das25	ON_DISK	/Users/josie/can-it-ford/citations/J Flood Risk Management - 2025 - Dasallas - Integration of Stability Functions Into a Transport Flood Risk Modelling.pdf	Integration of Stability Functions Into a Transport Flood Risk Modelling Framework
Xia11	CITATION_ONLY		
