cite_key	verdict	evidence	file	title
Abe14	ABSENT	0 phrase candidates, none verified		Material Point Method for Coupled Hydromechanical Problems
Ada12	ABSENT	2 phrase candidates, none verified		A generalized wall boundary condition for smoothed particle 
Aki12	ABSENT	0 phrase candidates, none verified		Versatile rigid-fluid coupling for incompressible SPH
Ali19	ABSENT	0 phrase candidates, none verified		Ensemble of surrogates and cross-validation for rapid and ac
Alq21	ABSENT	0 phrase candidates, none verified		Full-scale experimental investigations on the response of a 
Alq22	ABSENT	0 phrase candidates, none verified		A numerical approach to understand the responses of passenge
Arr15	ABSENT	3 phrase candidates, none verified		Drag and lift contribution to the incipient motion of partly
Arr19	ABSENT	0 phrase candidates, none verified		Sensitivity of Transport Model to Hydraulic Model for Flood 
Azh26	ABSENT	0 phrase candidates, none verified		Assessment of Vehicle Stability Processes Under Unsteady Flo
Ban18b	ABSENT	0 phrase candidates, none verified		Pressure Boundaries for Implicit Incompressible SPH
Beh20	ABSENT	0 phrase candidates, none verified		Experimental and computational study of operation of an amph
Ber21d	ABSENT	0 phrase candidates, none verified		Statistical Error Estimation Methods for Engineering-Relevan
Bon21	ABSENT	0 phrase candidates, none verified		Gaussian processes for shock test emulation
Bon25	ABSENT	0 phrase candidates, none verified		Validating High-Performance Multi-GPU MPM for Debris-Fluid-S
Bon67	ABSENT	0 phrase candidates, none verified		Low Level Causeways
Bra11	ABSENT	0 phrase candidates, none verified		Establishing credibility of particle methods through verific
Bro19	ABSENT	0 phrase candidates, none verified		Random uncertainty of statistical moments in testing: Mean
Buc21	ABSENT	0 phrase candidates, none verified		Quantitative flood risk evaluation to improve drivers route 
Bur12	ABSENT	0 phrase candidates, none verified		Analysis of the process of water entry of an amphibious vehi
Can18	ABSENT	0 phrase candidates, none verified		Extending DualSPHysics with a Differential Variational Inequ
Cel07	ABSENT	0 phrase candidates, none verified		Procedure for Estimation and Reporting of Uncertainty Due to
Che18c	ABSENT	0 phrase candidates, none verified		v-p material point method for weakly compressible problems
Che22f	ABSENT	0 phrase candidates, none verified		Learning Physics with a Hierarchical Graph Network
Che25l	ABSENT	0 phrase candidates, none verified		A new CFD-MBD wave-structure interaction model: Coupling Ope
Cho15	ABSENT	0 phrase candidates, none verified		A simple method for automated equilibration detection in mol
Col97	ABSENT	0 phrase candidates, none verified		Uncertainties and CFD Code Validation
Con07	ABSENT	0 phrase candidates, none verified		On Using Standard Residuals as a Metric of Kriging Model Qua
Con18	ABSENT	0 phrase candidates, none verified		Reliability-Based Estimation of Traffic Interruption Probabi
Dan02	ABSENT	0 phrase candidates, none verified		Probability of Individual Grain Movement and Threshold Condi
Dav24	ABSENT	0 phrase candidates, none verified		Exploiting Axisymmetry to Optimize CFD Simulations - Heave M
Dur20	ABSENT	0 phrase candidates, none verified		Accurate experimental benchmark study of a catamaran in regu
Eca20	ABSENT	0 phrase candidates, none verified		On the Interpretation and Scope of the V&V 20 Standard for V
Els18	ABSENT	0 phrase candidates, none verified		Development of In-Plane Truck Tire-Flooded Surface Interacti
