cite_key	doi	oa_status	host_type	license	version	http	is_pdf	bytes	file	url
Kra21b	10.3390/en14020269	gold	repository	cc-by	publishedVersion	200	NO	92832		https://vbn.aau.dk/da/publications/e7cc5be7-9d0e-456e-8b1c-b47e60bcfb11
Kra21b	10.3390/en14020269	gold	repository		submittedVersion	404	NO	0		http://hdl.handle.net/10026.1/16780
Kra21b	10.3390/en14020269	gold	repository		submittedVersion	404	NO	0		http://hdl.handle.net/10026.1/16780
Kra21b	10.3390/en14020269	gold	repository	cc-by-sa	submittedVersion	403	NO	0		https://doaj.org/article/ea4ef6078f0844caa186b24bef6b03b1
Gar19	10.1109/oceanse.2019.8867480	green	repository	other-oa	submittedVersion	200	NO	12607		https://hal.science/hal-03498931
Che18c	10.1016/j.compfluid.2018.09.005	closed					NO	0		
Zha17c	10.1016/j.jcp.2016.10.064	green	repository	cc-by-nc-nd	submittedVersion	500	NO	0		http://hdl.handle.net/10722/242215
Neg22	10.1063/5.0126234	closed					NO	0		
Val15b	10.1016/j.jcp.2015.07.033	closed					NO	0		
Zha22d	10.1002/nme.7347	closed					NO	0		
Fou19	10.1016/j.compfluid.2019.06.009	hybrid	repository	cc-by	publishedVersion	200	NO	64426		https://research.manchester.ac.uk/en/publications/4d49fa6b-e1b1-4cc1-a670-ed0ab47aab2a
Fou19	10.1016/j.compfluid.2019.06.009	hybrid	repository	cc-by	submittedVersion	200	NO	64426		https://www.research.manchester.ac.uk/portal/en/publications/local-uniform-stencil-lust-boundary-condition-for-arbitrary-3d-boundaries-in-parallel-smoothed-particle-hydrodynamics-sph-models(4d49fa6b-e1b1-4cc1-a670-ed0ab47aab2a).html
Fou19	10.1016/j.compfluid.2019.06.009	hybrid	repository	cc-by	submittedVersion	200	NO	31678		http://hdl.handle.net/11093/4200
Fou19	10.1016/j.compfluid.2019.06.009	hybrid	repository	cc-by	submittedVersion	403	NO	0		https://zenodo.org/record/33478
Tao21b	10.3390/jmse9040416	gold	repository	cc-by-sa	submittedVersion	403	NO	0		https://doaj.org/article/71c1cfa9d2664569a87a347deff3da04
Tao21b	10.3390/jmse9040416	gold	repository	cc-by	submittedVersion	403	NO	0		https://dx.doi.org/10.3390/jmse9040416
Tao21b	10.3390/jmse9040416	gold	publisher	cc-by	publishedVersion	403	NO	0		https://www.mdpi.com/2077-1312/9/4/416/pdf?version=1618314227
Tao21b	10.3390/jmse9040416	gold	publisher	cc-by	publishedVersion	403	NO	0		https://www.mdpi.com/2077-1312/9/4/416/pdf?version=1618314227
Li23f	10.3390/jmse11010215	gold	repository	cc-by-sa	submittedVersion	403	NO	0		https://doaj.org/article/e50dbc4844ba43f89c375f319898c8cb
Li23f	10.3390/jmse11010215	gold	repository	cc-by	submittedVersion	403	NO	0		https://dx.doi.org/10.3390/jmse11010215
Li23f	10.3390/jmse11010215	gold	publisher	cc-by	publishedVersion	403	NO	0		https://www.mdpi.com/2077-1312/11/1/215/pdf?version=1673610348
Li23f	10.3390/jmse11010215	gold	publisher	cc-by	publishedVersion	403	NO	0		https://www.mdpi.com/2077-1312/11/1/215/pdf?version=1673610348
Yan18	10.1016/j.cma.2018.04.041	closed					NO	0		
Bau23	10.1002/nme.7217	hybrid	repository	cc-by-nc	submittedVersion	200	NO	578412		https://hdl.handle.net/1721.1/153533
Bau23	10.1002/nme.7217	hybrid	publisher	cc-by	publishedVersion	403	NO	0		https://doi.org/10.1002/nme.7217
Ada12	10.1016/j.jcp.2012.05.005	closed					NO	0		
Mar10b	10.1016/j.jcp.2010.01.019	closed					NO	0		
Ski13	10.1016/j.cma.2013.05.017	hybrid	publisher	cc-by	publishedVersion	403	NO	0		https://www.sciencedirect.com/science/article/pii/S0045782513001448/pdf
Ski13	10.1016/j.cma.2013.05.017	hybrid	publisher	cc-by	publishedVersion	403	NO	0		https://www.sciencedirect.com/science/article/pii/S0045782513001448/pdf
Yan17	10.1016/j.proeng.2017.01.047	gold	publisher	cc-by-nc-nd	publishedVersion	403	NO	0		https://www.sciencedirect.com/science/article/pii/S1877705817300474/pdf
Yan17	10.1016/j.proeng.2017.01.047	gold	publisher	cc-by-nc-nd	publishedVersion	403	NO	0		https://www.sciencedirect.com/science/article/pii/S1877705817300474/pdf
Zhe17	10.1016/j.ijnaoe.2017.08.001	gold	repository	cc-by-nc-nd	publishedVersion	200	NO	3058		http://hdl.handle.net/2433/231179
Zhe17	10.1016/j.ijnaoe.2017.08.001	gold	repository	cc-by-sa	submittedVersion	403	NO	0		https://doaj.org/article/11d7497d7b754bf6920e08cb70b2aa99
Zhe17	10.1016/j.ijnaoe.2017.08.001	gold	publisher	cc-by-nc-nd	publishedVersion	403	NO	0		https://www.sciencedirect.com/science/article/pii/S2092678217300821/pdf
Zhe17	10.1016/j.ijnaoe.2017.08.001	gold	publisher	cc-by-nc-nd	publishedVersion	403	NO	0		https://www.sciencedirect.com/science/article/pii/S2092678217300821/pdf
Neg21e	10.1063/5.0072383	closed					NO	0		
Li22b	10.1016/j.cma.2022.114809	closed					NO	0		
