record_id,family,family_role,family_note,hull,reference_frame,window,frames,discard,seed_index,n_grid,dx_m,depth_m,depth_cells,v_car_ms,v_water_ms,v_rel_mag_ms,v_rel_angle_deg_from_broadside,force_horiz_mag_N,force_mean_x_N,force_mean_y_N,force_mean_z_N,torque_note,fz_settle_N,f_buoy_analytic_N,fz_settle_over_analytic_diagnostic,stream_established_frac,bc_per_frame,bc_per_frame_auto,wrench_dt_mode,n_water,water_layers,substeps_effective,engine,body_is_free,verdict_reportable
L1s0_g64_vc0.0000_vw3.0000_r1,L1s0,arc,"iso-|v_rel| arc, settled, bc_per_frame auto, superseded by U1s",yaris_coarse_v1l_watertight,vehicle_rest,settled_f250_400,400,250,0,64,0.1472147236519959,0.3,2.037839643738194,0.0,3.0,3.0,-0.0,1864.7602012676082,1864.1972696304322,-45.81646138727665,2510.4112084706626,"torque is about the collider centre, not the CG; not carried in this table",9149.198913574219,4468.62177,2.047431934158576,0.8273254235585531,2,,frame,41648,4,12,warpmpm,"no, prescribed SDF collider",no FORD or NO-FORD verdict is reportable
L1s0_g64_vc1.1481_vw2.7716_r1,L1s0,arc,"iso-|v_rel| arc, settled, bc_per_frame auto, superseded by U1s",yaris_coarse_v1l_watertight,vehicle_rest,settled_f250_400,400,250,0,64,0.1472147236519959,0.3,2.037839643738194,1.14805,2.771639,3.000000258136822,-22.499991816303908,3842.7601763143775,3482.279050572713,-1624.9733495076498,3723.5337987263997,"torque is about the collider centre, not the CG; not carried in this table",9149.194885253906,4468.62177,2.0474310326904006,0.7360758283863328,2,,frame,41648,4,12,warpmpm,"no, prescribed SDF collider",no FORD or NO-FORD verdict is reportable
L1s0_g64_vc2.1213_vw2.1213_r1,L1s0,arc,"iso-|v_rel| arc, settled, bc_per_frame auto, superseded by U1s",yaris_coarse_v1l_watertight,vehicle_rest,settled_f250_400,400,250,0,64,0.1472147236519959,0.3,2.037839643738194,2.12132,2.12132,2.9999995141332936,-45.0,2291.9219754661717,1607.5293548583984,-1633.632674407959,4262.198315429688,"torque is about the collider centre, not the CG; not carried in this table",9149.201293945312,4468.62177,2.047432466844316,0.7758697711674915,1,,frame,41648,4,11,warpmpm,"no, prescribed SDF collider",no FORD or NO-FORD verdict is reportable
L1s0_g64_vc2.7716_vw1.1481_r1,L1s0,arc,"iso-|v_rel| arc, settled, bc_per_frame auto, superseded by U1s",yaris_coarse_v1l_watertight,vehicle_rest,settled_f250_400,400,250,0,64,0.1472147236519959,0.3,2.037839643738194,2.771639,1.14805,3.000000258136822,-67.5000081836961,4043.2939682834726,2027.2940945943196,-3498.3288536071777,5172.859911600749,"torque is about the collider centre, not the CG; not carried in this table",9149.199096679688,4468.62177,2.047431975134402,0.7423426865135577,2,,frame,41648,4,12,warpmpm,"no, prescribed SDF collider",no FORD or NO-FORD verdict is reportable
L1s0_g64_vc3.0000_vw0.0000_r1,L1s0,arc,"iso-|v_rel| arc, settled, bc_per_frame auto, superseded by U1s",yaris_coarse_v1l_watertight,vehicle_rest,settled_f250_400,400,250,0,64,0.1472147236519959,0.3,2.037839643738194,3.0,0.0,3.0,-90.0,983.7471847367555,-7.380903631541878,-983.719495455424,2209.8363889058433,"torque is about the collider centre, not the CG; not carried in this table",9149.199462890625,4468.62177,2.0474320570860542,0.8753403027852377,2,,frame,41648,4,12,warpmpm,"no, prescribed SDF collider",no FORD or NO-FORD verdict is reportable
L1s1_g64_vc0.0000_vw3.0000_r1,L1s1,arc,"iso-|v_rel| arc, settled, bc_per_frame auto, superseded by U1s",yaris_coarse_v1l_watertight,vehicle_rest,settled_f250_400,400,250,1,64,0.1472147236519959,0.3,2.037839643738194,0.0,3.0,3.0,-0.0,1868.3276324338985,1867.7796262105305,-45.248315205176674,2503.9455935160317,"torque is about the collider centre, not the CG; not carried in this table",9162.1611328125,4468.62177,2.050332653867123,0.8276605606079102,2,,frame,41649,4,12,warpmpm,"no, prescribed SDF collider",no FORD or NO-FORD verdict is reportable
L1s1_g64_vc1.1481_vw2.7716_r1,L1s1,arc,"iso-|v_rel| arc, settled, bc_per_frame auto, superseded by U1s",yaris_coarse_v1l_watertight,vehicle_rest,settled_f250_400,400,250,1,64,0.1472147236519959,0.3,2.037839643738194,1.14805,2.771639,3.000000258136822,-22.499991816303908,3841.739997955341,3479.7277838389077,-1628.0235754648845,3727.2335563659667,"torque is about the collider centre, not the CG; not carried in this table",9162.160217285156,4468.62177,2.050332448987992,0.7358811989707507,2,,frame,41649,4,12,warpmpm,"no, prescribed SDF collider",no FORD or NO-FORD verdict is reportable
L1s1_g64_vc2.1213_vw2.1213_r1,L1s1,arc,"iso-|v_rel| arc, settled, bc_per_frame auto, superseded by U1s",yaris_coarse_v1l_watertight,vehicle_rest,settled_f250_400,400,250,1,64,0.1472147236519959,0.3,2.037839643738194,2.12132,2.12132,2.9999995141332936,-45.0,2284.320883374944,1603.1445442199706,-1627.2828483581543,4267.829525756836,"torque is about the collider centre, not the CG; not carried in this table",9162.164245605469,4468.62177,2.0503333504561674,0.7756483034916483,1,,frame,41649,4,11,warpmpm,"no, prescribed SDF collider",no FORD or NO-FORD verdict is reportable
L1s1_g64_vc2.7716_vw1.1481_r1,L1s1,arc,"iso-|v_rel| arc, settled, bc_per_frame auto, superseded by U1s",yaris_coarse_v1l_watertight,vehicle_rest,settled_f250_400,400,250,1,64,0.1472147236519959,0.3,2.037839643738194,2.771639,1.14805,3.000000258136822,-67.5000081836961,4044.7074689034916,2024.99295018514,-3501.2943407694497,5178.557576243083,"torque is about the collider centre, not the CG; not carried in this table",9162.161315917969,4468.62177,2.050332694842949,0.7428677448855813,2,,frame,41649,4,12,warpmpm,"no, prescribed SDF collider",no FORD or NO-FORD verdict is reportable
L1s1_g64_vc3.0000_vw0.0000_r1,L1s1,arc,"iso-|v_rel| arc, settled, bc_per_frame auto, superseded by U1s",yaris_coarse_v1l_watertight,vehicle_rest,settled_f250_400,400,250,1,64,0.1472147236519959,0.3,2.037839643738194,3.0,0.0,3.0,-90.0,985.098940933303,-9.172510260925629,-985.0562362035115,2203.3094078063964,"torque is about the collider centre, not the CG; not carried in this table",9162.163696289062,4468.62177,2.050333227528689,0.8748726844787598,2,,frame,41649,4,12,warpmpm,"no, prescribed SDF collider",no FORD or NO-FORD verdict is reportable
