depth_m,velocity_ms,verdict,final_x_disp_m,final_y_disp_m,max_vel_ms
0.3,1.5,FORD,0.0461,0.0028,1.1772
0.3,1.5,NO-FORD,0.0344,0.0011,1.1772
0.15,0.0,FORD,0.0007,0.0002,0.7848
0.3,0.0,FORD,0.0011,0.0011,1.1772
0.6,0.0,FORD,0.0043,0.0013,1.6677
0.15,1.5,NO-FORD,0.0083,0.0005,0.7848
0.45,1.5,NO-FORD,0.2445,0.001,1.4715
0.6,1.5,NO-FORD,0.8655,0.0015,1.866
0.3,2.0,NO-FORD,0.0252,0.009,1.1772
0.3,1.0,NO-FORD,0.1343,0.0,1.1772
0.2,1.0,NO-FORD,0.1069,0.0004,0.981
0.2,1.5,NO-FORD,0.2137,0.0011,0.981
0.25,1.0,NO-FORD,0.105,0.0036,1.1772
0.25,1.5,NO-FORD,0.2251,0.0024,1.1772
0.35,1.0,NO-FORD,0.1648,0.0011,1.1772
0.35,1.5,NO-FORD,0.1429,0.0005,1.1772
0.4,1.0,NO-FORD,0.174,0.0007,1.3734
0.4,1.5,NO-FORD,0.2103,0.0032,1.3734
0.1,1.5,NO-FORD,0.0597,0.0,0.7848
0.2,2.0,NO-FORD,0.2765,0.0004,0.9931
0.3,1.5,NO-FORD,0.057,0.001,1.1772
0.1,1.5,NO-FORD,0.0597,0.0,0.7848
0.15,2.0,NO-FORD,0.0347,0.001,0.8042
0.2,2.0,NO-FORD,0.293,0.0009,1.0031
0.2,1.5,NO-FORD,0.1939,0.0002,0.981
0.2,1.0,NO-FORD,0.0997,0.0002,0.981
0.4,1.5,NO-FORD,0.2046,0.0015,1.3734
0.4,1.0,NO-FORD,0.1764,0.0007,1.3734
0.6,1.0,NO-FORD,0.2593,0.0,1.6677
0.5,1.5,NO-FORD,0.4153,0.0032,1.4715
0.5,1.0,NO-FORD,0.1941,0.0017,1.5138
