t,dx,dy,dz,dmag,yaw_deg,pitch_deg,roll_deg
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.040882104159763649e-02,7.104814655570250090e-04,-2.410172571006835053e-03
3.333333333333333287e-02,8.068084716796875000e-03,1.542568206787109375e-04,-1.433491706848144531e-05,8.069572038948535919e-03,1.622794783465378865e-01,1.640570693665504860e-04,-4.810991047034176172e-04
6.666666666666666574e-02,2.467811107635498047e-02,4.224777221679687500e-04,5.632638931274414062e-06,2.468172833323478699e-02,5.467342848621594698e-01,1.248677725057675911e-03,1.920348497863913180e-03
1.000000000000000056e-01,4.463934898376464844e-02,7.190704345703125000e-04,2.354383468627929688e-06,4.464514181017875671e-02,9.450295625963128776e-01,-3.368304047678860776e-04,4.784941466765664335e-03
1.333333333333333315e-01,6.690621376037597656e-02,1.033425331115722656e-03,1.105666160583496094e-05,6.691419333219528198e-02,1.341365483173171613e+00,-9.763207010705276167e-04,5.667454517997209083e-03
1.666666666666666574e-01,9.057927131652832031e-02,1.351714134216308594e-03,-1.430511474609375000e-06,9.058935940265655518e-02,1.724072615034916156e+00,3.718614920293993975e-04,-3.153184511278823380e-03
1.999999999999999833e-01,1.151239871978759766e-01,1.684784889221191406e-03,1.820921897888183594e-05,1.151363179087638855e-01,2.096041835747754600e+00,8.147132413845439760e-04,6.930096528127389216e-03
2.333333333333333093e-01,1.402897834777832031e-01,2.033591270446777344e-03,1.591444015502929688e-05,1.403045207262039185e-01,2.460641175624443289e+00,1.510577689404895077e-03,-3.748942175418898924e-03
2.666666666666666630e-01,1.659011840820312500e-01,2.405285835266113281e-03,1.025199890136718750e-05,1.659186184406280518e-01,2.812856528762252672e+00,-1.586860155224659999e-03,3.467842204970519784e-03
2.999999999999999889e-01,1.917784214019775391e-01,2.804636955261230469e-03,-6.258487701416015625e-06,1.917989403009414673e-01,3.157842126663603644e+00,7.707833460299679538e-04,4.286475228303592380e-04
3.333333333333333148e-01,2.178409099578857422e-01,3.240704536437988281e-03,2.756714820861816406e-05,2.178650200366973877e-01,3.489720378104288478e+00,-2.132979198624386161e-03,6.971597931463150051e-03
3.666666666666666408e-01,2.439002990722656250e-01,3.697037696838378906e-03,3.707408905029296875e-05,2.439283281564712524e-01,3.814014344801909040e+00,2.610263888219651295e-03,5.482626697560288170e-03
3.999999999999999667e-01,2.699904441833496094e-01,4.180550575256347656e-03,-5.662441253662109375e-07,2.700228095054626465e-01,4.121994831553776883e+00,-4.408967567404230119e-04,-3.472568809267981282e-03
4.333333333333332926e-01,2.960019111633300781e-01,4.704236984252929688e-03,3.546476364135742188e-06,2.960392832756042480e-01,4.426231093980009135e+00,-1.080514957548357746e-03,-2.720050924870674736e-03
4.666666666666666186e-01,3.218154907226562500e-01,5.255460739135742188e-03,-6.884336471557617188e-06,3.218584060668945312e-01,4.723292669569965518e+00,7.802673517577599256e-04,2.396263679085329295e-04
4.999999999999999445e-01,3.473567962646484375e-01,5.847096443176269531e-03,-6.735324859619140625e-06,3.474059998989105225e-01,5.016804254338807390e+00,-6.330749825528334375e-04,-1.251480837361091834e-03
5.333333333333333259e-01,3.725750446319580078e-01,6.468892097473144531e-03,2.351403236389160156e-05,3.726311922073364258e-01,5.304980180705400450e+00,2.569274624007141829e-03,-1.932498930819796399e-03
5.666666666666666519e-01,3.973882198333740234e-01,7.128596305847167969e-03,2.700090408325195312e-05,3.974521458148956299e-01,5.593927918448205361e+00,2.002784137032639650e-03,-4.936858981182230648e-03
5.999999999999999778e-01,4.217252731323242188e-01,7.797122001647949219e-03,2.855062484741210938e-05,4.217973649501800537e-01,5.871535407734672418e+00,3.138193446669835726e-03,-1.232066137203379711e-03
6.333333333333333037e-01,4.455785751342773438e-01,8.487105369567871094e-03,2.551078796386718750e-05,4.456593990325927734e-01,6.149873300375508833e+00,1.978035540214586989e-03,-4.625956557512719662e-03
6.666666666666666297e-01,4.687874317169189453e-01,9.193181991577148438e-03,2.920627593994140625e-05,4.688775539398193359e-01,6.424843482868705102e+00,2.956735906039125936e-03,-2.055221597039356626e-03
6.999999999999999556e-01,4.913864135742187500e-01,9.917736053466796875e-03,9.030103683471679688e-06,4.914864897727966309e-01,6.694272247510905771e+00,-2.060110159862974834e-03,1.502194511819013702e-03
7.333333333333332815e-01,5.131828784942626953e-01,1.065838336944580078e-02,1.439452171325683594e-05,5.132935643196105957e-01,6.965001736303170432e+00,1.656955576060327581e-03,-2.794229597377056312e-03
7.666666666666666075e-01,5.341031551361083984e-01,1.138758659362792969e-02,1.960992813110351562e-05,5.342245697975158691e-01,7.229036359048352622e+00,2.473248851058640601e-03,-1.234894470847419700e-03
7.999999999999999334e-01,5.541210174560546875e-01,1.213181018829345703e-02,2.735853195190429688e-05,5.542538166046142578e-01,7.490886175032778205e+00,1.273454044506332032e-03,7.772927030719752918e-03
8.333333333333332593e-01,5.731544494628906250e-01,1.286268234252929688e-02,4.419684410095214844e-05,5.732987523078918457e-01,7.743167749763661512e+00,3.383807407741724459e-03,4.591472106332088188e-03
8.666666666666665853e-01,5.911550521850585938e-01,1.363229751586914062e-02,7.152557373046875000e-06,5.913122296333312988e-01,7.991691012903745950e+00,-2.066921589358142793e-03,-7.887088927764904830e-04
8.999999999999999112e-01,6.080176830291748047e-01,1.441144943237304688e-02,1.099705696105957031e-05,6.081884503364562988e-01,8.240852044957579281e+00,-1.744451220636666433e-03,-2.776251158769514008e-03
9.333333333333332371e-01,6.237225532531738281e-01,1.521182060241699219e-02,4.410743713378906250e-06,6.239080429077148438e-01,8.479189788497881963e+00,-1.597330659298227661e-03,-1.433729723608987523e-03
9.666666666666665630e-01,6.382055282592773438e-01,1.602911949157714844e-02,2.801418304443359375e-06,6.384067535400390625e-01,8.707532403961517176e+00,5.885154395561884976e-04,3.593089298101641293e-03
9.999999999999998890e-01,6.514344215393066406e-01,1.688075065612792969e-02,1.326203346252441406e-05,6.516531109809875488e-01,8.935087840123307146e+00,9.714772656869521440e-04,5.007814324668682752e-03
