t,dx,dy,dz,dmag,yaw_deg,pitch_deg,roll_deg,vx,vy,vz,vmag,wx,wy,wz
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.049675795852057128e-02,9.703078792711185008e-01,-5.374038729299518424e-01,-7.156796753406524658e-03,-4.782095085829496384e-03,-2.428958117961883545e-01,2.430482804775238037e-01,3.005708567798137665e-02,-1.281027775257825851e-02,-5.057221278548240662e-03
3.333333333333333287e-02,1.565837860107421875e-02,1.616477966308593750e-04,-4.968106746673583984e-03,1.642842218279838562e-02,-1.880171786038797588e-01,8.706503499996077755e-01,-6.595121806424415478e-01,6.361334323883056641e-01,1.268685795366764069e-02,-2.123796343803405762e-01,6.707695722579956055e-01,-9.649368375539779663e-02,1.174693405628204346e-01,-1.207847297191619873e-01
6.666666666666666574e-02,3.865814208984375000e-02,5.278587341308593750e-04,-9.241640567779541016e-03,3.975095227360725403e-02,-3.724908764106980574e-01,7.977267147480560094e-01,-4.878144050389849884e-01,6.562812924385070801e-01,6.447788473451510072e-05,-5.443510040640830994e-02,6.585350036621093750e-01,5.561591684818267822e-02,2.931484580039978027e-02,-4.843011870980262756e-02
1.000000000000000056e-01,6.174659729003906250e-02,1.540184020996093750e-04,-9.600758552551269531e-03,6.248872354626655579e-02,-4.666850547589918574e-01,9.039077683680163400e-01,-3.299235366775918332e-01,7.185422182083129883e-01,-1.995972730219364166e-02,-2.280901744961738586e-02,7.191811800003051758e-01,7.058215141296386719e-02,1.224736720323562622e-01,-4.552575573325157166e-02
1.333333333333333315e-01,8.722782135009765625e-02,-7.143020629882812500e-04,-1.013565063476562500e-02,8.781761676073074341e-02,-5.437068568734042540e-01,1.055474895414182601e+00,-1.010499340369478416e-01,7.927281856536865234e-01,-2.971744537353515625e-02,-2.353171631693840027e-02,7.936339378356933594e-01,8.430362492799758911e-02,1.167233884334564209e-01,-3.206364810466766357e-02
1.666666666666666574e-01,1.128087043762207031e-01,-1.294136047363281250e-03,-8.604943752288818359e-03,1.131438165903091431e-01,-6.532767515387487567e-01,1.073523029965706588e+00,4.102874707483158273e-03,7.683577537536621094e-01,-9.355208836495876312e-03,2.814316889271140099e-03,7.684198617935180664e-01,-1.474627014249563217e-02,3.767868503928184509e-02,-6.309992820024490356e-02
1.999999999999999833e-01,1.382613182067871094e-01,-1.481056213378906250e-03,-8.583068847656250000e-03,1.385353952646255493e-01,-7.495906364072737471e-01,1.060461467116820877e+00,2.745055695470769233e-02,7.448924779891967773e-01,-3.705020295456051826e-03,-2.960954606533050537e-02,7.454899549484252930e-01,4.128524102270603180e-03,-2.746205776929855347e-02,-3.572060167789459229e-02
2.333333333333333093e-01,1.626219749450683594e-01,-1.537799835205078125e-03,-9.795188903808593750e-03,1.629239618778228760e-01,-8.120013832265594589e-01,1.058821794829194696e+00,-6.890578981250505830e-02,7.058138847351074219e-01,1.088130520656704903e-03,-7.151102274656295776e-02,7.094281315803527832e-01,-1.133404148276895285e-04,-8.638790994882583618e-02,-2.892671525478363037e-02
2.666666666666666630e-01,1.852531433105468750e-01,-1.496315002441406250e-03,-1.009947061538696289e-02,1.855342686176300049e-01,-8.759303530322921638e-01,1.057749668572914192e+00,-9.423589319504113715e-02,6.442031264305114746e-01,2.236577682197093964e-03,-1.850916445255279541e-02,6.444728374481201172e-01,1.223131734877824783e-02,1.008882652968168259e-02,-2.849351987242698669e-02
2.999999999999999889e-01,2.064261436462402344e-01,-1.434803009033203125e-03,-1.014292240142822266e-02,2.066801637411117554e-01,-9.449540036286195877e-01,1.059245800166264351e+00,-9.527767046623997205e-02,6.170315146446228027e-01,2.189815742895007133e-03,-2.534804493188858032e-02,6.175558567047119141e-01,-6.180610042065382004e-03,-1.914547383785247803e-02,-4.136893153190612793e-02
3.333333333333333148e-01,2.268977165222167969e-01,-1.384258270263671875e-03,-1.012217998504638672e-02,2.271275967359542847e-01,-1.024291346593372065e+00,1.059463939332881521e+00,-9.400231940172520950e-02,6.019763350486755371e-01,1.083201961591839790e-03,-1.654016040265560150e-02,6.022045016288757324e-01,-1.337771862745285034e-02,1.208765432238578796e-02,-5.034061521291732788e-02
3.666666666666666408e-01,2.470374107360839844e-01,-1.358509063720703125e-03,-1.011246442794799805e-02,2.472480386495590210e-01,-1.109097323205777474e+00,1.059313781892847084e+00,-9.290373283251758540e-02,5.979295969009399414e-01,9.488804498687386513e-04,-1.836043782532215118e-02,5.982121825218200684e-01,-8.435934782028198242e-03,-5.764962173998355865e-03,-4.894504323601722717e-02
3.999999999999999667e-01,2.669777870178222656e-01,-1.330375671386718750e-03,-1.015096902847290039e-02,2.671740055084228516e-01,-1.195281503926644673e+00,1.059367889797678375e+00,-9.638669575229436015e-02,5.874738097190856934e-01,4.300525761209428310e-04,-1.830312609672546387e-02,5.877590179443359375e-01,-3.008719999343156815e-03,3.161207213997840881e-02,-4.784888774156570435e-02
4.333333333333332926e-01,2.864575386047363281e-01,-1.272201538085937500e-03,-1.012724637985229492e-02,2.866393327713012695e-01,-1.280587578452342168e+00,1.060073747159716806e+00,-9.559234608584318837e-02,5.678668618202209473e-01,2.253884216770529747e-03,-1.773442141711711884e-02,5.681481957435607910e-01,-1.442751032300293446e-03,-1.269674953073263168e-02,-4.458391293883323669e-02
4.666666666666666186e-01,3.051681518554687500e-01,-1.157760620117187500e-03,-1.014000177383422852e-02,3.053387701511383057e-01,-1.365381922398817505e+00,1.059792322021571032e+00,-9.608934239956079537e-02,5.404034256935119629e-01,4.210188053548336029e-03,-2.195648290216922760e-02,5.408656597137451172e-01,-2.171500353142619133e-03,-1.768316142261028290e-02,-4.431978613138198853e-02
4.999999999999999445e-01,3.228831291198730469e-01,-1.001834869384765625e-03,-1.009905338287353516e-02,3.230425715446472168e-01,-1.449677555814176122e+00,1.060399034918938721e+00,-9.388687986660274043e-02,5.098391771316528320e-01,4.920563194900751114e-03,-1.938050426542758942e-02,5.102310776710510254e-01,-7.170154247432947159e-03,-8.094305172562599182e-03,-4.744743555784225464e-02
5.333333333333333259e-01,3.396811485290527344e-01,-8.130073547363281250e-04,-1.014429330825805664e-02,3.398335576057434082e-01,-1.535786070845644113e+00,1.058245817783092235e+00,-9.823689661489427849e-02,4.847819209098815918e-01,4.881672095507383347e-03,-2.087486162781715393e-02,4.852556884288787842e-01,-1.272852881811559200e-03,3.770796582102775574e-02,-4.685335606336593628e-02
5.666666666666666519e-01,3.557834625244140625e-01,-6.351470947265625000e-04,-1.012438535690307617e-02,3.559280633926391602e-01,-1.622204078823878515e+00,1.058495012966091942e+00,-9.483146034426112592e-02,4.677799344062805176e-01,5.786019843071699142e-03,-1.372006628662347794e-02,4.680168628692626953e-01,8.407643064856529236e-03,6.355547811836004257e-03,-4.150550812482833862e-02
5.999999999999999778e-01,3.714985847473144531e-01,-4.587173461914062500e-04,-1.012611389160156250e-02,3.716368377208709717e-01,-1.710007014378038592e+00,1.059642378024948206e+00,-9.466957018669727719e-02,4.613701403141021729e-01,4.977610427886247635e-03,-1.564077287912368774e-02,4.616620242595672607e-01,-1.423918455839157104e-02,1.863542199134826660e-02,-5.453710258007049561e-02
6.333333333333333037e-01,3.869762420654296875e-01,-2.741813659667968750e-04,-1.011759042739868164e-02,3.871085643768310547e-01,-1.799828270831937527e+00,1.060170543746860483e+00,-9.741697375969524120e-02,4.547851681709289551e-01,5.086797755211591721e-03,-2.054740488529205322e-02,4.552775025367736816e-01,-9.835246019065380096e-03,2.094858884811401367e-02,-5.332846939563751221e-02
6.666666666666666297e-01,4.021420478820800781e-01,-6.818771362304687500e-05,-1.013463735580444336e-02,4.022697210311889648e-01,-1.891999112360320812e+00,1.059230859127454849e+00,-9.456913839145032752e-02,4.409556686878204346e-01,6.703454069793224335e-03,-1.825392246246337891e-02,4.413842260837554932e-01,-7.204016204923391342e-03,-6.985654123127460480e-03,-5.132920295000076294e-02
6.999999999999999556e-01,4.167456626892089844e-01,1.554489135742187500e-04,-1.012146472930908203e-02,4.168685972690582275e-01,-1.984984027060405110e+00,1.058403979351060231e+00,-9.477036883780785848e-02,4.205891788005828857e-01,7.798291277140378952e-03,-1.556325238198041916e-02,4.209492802619934082e-01,6.084368564188480377e-03,2.582507440820336342e-04,-4.526003822684288025e-02
