t,dx,dy,dz,dmag,yaw_deg,pitch_deg,roll_deg,vx,vy,vz,vmag,wx,wy,wz
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.090359905643430133e-03,7.745214672080549256e-01,-6.517803531411342499e-01,-8.705652318894863129e-03,-4.110494162887334824e-03,-1.010775566101074219e-01,1.015350073575973511e-01,2.515940740704536438e-02,-1.328379102051258087e-02,-9.806808084249496460e-04
3.333333333333333287e-02,1.723241806030273438e-02,-5.340576171875000000e-05,-7.148265838623046875e-03,1.865627989172935486e-02,-5.862251980033435228e-02,8.117442372764790415e-01,-1.383132196669505376e+00,6.863477230072021484e-01,-6.039309300831519067e-05,-3.061787188053131104e-01,7.515441775321960449e-01,1.737476326525211334e-02,-3.824850916862487793e-01,-3.510648012161254883e-02
6.666666666666666574e-02,4.276084899902343750e-02,2.956390380859375000e-04,-1.444482803344726562e-02,4.513569176197052002e-02,-2.228126568557973475e-01,7.011105940087579702e-01,-1.415393954883825911e+00,8.336037397384643555e-01,1.746090501546859741e-02,-2.599154412746429443e-01,8.733590841293334961e-01,-8.786862343549728394e-02,1.722452938556671143e-01,-1.129772067070007324e-01
1.000000000000000056e-01,7.282972335815429688e-02,7.743835449218750000e-04,-2.306199073791503906e-02,7.639779895544052124e-02,-4.244845708895094161e-01,5.857031287588738699e-01,-1.047140250357768698e+00,9.541790485382080078e-01,9.189580567181110382e-03,-2.621090114116668701e-01,9.895672202110290527e-01,-3.479634225368499756e-02,2.266251146793365479e-01,-1.017259284853935242e-01
1.333333333333333315e-01,1.030802726745605469e-01,4.053115844726562500e-04,-2.478849887847900391e-02,1.060196980834007263e-01,-5.124985486168524007e-01,7.192253229046895457e-01,-7.782824468414990537e-01,9.177600741386413574e-01,-2.352197282016277313e-02,-2.981600165367126465e-02,9.185454845428466797e-01,9.390871971845626831e-02,1.302132010459899902e-01,-3.186881542205810547e-02
1.666666666666666574e-01,1.347293853759765625e-01,-5.159378051757812500e-04,-2.514052391052246094e-02,1.370559036731719971e-01,-5.694897004122916329e-01,8.936404465807533670e-01,-5.293738649826911224e-01,9.682621359825134277e-01,-2.984178252518177032e-02,1.481235120445489883e-02,9.688351750373840332e-01,9.073126316070556641e-02,1.247116103768348694e-01,-2.452501095831394196e-02
1.999999999999999833e-01,1.672935485839843750e-01,-1.421928405761718750e-03,-2.464592456817626953e-02,1.691052168607711792e-01,-6.081274402168190818e-01,1.032436347178612213e+00,-3.066464120687470984e-01,9.811827540397644043e-01,-2.242819592356681824e-02,-2.132089342921972275e-03,9.814413785934448242e-01,5.437029525637626648e-02,1.084803119301795959e-01,-1.606717333197593689e-02
2.333333333333333093e-01,1.998748779296875000e-01,-1.933574676513671875e-03,-2.555429935455322266e-02,2.015111148357391357e-01,-6.279398980083220616e-01,1.102228287334860335e+00,-1.261853703580319286e-01,9.514357447624206543e-01,-1.229385286569595337e-02,-3.225364908576011658e-02,9.520616531372070312e-01,4.929699003696441650e-02,4.970981180667877197e-02,8.061746135354042053e-03
2.666666666666666630e-01,2.307991981506347656e-01,-2.289772033691406250e-03,-2.658164501190185547e-02,2.323361635208129883e-01,-6.002732029189804530e-01,1.175102670519194037e+00,-9.549339505426394925e-02,8.806303739547729492e-01,-5.366064608097076416e-03,-4.863007739186286926e-02,8.819884061813354492e-01,-1.037972606718540192e-02,-4.400251433253288269e-02,1.110269338823854923e-03
2.999999999999999889e-01,2.592706680297851562e-01,-2.209186553955078125e-03,-2.685177326202392578e-02,2.606667876243591309e-01,-5.891775606122947595e-01,1.171714256360633089e+00,-1.110462293822722241e-01,8.135337829589843750e-01,2.696173032745718956e-04,-2.133615128695964813e-02,8.138135671615600586e-01,7.483386434614658356e-05,-1.132954098284244537e-02,6.766980979591608047e-03
