t,dx,dy,dz,dmag,yaw_deg,pitch_deg,roll_deg,vx,vy,vz,vmag,wx,wy,wz
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.085417903380622773e-01,-2.403321537753662276e-03,4.543062556955294873e-03,4.120643250644207001e-03,5.902970209717750549e-03,-3.652579337358474731e-02,3.722846135497093201e-02,1.645737700164318085e-02,-2.500864677131175995e-02,-9.128771722316741943e-03
3.333333333333333287e-02,8.806705474853515625e-03,-1.354217529296875000e-04,5.054473876953125000e-05,8.807891979813575745e-03,1.517576252909861312e-01,-3.018163835994603760e-03,-6.176134774089558736e-03,3.407761752605438232e-01,-1.664745155721902847e-03,-4.363372549414634705e-02,3.435623347759246826e-01,2.661319635808467865e-02,2.856643311679363251e-02,-1.746446266770362854e-02
6.666666666666666574e-02,2.146291732788085938e-02,-1.125335693359375000e-04,-3.921985626220703125e-05,2.146324887871742249e-02,9.491398290325663012e-02,1.801496369446414520e-03,-3.485837318844590364e-03,3.801322579383850098e-01,8.905243012122809887e-04,-3.399709612131118774e-02,3.816505372524261475e-01,-1.693257875740528107e-02,2.593462355434894562e-02,-4.018263146281242371e-02
1.000000000000000056e-01,3.520774841308593750e-02,-5.197525024414062500e-05,-1.022815704345703125e-04,3.520793467760086060e-02,3.000336016731978972e-02,-4.582324680437129850e-04,2.232056962229239053e-03,4.260293245315551758e-01,1.943676150403916836e-03,-1.805726252496242523e-02,4.264162778854370117e-01,9.130937047302722931e-03,8.370765484869480133e-03,-3.047037869691848755e-02
1.333333333333333315e-01,5.056524276733398438e-02,6.675720214843750000e-06,-1.313686370849609375e-04,5.056541040539741516e-02,-4.150525198727581661e-02,-6.624347595578464632e-04,-4.330571602744860227e-05,4.786874353885650635e-01,1.620717812329530716e-03,-1.630497165024280548e-02,4.789677858352661133e-01,2.768267877399921417e-04,2.952340804040431976e-02,-3.932797908782958984e-02
1.666666666666666574e-01,6.739187240600585938e-02,6.914138793945312500e-05,-4.291534423828125000e-05,6.739191710948944092e-02,-1.187868080634536389e-01,1.455413823320792421e-03,4.019663876861694941e-03,5.107812881469726562e-01,1.934653148055076599e-03,-1.677424460649490356e-02,5.110602974891662598e-01,1.741964253596961498e-03,-1.141677983105182648e-02,-4.095854237675666809e-02
1.999999999999999833e-01,8.475875854492187500e-02,1.511573791503906250e-04,-1.336336135864257812e-04,8.475899696350097656e-02,-2.005151574647469348e-01,-2.880615489938381476e-05,1.199541550941909214e-03,5.123867392539978027e-01,2.941282233223319054e-03,-3.105057403445243835e-02,5.133351087570190430e-01,1.580633595585823059e-02,4.807234741747379303e-03,-3.447248414158821106e-02
2.333333333333333093e-01,1.015419960021972656e-01,2.770423889160156250e-04,1.728534698486328125e-05,1.015423685312271118e-01,-2.821257394637103899e-01,-2.241056603574590432e-03,5.930175009678038955e-03,4.718811511993408203e-01,5.275671835988759995e-03,-2.020271122455596924e-02,4.723428785800933838e-01,1.531857624650001526e-02,2.788952551782131195e-02,-3.399056196212768555e-02
2.666666666666666630e-01,1.169910430908203125e-01,4.577636718750000000e-04,-1.323223114013671875e-05,1.169919371604919434e-01,-3.600262347426743670e-01,7.153893612677741367e-04,7.436597743766147281e-03,4.328391551971435547e-01,7.331672124564647675e-03,-3.051465377211570740e-02,4.339753687381744385e-01,-1.924841431900858879e-03,-2.127712406218051910e-02,-4.187786579132080078e-02
2.999999999999999889e-01,1.311478614807128906e-01,6.928443908691406250e-04,-1.263618469238281250e-04,1.311497539281845093e-01,-4.390363422770744428e-01,-3.414248315230061608e-04,1.023225724524801051e-03,4.010258913040161133e-01,7.573439739644527435e-03,-3.283503279089927673e-02,4.024391472339630127e-01,1.765603385865688324e-02,6.931860931217670441e-03,-3.216444328427314758e-02
