t,dx,dy,dz,dmag,yaw_deg,pitch_deg,roll_deg,vx,vy,vz,vmag,wx,wy,wz
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.071814011914695546e-02,4.021218011702137538e-03,-2.020120864484983739e-04,-9.162230417132377625e-03,1.009421143680810928e-02,-4.894964396953582764e-02,5.081247165799140930e-02,6.602661451324820518e-04,5.373695492744445801e-02,1.793071813881397247e-02
3.333333333333333287e-02,1.052093505859375000e-02,2.593994140625000000e-04,6.730556488037109375e-04,1.054563280194997787e-02,-4.140232223710291204e-02,6.286758681138146026e-06,-4.919711887987459481e-02,4.731476902961730957e-01,4.758231807500123978e-03,-2.095329202711582184e-02,4.736353158950805664e-01,-3.095367690548300743e-03,2.910191193222999573e-02,-2.792814373970031738e-02
6.666666666666666574e-02,3.003597259521484375e-02,3.752708435058593750e-04,1.939535140991210938e-04,3.003894165158271790e-02,-9.412027356704015524e-02,5.240363005974775848e-03,9.685436694229519750e-03,6.137628555297851562e-01,2.027318812906742096e-03,-3.704335913062095642e-02,6.148830652236938477e-01,-2.319174818694591522e-03,-2.679689973592758179e-02,-3.032308071851730347e-02
1.000000000000000056e-01,5.140447616577148438e-02,4.858970642089843750e-04,-5.221366882324218750e-05,5.140680074691772461e-02,-1.530521195614754359e-01,-5.546047738747566938e-04,3.978069925796701330e-03,6.412156820297241211e-01,3.681027097627520561e-03,-3.647596016526222229e-02,6.422628760337829590e-01,8.759140968322753906e-03,-1.591964811086654663e-02,-2.488090470433235168e-02
1.333333333333333315e-01,7.302665710449218750e-02,6.022453308105468750e-04,1.430511474609375000e-06,7.302913814783096313e-02,-2.072291400373769132e-01,9.161937545655086425e-04,6.529437397960710307e-03,6.295455694198608398e-01,3.642041236162185669e-03,-2.010159380733966827e-02,6.298769116401672363e-01,-1.995933474972844124e-03,-3.517593955621123314e-03,-2.835026942193508148e-02
1.666666666666666574e-01,9.392499923706054688e-02,7.367134094238281250e-04,-6.139278411865234375e-05,9.392791241407394409e-02,-2.557115836742728243e-01,-1.527839638708901164e-04,4.240343520334571153e-03,5.980636477470397949e-01,4.644616506993770599e-03,-3.386152163147926331e-02,5.990394949913024902e-01,1.357371453195810318e-02,-1.388638862408697605e-03,-1.624377816915512085e-02
1.999999999999999833e-01,1.131982803344726562e-01,8.878707885742187500e-04,-1.341104507446289062e-04,1.132018342614173889e-01,-2.972539414646275246e-01,-8.589668192954975359e-05,-5.004124374792101446e-05,5.446345210075378418e-01,4.611849319189786911e-03,-4.113466292619705200e-02,5.462051630020141602e-01,1.742100343108177185e-02,2.750362269580364227e-02,-1.207874249666929245e-02
2.333333333333333093e-01,1.304998397827148438e-01,1.039505004882812500e-03,3.445148468017578125e-05,1.305039823055267334e-01,-3.357425376853253596e-01,-4.035702148208662960e-04,9.465900974040488206e-03,4.860439002513885498e-01,5.413215141743421555e-03,-4.139916971325874329e-02,4.878338277339935303e-01,8.397054858505725861e-03,-2.049050480127334595e-02,-1.488111261278390884e-02
2.666666666666666630e-01,1.457500457763671875e-01,1.214027404785156250e-03,-2.026557922363281250e-06,1.457550972700119019e-01,-3.716464675941287821e-01,2.778588262511222444e-05,8.042981304619750693e-03,4.148716628551483154e-01,5.450792610645294189e-03,-2.917844429612159729e-02,4.159322082996368408e-01,-8.466115221381187439e-03,-7.213776931166648865e-03,-2.279786579310894012e-02
2.999999999999999889e-01,1.588234901428222656e-01,1.400947570800781250e-03,4.971027374267578125e-05,1.588296741247177124e-01,-4.059513328243558039e-01,2.146832384733645543e-03,7.041389758227586081e-03,3.503758311271667480e-01,4.901817999780178070e-03,-2.826455421745777130e-02,3.515481948852539062e-01,1.813753333408385515e-04,-1.549546606838703156e-02,-1.821940392255783081e-02
3.333333333333333148e-01,1.698908805847167969e-01,1.567363739013671875e-03,-2.861022949218750000e-05,1.698981076478958130e-01,-4.436768955291427452e-01,-1.971308529256218453e-03,2.488526104929421508e-03,3.028742671012878418e-01,6.629847921431064606e-03,-5.308170989155769348e-02,3.075621128082275391e-01,6.931492593139410019e-03,-3.512913361191749573e-02,-1.468073669821023941e-02
3.666666666666666408e-01,1.790118217468261719e-01,1.721858978271484375e-03,-1.764297485351562500e-05,1.790201067924499512e-01,-4.784175054840754671e-01,2.669448577945402303e-04,6.651423225840548577e-03,2.331645339727401733e-01,5.115786101669073105e-03,-2.252344414591789246e-02,2.343057245016098022e-01,-2.698689000681042671e-03,-6.048087030649185181e-03,-1.986727677285671234e-02
3.999999999999999667e-01,1.863493919372558594e-01,1.898765563964843750e-03,-1.055002212524414062e-04,1.863590925931930542e-01,-5.146411469429736929e-01,-6.739697188482098641e-04,5.608105785336985061e-04,1.813699603080749512e-01,6.719226948916912079e-03,-2.431272156536579132e-02,1.831155866384506226e-01,6.090730894356966019e-03,3.501889994367957115e-03,-1.519582979381084442e-02
4.333333333333332926e-01,1.920027732849121094e-01,2.098083496093750000e-03,-1.271963119506835938e-04,1.920142769813537598e-01,-5.492428319174053053e-01,-1.885064102881792592e-04,2.886601454657740742e-04,1.412749588489532471e-01,6.555472034960985184e-03,-3.506352752447128296e-02,1.457087397575378418e-01,2.596815349534153938e-03,-2.203536964952945709e-02,-1.659533008933067322e-02
4.666666666666666186e-01,1.962046623229980469e-01,2.288818359375000000e-03,-6.866455078125000000e-05,1.962180286645889282e-01,-5.824435810600440133e-01,5.747723102060160174e-04,3.008714796216313374e-03,9.656893461942672729e-02,6.438899785280227661e-03,-2.655499242246150970e-02,1.003602817654609680e-01,-3.303516190499067307e-03,-1.167125441133975983e-02,-1.842440292239189148e-02
4.999999999999999445e-01,1.991648674011230469e-01,2.496719360351562500e-03,-9.024143218994140625e-05,1.991805285215377808e-01,-6.144078525194986984e-01,-2.169165048092987680e-04,2.383799594788089254e-03,6.465931981801986694e-02,5.997158586978912354e-03,-3.133087605237960815e-02,7.210005074739456177e-02,4.361970350146293640e-03,-1.622151955962181091e-02,-1.251812558621168137e-02
5.333333333333333259e-01,2.012600898742675781e-01,2.727985382080078125e-03,1.597404479980468750e-05,2.012785822153091431e-01,-6.328813797902675953e-01,1.158805542339799537e-03,6.931669005761012872e-03,4.295498132705688477e-02,3.575866343453526497e-03,-2.077215537428855896e-02,4.784767329692840576e-02,-1.668999437242746353e-03,-8.771075867116451263e-03,-9.134583175182342529e-03
5.666666666666666519e-01,2.026677131652832031e-01,2.852916717529296875e-03,-5.722045898437500000e-05,2.026877999305725098e-01,-6.470192310419592419e-01,1.717132444144515773e-03,1.485187615927579781e-03,2.313148416578769684e-02,1.279630931094288826e-03,-3.255490958690643311e-02,3.995653986930847168e-02,-2.361516235396265984e-03,-2.272731997072696686e-02,-8.536348119378089905e-03
5.999999999999999778e-01,2.035298347473144531e-01,2.961635589599609375e-03,-9.477138519287109375e-05,2.035514116287231445e-01,-6.549094335546462586e-01,7.269053524424615208e-04,1.167661880613422637e-03,1.778249070048332214e-02,-4.845824558287858963e-03,-2.471048571169376373e-02,3.082705102860927582e-02,-4.532195162028074265e-03,-1.297886576503515244e-02,2.444939222186803818e-03
6.333333333333333037e-01,2.043662071228027344e-01,2.971172332763671875e-03,-5.412101745605468750e-05,2.043878138065338135e-01,-6.502572743170742520e-01,5.133461519976068033e-04,4.017516102532842949e-03,1.853079535067081451e-02,-7.552081253379583359e-03,-2.208888158202171326e-02,2.980508282780647278e-02,-1.036524865776300430e-02,-1.044139731675386429e-02,3.380403155460953712e-03
6.666666666666666297e-01,2.050290107727050781e-01,2.833843231201171875e-03,-6.568431854248046875e-05,2.050486057996749878e-01,-6.405071259160282082e-01,-1.119958216112857102e-03,2.078647845221711504e-03,1.671634055674076080e-02,1.398503663949668407e-03,-2.507870644330978394e-02,3.017173148691654205e-02,4.903494380414485931e-03,-1.918115653097629547e-02,3.731570206582546234e-03
6.999999999999999556e-01,2.057394981384277344e-01,2.832889556884765625e-03,-7.104873657226562500e-05,2.057590037584304810e-01,-6.373253249798600528e-01,-9.218512556169150118e-04,-2.137432745432445678e-03,1.206444855779409409e-02,4.456295166164636612e-03,-2.870006300508975983e-02,3.145001083612442017e-02,1.163232699036598206e-02,2.325956337153911591e-02,8.886888623237609863e-03
7.333333333333332815e-01,2.064757347106933594e-01,2.877712249755859375e-03,4.279613494873046875e-05,2.064957916736602783e-01,-6.293035346039445033e-01,-1.444734878415620443e-03,7.818038629258901306e-03,2.610896714031696320e-02,-9.569404064677655697e-04,-2.213511802256107330e-02,3.424262627959251404e-02,-3.613785374909639359e-03,-2.604469470679759979e-02,1.263466570526361465e-02
7.666666666666666075e-01,2.075552940368652344e-01,2.796173095703125000e-03,-5.757808685302734375e-05,2.075741440057754517e-01,-6.074862562084841766e-01,1.275322403900418060e-03,2.325977899660199109e-03,2.927744016051292419e-02,-2.878506667912006378e-03,-2.824705466628074646e-02,4.078419506549835205e-02,2.216818509623408318e-03,-2.615136280655860901e-02,-2.581147709861397743e-03
7.999999999999999334e-01,2.085146903991699219e-01,2.798080444335937500e-03,-7.152557373046875000e-07,2.085334658622741699e-01,-6.115099846815621465e-01,1.236957510721336223e-05,8.152071732011552385e-03,2.577344886958599091e-02,-1.935223117470741272e-03,-2.054424956440925598e-02,3.301638737320899963e-02,2.743405755609273911e-03,-1.983227208256721497e-02,-8.184833452105522156e-03
8.333333333333332593e-01,2.094092369079589844e-01,2.741336822509765625e-03,7.164478302001953125e-05,2.094271928071975708e-01,-6.127448615391593023e-01,2.105284290651605016e-03,8.436238283974495378e-03,2.725175023078918457e-02,-3.838803386315703392e-03,-2.130363322794437408e-02,3.480285778641700745e-02,-1.624282076954841614e-02,-6.128171924501657486e-03,7.815198041498661041e-03
8.666666666666665853e-01,2.103657722473144531e-01,2.729892730712890625e-03,-3.767013549804687500e-05,2.103834897279739380e-01,-6.090921510762304925e-01,6.200951635279962435e-04,4.772891502290614076e-03,2.411723323166370392e-02,-1.030701096169650555e-03,-3.139800950884819031e-02,3.960477560758590698e-02,-2.602422377094626427e-03,-2.232423424720764160e-02,-8.822711184620857239e-03
8.999999999999999112e-01,2.111668586730957031e-01,2.653598785400390625e-03,-4.589557647705078125e-05,2.111835330724716187e-01,-6.071345014662284933e-01,1.152738871935953500e-03,3.254893006619355694e-03,1.698759756982326508e-02,-8.366329595446586609e-03,-2.246559225022792816e-02,2.938157133758068085e-02,-1.059903670102357864e-02,-1.277965400367975235e-02,3.816840006038546562e-03
9.333333333333332371e-01,2.117133140563964844e-01,2.650737762451171875e-03,-7.045269012451171875e-05,2.117299139499664307e-01,-6.080947833748500120e-01,4.272537832098364467e-04,-3.253221311149888124e-03,6.716053467243909836e-03,5.212434334680438042e-04,-2.826008759438991547e-02,2.905184403061866760e-02,-1.342856511473655701e-02,1.852746866643428802e-02,-1.011512242257595062e-02
9.666666666666665630e-01,2.122521400451660156e-01,2.683639526367187500e-03,-1.214742660522460938e-04,2.122691422700881958e-01,-6.230669315614881798e-01,3.720317100235083474e-04,-2.555151090139291727e-04,5.325026810169219971e-03,-2.707484178245067596e-03,-2.338432148098945618e-02,2.413530275225639343e-02,-7.016049232333898544e-03,2.870152890682220459e-02,-6.495188921689987183e-03
9.999999999999998890e-01,2.126555442810058594e-01,2.722740173339843750e-03,-6.437301635742187500e-05,2.126729786396026611e-01,-6.328676660510746954e-01,1.171305426349867392e-03,-2.175664962765323091e-03,5.611961707472801208e-03,-3.584020771086215973e-03,-2.642183564603328705e-02,2.724798582494258881e-02,-1.333129126578569412e-02,1.811264827847480774e-02,-8.307111449539661407e-03
1.033333333333333215e+00,2.131161689758300781e-01,2.747535705566406250e-03,1.990795135498046875e-05,2.131338715553283691e-01,-6.483926860345136101e-01,-9.878364316941755981e-04,7.422510478602995995e-03,1.979934610426425934e-02,7.234298158437013626e-03,-2.361196838319301605e-02,3.165239840745925903e-02,1.860568113625049591e-02,-6.347215734422206879e-03,-1.044201571494340897e-02
1.066666666666666652e+00,2.138514518737792969e-01,2.765178680419921875e-03,8.511543273925781250e-05,2.138693481683731079e-01,-6.707417053290301023e-01,-2.602693317215779359e-03,7.983967536375915705e-03,2.348282188177108765e-02,8.455011993646621704e-03,-2.342953346669673920e-02,3.423263505101203918e-02,1.974198967218399048e-02,-5.274682771414518356e-03,-1.139482110738754272e-02
1.100000000000000089e+00,2.145209312438964844e-01,2.818584442138671875e-03,-1.071691513061523438e-04,2.145394831895828247e-01,-6.940276878394546767e-01,-8.814328066217546600e-04,2.951055789157490394e-05,6.480218376964330673e-03,6.329667754471302032e-03,-2.164951153099536896e-02,2.346825972199440002e-02,6.549715530127286911e-03,-5.956590175628662109e-03,-7.333357818424701691e-03
1.133333333333333526e+00,2.149357795715332031e-01,2.854347229003906250e-03,-6.806850433349609375e-05,2.149547338485717773e-01,-7.058235846186253770e-01,-8.188930532704989142e-04,2.503606799095999241e-03,8.495463989675045013e-03,5.183876492083072662e-03,-2.238491550087928772e-02,2.449754998087882996e-02,9.213429875671863556e-03,-1.063942257314920425e-02,-2.801727503538131714e-03
