t,dx,dy,dz,dmag,yaw_deg,pitch_deg,roll_deg,vx,vy,vz,vmag,wx,wy,wz
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.727344502430977133e-02,3.117140122264998592e-01,-6.777962902256615130e-02,9.586646221578121185e-03,3.760005347430706024e-03,-8.820980787277221680e-02,8.880884945392608643e-02,-2.309986017644405365e-02,7.110420614480972290e-02,5.126906558871269226e-03
3.333333333333333287e-02,1.521110534667968750e-02,3.705024719238281250e-04,4.333257675170898438e-05,1.521567814052104950e-02,-8.529614273695308724e-02,1.859088112648878965e-01,-2.747259231890891717e-01,6.141285896301269531e-01,1.212108600884675980e-02,-2.824352681636810303e-02,6.148971915245056152e-01,-6.861488521099090576e-02,-7.039993256330490112e-02,-6.881980597972869873e-02
6.666666666666666574e-02,3.821659088134765625e-02,6.446838378906250000e-04,-1.982986927032470703e-03,3.827343508601188660e-02,-2.130352810795637652e-01,1.051357278520443361e-01,-2.596886747619243097e-01,7.362431287765502930e-01,3.692582715302705765e-03,-1.125385165214538574e-01,7.448036670684814453e-01,-2.455163374543190002e-02,1.044949814677238464e-01,-6.836812943220138550e-02
1.000000000000000056e-01,6.352519989013671875e-02,6.427764892578125000e-04,-5.711972713470458984e-03,6.378471851348876953e-02,-3.375266578017267483e-01,8.121077580867971935e-02,3.066054576141534482e-02,7.190055847167968750e-01,5.423751194030046463e-03,-6.029660999774932861e-02,7.215498685836791992e-01,-8.122853934764862061e-02,7.453427463769912720e-02,-9.343377500772476196e-02
1.333333333333333315e-01,8.668041229248046875e-02,1.029014587402343750e-03,-6.654083728790283203e-03,8.694153279066085815e-02,-4.722786061632620602e-01,-2.420440574812499079e-03,8.650626682891555952e-02,6.647448539733886719e-01,7.961601950228214264e-03,-2.981933206319808960e-02,6.654609441757202148e-01,1.091132219880819321e-02,-1.612685620784759521e-02,-4.172265902161598206e-02
1.666666666666666574e-01,1.079683303833007812e-01,1.236438751220703125e-03,-7.157742977142333984e-03,1.082123965024948120e-01,-5.603391679151786819e-01,-3.668569058278897872e-04,5.490530273636730352e-02,6.050505042076110840e-01,7.129608187824487686e-03,-4.182874783873558044e-02,6.065365672111511230e-01,3.915168344974517822e-03,-3.603665903210639954e-02,-4.386906698346138000e-02
1.999999999999999833e-01,1.271853446960449219e-01,1.475811004638671875e-03,-7.886767387390136719e-03,1.274381875991821289e-01,-6.441636249995121855e-01,-2.460128542913302217e-03,-5.364124749739884171e-04,5.378438234329223633e-01,7.686791941523551941e-03,-3.379322215914726257e-02,5.389592647552490234e-01,-8.425725623965263367e-03,7.480388134717941284e-02,-4.617829248309135437e-02
2.333333333333333093e-01,1.443109512329101562e-01,1.726150512695312500e-03,-7.861375808715820312e-03,1.445352286100387573e-01,-7.131717475876484524e-01,4.153133804468985934e-04,5.875766116286007014e-03,4.879375398159027100e-01,8.097366429865360260e-03,-3.415691107511520386e-02,4.891986548900604248e-01,-6.873386446386575699e-03,-2.679425105452537537e-02,-3.670863807201385498e-02
2.666666666666666630e-01,1.596288681030273438e-01,1.994132995605468750e-03,-7.914543151855468750e-03,1.598373949527740479e-01,-7.745493749341167966e-01,-4.783277275166134836e-04,1.979614271073158478e-03,4.274809658527374268e-01,8.874631486833095551e-03,-3.032174520194530487e-02,4.286468625068664551e-01,3.023639088496565819e-03,-2.451211027801036835e-02,-2.854929119348526001e-02
2.999999999999999889e-01,1.730151176452636719e-01,2.268314361572265625e-03,-7.935583591461181641e-03,1.732118576765060425e-01,-8.312313539479072588e-01,-1.138989994178472064e-05,-1.355522098268524458e-03,3.707972168922424316e-01,7.955893874168395996e-03,-2.830602042376995087e-02,3.719611763954162598e-01,1.704010739922523499e-02,2.314900420606136322e-02,-2.106013335287570953e-02
