depth_m,velocity_ms,L0_verdict,L1_haz,L1_verdict
0.1,0.0,FORD,0.0,FORD
0.1,0.5,FORD,0.05,FORD
0.1,1.0,FORD,0.1,FORD
0.1,1.5,FORD,0.15,FORD
0.1,2.0,FORD,0.2,FORD
0.1,2.5,FORD,0.25,FORD
0.1,3.0,FORD,0.3,FORD
0.2,0.0,NO-FORD,0.0,FORD
0.2,0.5,NO-FORD,0.1,FORD
0.2,1.0,NO-FORD,0.2,FORD
0.2,1.5,NO-FORD,0.3,FORD
0.2,2.0,NO-FORD,0.4,FORD
0.2,2.5,NO-FORD,0.5,FORD
0.2,3.0,NO-FORD,0.6,FORD
0.3,0.0,NO-FORD,0.0,FORD
0.3,0.5,NO-FORD,0.15,FORD
0.3,1.0,NO-FORD,0.3,FORD
0.3,1.5,NO-FORD,0.45,FORD
0.3,2.0,NO-FORD,0.6,FORD
0.3,2.5,NO-FORD,0.75,NO-FORD
0.3,3.0,NO-FORD,0.9,NO-FORD
0.4,0.0,NO-FORD,0.0,FORD
0.4,0.5,NO-FORD,0.2,FORD
0.4,1.0,NO-FORD,0.4,FORD
0.4,1.5,NO-FORD,0.6,FORD
0.4,2.0,NO-FORD,0.8,NO-FORD
0.4,2.5,NO-FORD,1.0,NO-FORD
0.4,3.0,NO-FORD,1.2,NO-FORD
0.5,0.0,NO-FORD,0.0,FORD
0.5,0.5,NO-FORD,0.25,FORD
0.5,1.0,NO-FORD,0.5,FORD
0.5,1.5,NO-FORD,0.75,NO-FORD
0.5,2.0,NO-FORD,1.0,NO-FORD
0.5,2.5,NO-FORD,1.25,NO-FORD
0.5,3.0,NO-FORD,1.5,NO-FORD
0.6,0.0,NO-FORD,0.0,FORD
0.6,0.5,NO-FORD,0.3,FORD
0.6,1.0,NO-FORD,0.6,FORD
0.6,1.5,NO-FORD,0.9,NO-FORD
0.6,2.0,NO-FORD,1.2,NO-FORD
0.6,2.5,NO-FORD,1.5,NO-FORD
0.6,3.0,NO-FORD,1.8,NO-FORD
0.7,0.0,NO-FORD,0.0,FORD
0.7,0.5,NO-FORD,0.35,FORD
0.7,1.0,NO-FORD,0.7,NO-FORD
0.7,1.5,NO-FORD,1.05,NO-FORD
0.7,2.0,NO-FORD,1.4,NO-FORD
0.7,2.5,NO-FORD,1.75,NO-FORD
0.7,3.0,NO-FORD,2.1,NO-FORD
0.8,0.0,NO-FORD,0.0,FORD
0.8,0.5,NO-FORD,0.4,FORD
0.8,1.0,NO-FORD,0.8,NO-FORD
0.8,1.5,NO-FORD,1.2,NO-FORD
0.8,2.0,NO-FORD,1.6,NO-FORD
0.8,2.5,NO-FORD,2.0,NO-FORD
0.8,3.0,NO-FORD,2.4,NO-FORD
0.9,0.0,NO-FORD,0.0,FORD
0.9,0.5,NO-FORD,0.45,FORD
0.9,1.0,NO-FORD,0.9,NO-FORD
0.9,1.5,NO-FORD,1.35,NO-FORD
0.9,2.0,NO-FORD,1.8,NO-FORD
0.9,2.5,NO-FORD,2.25,NO-FORD
0.9,3.0,NO-FORD,2.7,NO-FORD
1.0,0.0,NO-FORD,0.0,FORD
1.0,0.5,NO-FORD,0.5,FORD
1.0,1.0,NO-FORD,1.0,NO-FORD
1.0,1.5,NO-FORD,1.5,NO-FORD
1.0,2.0,NO-FORD,2.0,NO-FORD
1.0,2.5,NO-FORD,2.5,NO-FORD
1.0,3.0,NO-FORD,3.0,NO-FORD
