slot	wave	branch	base	worktree	needs_gpu	writes_only	permmode
d1-safe	C	claude/add-ci-checks	SAME	/Users/josie/can-it-ford	no	CLAUDE.md,.claude/settings.json,.claude/hooks/orient_live.sh,.claude/checks/params_check.py,.claude/skills/connector-router/SKILL.md,scripts/check_claims.py	acceptEdits
d2-persist	A	claude/r8-persistence	claude/r7-inflow	/Users/josie/can-it-ford/.claude/worktrees/r8-persistence	no	analysis/r8_persistence_frequency.py,docs/R8_PERSISTENCE_GATE_2026-08-18.md	acceptEdits
d3-force	B	claude/r8-force	claude/r5-physics	/Users/josie/can-it-ford/.claude/worktrees/r8-force	later	analysis/r8_noforcing_control.py,docs/R8_FORCE_ROUTE_2026-08-18.md	acceptEdits
d4-bcmerge	A	claude/r8-bc-merge	1a868f3	/Users/josie/can-it-ford/.claude/worktrees/r8-bc-merge	no	simulation/openchannel_bc.py,docs/R8_OPENCHANNEL_BC_RECONCILE.md	acceptEdits
d5-priorart	A	claude/r8-priorart	claude/can-it-ford-round-5-87a6d6	/Users/josie/can-it-ford/.claude/worktrees/r8-priorart	no	paper/conference_101719.tex,paper/can_it_ford_references_IEEE.bib,docs/R8_PRIOR_ART_2026-08-18.md	acceptEdits
d6-tooling	B	claude/r8-tooling	claude/add-ci-checks	/Users/josie/can-it-ford/.claude/worktrees/r8-tooling	no	.claude/tooling/**,docs/R8_TOOLING_PROVENANCE.md	acceptEdits
d7-register	A	claude/r8-register	claude/add-ci-checks	/Users/josie/can-it-ford/.claude/worktrees/r8-register	no	docs/CANONICAL_CORRECTIONS_REGISTER_2026-08-06.md,docs/R8_REGISTER_MERGE_2026-08-18.md	acceptEdits
d8-naming	A	claude/r8-naming	claude/add-ci-checks	/Users/josie/can-it-ford/.claude/worktrees/r8-naming	no	analysis/build_runs_inventory.py,analysis/check_run_validity_2026-08-10.py,analysis/classify_three_class_matched.py,analysis/make_poster_figures*.py,renders/**/sim_standing.py,renders/yaris_render_s1/gates_all_runs.py,renders/yaris_render_s3_enhanced/sim_enhanced.py,docs/R8_DETERMINISM_RENAME_2026-08-18.md	acceptEdits
d9-kramer	A	claude/r8-kramer	claude/r5-physics	/Users/josie/can-it-ford/.claude/worktrees/r8-kramer	no	simulation/r5_physics/kramer_benchmark.py,docs/R8_KRAMER_INTERCODE_2026-08-18.md	acceptEdits
d10-licence	B	claude/r8-licence	origin/main	/Users/josie/can-it-ford/.claude/worktrees/r8-licence	no	LICENSE,THIRD_PARTY_NOTICES.md,citations/README.md,docs/R8_LICENCE_RECONCILE_2026-08-18.md	acceptEdits
d11-accessor	D	claude/r9-accessor	claude/r5-physics	/Users/josie/can-it-ford/.claude/worktrees/r9-accessor	no	simulation/r5_physics/sphere_heave.py,simulation/r5_physics/grade_job_b.py,docs/R5_PHYSICS_BATCH_MANIFEST.md,docs/R9_ACCESSOR_DEFECT_2026-08-18.md	acceptEdits
d12-kramerdata	D	claude/r9-kramer-extract	claude/r8-kramer	/Users/josie/can-it-ford/.claude/worktrees/r9-kramer-extract	no	analysis/kramer_extract_numerical.py,docs/R9_KRAMER_FULL_EXTRACT_2026-08-18.md	acceptEdits
d13-renders	D	claude/r9-renders	claude/add-ci-checks	/Users/josie/can-it-ford/.claude/worktrees/r9-renders	no	analysis/render_multigeom_rollout.py,analysis/render_multigeom_shaded.py,docs/R9_RENDER_MATERIALS_2026-08-18.md	acceptEdits
d14-corpusbib	D	claude/r9-corpus-bib	claude/add-ci-checks	/Users/josie/can-it-ford/.claude/worktrees/r9-corpus-bib	no	analysis/research_index.py,docs/R9_CORPUS_BIB_GAP_2026-08-18.md,data/r9_bib_corpus_census.tsv,.claude/skills/research-corpus/SKILL.md	acceptEdits
d15-settle	D	claude/r9-settle	claude/add-ci-checks	/Users/josie/can-it-ford/.claude/worktrees/r9-settle	no	analysis/settle_audit.py,analysis/stationarity.py,docs/R9_SETTLE_FRAMES_2026-08-18.md,analysis/classify_failure_modes.py	acceptEdits
d16-landing	D	claude/r9-landing	claude/add-ci-checks	/Users/josie/can-it-ford/.claude/worktrees/r9-landing	no	docs/R9_LANDING_PLAN_2026-08-18.md	plan
d17-moving	E	claude/r9-moving-vehicle	claude/add-ci-checks	/Users/josie/can-it-ford/.claude/worktrees/r9-moving-vehicle	YES	simulation/moving_vehicle_channel.py,analysis/r9_speed_surface.py,docs/R9_MOVING_VEHICLE_2026-08-19.md	acceptEdits
d18-platform	E	claude/r9-platform	claude/add-ci-checks	/Users/josie/can-it-ford/.claude/worktrees/r9-platform	no	analysis/hf_dataset_publish.py,analysis/wandb_speed_surface.py,hf_space/**,docs/R9_PLATFORM_ROI_2026-08-19.md	acceptEdits
d19-priorcode	E	claude/r9-priorcode	claude/add-ci-checks	/Users/josie/can-it-ford/.claude/worktrees/r9-priorcode	no	docs/R9_MOVING_VEHICLE_PRIOR_CODE_2026-08-19.md,analysis/r9_prior_code_compare.py	plan
d20-reader	F	claude/r9-reader	claude/add-ci-checks	/Users/josie/can-it-ford/.claude/worktrees/r9-reader	no	docs/R9_CROSS_SESSION_READOUT_2026-08-19.md,analysis/r9_session_reader.py,docs/R10_FULL_CONTEXT_AUDIT_2026-08-19.md,docs/r10/,.claude/skills/connector-router/SKILL.md	acceptEdits
d21-jobb	F	claude/r9-jobb-route	claude/r5-physics	/Users/josie/can-it-ford/.claude/worktrees/r9-jobb-route	YES	docs/R9_JOBB_ROUTE_DECISION_2026-08-19.md,analysis/r9_jobb_estimator_test.py	acceptEdits
d22-gapscan	G	claude/r9-gapscan	claude/add-ci-checks	/Users/josie/can-it-ford/.claude/worktrees/r9-gapscan	no	docs/R10_WEB_ACQUISITION_2026-08-19.md,docs/r10/,data/r10_acquired/	acceptEdits
